,date,open,high,low,close,volume,Name
0,2013-02,100.66,103.695,100.42,101.79,16845424,ORLY
1,2013-03,101.68,105.22,101.126,102.439,17884100,ORLY
2,2013-04,103.13,108.99,97.765,107.32,20772477,ORLY
3,2013-05,107.5,112.92,106.79,108.85,13158216,ORLY
4,2013-06,109.24,114.06,107.8033,112.62,12405632,ORLY
5,2013-07,113.03,126.14,112.72,125.3,14913193,ORLY
6,2013-08,126.23,128.45,121.41,122.71,11859666,ORLY
7,2013-09,123.97,127.97,121.61,127.59,11935137,ORLY
8,2013-10,127.3,135.62,122.66,123.81,20281335,ORLY
9,2013-11,124.81,126.4,122.42,124.96,11294600,ORLY
10,2013-12,124.3,129.99200000000002,120.34,128.71,15295503,ORLY
11,2014-01,128.42,137.282,128.2,130.98,14561502,ORLY
12,2014-02,133.39,155.94,129.72,150.85,19782735,ORLY
13,2014-03,150.13,153.05,145.13,148.39,12129230,ORLY
14,2014-04,148.48,151.26,141.08,148.79,15912685,ORLY
15,2014-05,148.99,151.2,144.38,147.95,12023721,ORLY
16,2014-06,148.43,154.21,147.21,150.6,10783151,ORLY
17,2014-07,150.03,156.37,145.51,150.0,15921096,ORLY
18,2014-08,150.18,157.18,148.74,155.98,11681448,ORLY
19,2014-09,156.65,158.63,149.51,150.36,11977677,ORLY
20,2014-10,149.97,177.0,146.22,175.88,19252961,ORLY
21,2014-11,175.65,183.63,175.01,182.74,13455562,ORLY
22,2014-12,182.72,196.8,180.69,192.62,14649609,ORLY
23,2015-01,192.86,195.03,179.0,187.36,16961792,ORLY
24,2015-02,187.7,214.15,184.76,208.13,14639194,ORLY
25,2015-03,209.12,220.11,202.44,216.24,12519053,ORLY
26,2015-04,216.64,230.77,212.15,217.83,12619831,ORLY
27,2015-05,219.0,226.0,216.41,219.53,10286322,ORLY
28,2015-06,220.8,233.84,218.82,225.98,10819446,ORLY
29,2015-07,228.01,247.0,227.77,240.31,12666491,ORLY
30,2015-08,241.3,258.15,226.05,240.07,14594308,ORLY
31,2015-09,235.69,255.57,230.91299999999998,250.0,17097238,ORLY
32,2015-10,251.0,277.96,246.12,276.26,15745995,ORLY
33,2015-11,276.38,277.6599,258.635,263.87,12278251,ORLY
34,2015-12,264.96,267.19,246.8817,253.42,19228652,ORLY
35,2016-01,248.45,261.27,225.12,260.9,19264151,ORLY
36,2016-02,260.32,269.0,226.51,260.32,24248425,ORLY
37,2016-03,263.18,277.68,258.55,273.66,17234978,ORLY
38,2016-04,273.19,277.83,260.16,262.68,14826647,ORLY
39,2016-05,262.75,269.68,248.0212,264.43,15585017,ORLY
40,2016-06,264.34,274.79,255.01,271.1,14621549,ORLY
41,2016-07,271.88,292.84,266.805,290.63,14443888,ORLY
42,2016-08,290.63,291.683,276.67,279.95,12138531,ORLY
43,2016-09,280.7,285.67,272.42,280.11,17070999,ORLY
44,2016-10,279.43,283.205,251.62,264.44,19106709,ORLY
45,2016-11,263.9,279.36,250.06900000000002,274.5,19190046,ORLY
46,2016-12,273.62,286.57,272.17,278.41,13450650,ORLY
47,2017-01,280.0,283.969,259.15,262.27,15513490,ORLY
48,2017-02,262.19,277.4,253.54,271.71,21985561,ORLY
49,2017-03,273.24,276.745,267.04,269.84,19097352,ORLY
50,2017-04,266.0,270.1,245.01,248.15,24212211,ORLY
51,2017-05,248.44,260.31,234.14,242.08,34887759,ORLY
52,2017-06,243.54,246.51,215.76,218.74,29155514,ORLY
53,2017-07,218.74,220.89,169.43,204.3,58573692,ORLY
54,2017-08,204.44,211.02,186.82,196.13,32456679,ORLY
55,2017-09,197.19,219.98,194.06,215.37,24170788,ORLY
56,2017-10,215.98,217.91,190.0,210.95,23752060,ORLY
57,2017-11,211.24,241.63,205.65,236.21,18560313,ORLY
58,2017-12,235.0,263.63,228.34,240.54,21316240,ORLY
59,2018-01,241.34,279.23,241.29,264.69,18277188,ORLY
60,2018-02,263.01,266.47,241.68,252.08,6971970,ORLY
