,date,open,high,low,close,volume,Name
0,2013-02,88.16,88.59899999999999,81.11,82.33,67477850,OXY
1,2013-03,81.86,84.6955,77.21,78.37,99032969,OXY
2,2013-04,78.45,89.89,77.91,89.26,153214585,OXY
3,2013-05,88.48,95.57,86.9101,92.07,129571242,OXY
4,2013-06,93.0,95.31,87.56,89.23,89989029,OXY
5,2013-07,89.92,92.67,86.12,89.05,78683192,OXY
6,2013-08,89.65,90.098,84.91,88.21,74232231,OXY
7,2013-09,88.94,94.5,87.71,93.54,75370282,OXY
8,2013-10,93.44,98.7,92.92,96.08,78167375,OXY
9,2013-11,96.05,99.42,94.52,94.96,65544627,OXY
10,2013-12,95.13,95.6,90.13,95.1,76508560,OXY
11,2014-01,94.51,95.69,86.5001,87.57,84872825,OXY
12,2014-02,87.8,97.17,85.9,96.52,89133969,OXY
13,2014-03,95.79,97.84,91.2,95.29,87559126,OXY
14,2014-04,95.39,98.21,93.27,95.75,79423099,OXY
15,2014-05,95.74,99.88,93.8,99.69,77190240,OXY
16,2014-06,99.79,105.64,99.4,102.63,82408302,OXY
17,2014-07,103.77,104.04,97.48,97.71,68530106,OXY
18,2014-08,98.76,104.48,97.77,103.73,66544277,OXY
19,2014-09,103.43,103.69,95.7,96.15,84003958,OXY
20,2014-10,96.01,97.14,82.3,88.93,136533729,OXY
21,2014-11,88.99,89.38,78.51,79.77,111176381,OXY
22,2014-12,77.34,83.25,72.32,80.61,165236620,OXY
23,2015-01,80.01,81.355,73.145,80.0,118573198,OXY
24,2015-02,81.78,83.74,77.68,77.88,96047891,OXY
25,2015-03,77.86,78.8,71.7,73.0,103377338,OXY
26,2015-04,74.22,82.06,73.35,80.1,92190763,OXY
27,2015-05,79.96,82.02,75.6,78.19,87854680,OXY
28,2015-06,78.89,79.89,76.9,77.77,97518128,OXY
29,2015-07,77.53,77.7599,67.3,70.2,95355219,OXY
30,2015-08,69.47,74.25,64.83,73.01,122363195,OXY
31,2015-09,70.97,72.53,63.6,66.15,105044163,OXY
32,2015-10,67.03,75.56,65.25,74.54,108784965,OXY
33,2015-11,73.99,77.37,72.36,75.59,77687201,OXY
34,2015-12,75.68,77.17,64.89,67.61,122006406,OXY
35,2016-01,67.09,68.83,58.24,68.83,138166516,OXY
36,2016-02,67.54,72.19,63.24,68.82,109935165,OXY
37,2016-03,69.25,71.66,66.2,68.43,98241676,OXY
38,2016-04,67.23,78.09,66.94,76.65,78132247,OXY
39,2016-05,76.22,77.35,73.82,75.44,88482287,OXY
40,2016-06,74.9,78.31,72.5,75.56,85180138,OXY
41,2016-07,75.43,77.66,73.25,74.73,66504345,OXY
42,2016-08,74.4,78.48,72.11,76.85,82839806,OXY
43,2016-09,76.55,78.17,67.83,72.92,103994224,OXY
44,2016-10,72.92,75.6,71.77,72.91,94521345,OXY
45,2016-11,72.45,72.84,64.37,71.36,137589176,OXY
46,2016-12,72.9,73.51,67.81,71.23,90375512,OXY
47,2017-01,72.27,72.96,67.32,67.77,89717936,OXY
48,2017-02,67.93,69.9,64.1875,65.55,103127464,OXY
49,2017-03,66.21,66.79,61.01,63.36,132669805,OXY
50,2017-04,63.38,65.73,61.03,61.54,82921041,OXY
51,2017-05,61.54,62.12,57.2,58.93,112321222,OXY
52,2017-06,59.09,62.16,58.07,59.87,123664011,OXY
53,2017-07,60.17,63.02,57.84,61.93,70078917,OXY
54,2017-08,60.95,62.23,58.44,59.7,77027387,OXY
55,2017-09,59.69,65.7,59.28,64.21,77993587,OXY
56,2017-10,63.81,66.24,63.47,64.57,80317771,OXY
57,2017-11,65.16,70.61,65.07,70.5,96631865,OXY
58,2017-12,70.75,74.0599,68.275,73.66,75472323,OXY
59,2018-01,74.01,78.09,73.485,74.97,74866386,OXY
60,2018-02,75.02,76.28,69.4,69.87,25703867,OXY
