,date,open,high,low,close,volume,Name
0,2013-02,43.52,45.86,43.17,45.65,19159249,O
1,2013-03,45.49,46.65,43.66,45.35,52518813,O
2,2013-04,45.3,50.97,44.901,50.97,31158442,O
3,2013-05,50.88,55.48,45.45,45.45,39935164,O
4,2013-06,45.38,45.89,39.83,41.92,55053667,O
5,2013-07,42.13,46.05,41.66,43.41,43683738,O
6,2013-08,43.82,44.02,39.21,39.5,37259431,O
7,2013-09,38.824,41.53,38.39,39.75,35338113,O
8,2013-10,39.84,43.21,39.1,41.65,54659646,O
9,2013-11,41.71,42.14,37.87,38.11,41516604,O
10,2013-12,38.1,45.1,36.58,37.33,46508333,O
11,2014-01,37.38,41.0,37.005,40.78,39229850,O
12,2014-02,40.8,45.11,39.26,44.42,40976057,O
13,2014-03,44.28,44.58,39.62,40.86,63844320,O
14,2014-04,40.92,43.7,40.21,43.45,45206319,O
15,2014-05,43.61,44.48,42.54,43.3,40377332,O
16,2014-06,43.29,44.98,42.98,44.42,33724339,O
17,2014-07,44.49,45.84,43.02,43.05,32930605,O
18,2014-08,42.98,45.63,42.74,44.72,24171213,O
19,2014-09,44.69,45.36,40.56,40.79,40589591,O
20,2014-10,40.79,47.88,40.71,46.03,42579762,O
21,2014-11,46.15,47.88,45.47,46.46,31419990,O
22,2014-12,46.46,49.68,44.91,47.71,37143361,O
23,2015-01,47.98,55.5399,47.95,54.31,56599674,O
24,2015-02,54.2,54.27,49.2639,50.06,43052574,O
25,2015-03,50.22,54.08,48.25,51.6,21003855,O
26,2015-04,51.62,52.66,46.29,46.97,77418690,O
27,2015-05,46.88,48.11,45.47,45.57,34062738,O
28,2015-06,45.71,47.05,44.23,44.39,41996859,O
29,2015-07,44.47,48.46,44.2,48.29,33777792,O
30,2015-08,48.28,48.88,44.45,44.69,38215930,O
31,2015-09,44.31,48.303000000000004,43.15,47.39,36604786,O
32,2015-10,47.62,50.98,45.65,49.46,59146255,O
33,2015-11,49.4,50.6,45.98,49.62,44678951,O
34,2015-12,49.99,52.41,48.37,51.63,44578804,O
35,2016-01,51.14,55.88,50.47,55.79,44247288,O
36,2016-02,55.56,61.34,54.82,58.54,60609478,O
37,2016-03,58.92,62.89,57.48,62.51,38615481,O
38,2016-04,62.18,63.92,58.44,59.2,34755626,O
39,2016-05,59.39,64.55,58.3,60.09,45515764,O
40,2016-06,59.94,69.36,59.92,69.36,40081855,O
41,2016-07,69.5,71.96,68.25,71.47,35247955,O
42,2016-08,71.49,72.295,64.95,65.73,31774525,O
43,2016-09,65.6,69.14,63.33,66.93,32750124,O
44,2016-10,66.68,66.75,57.08,59.24,31377395,O
45,2016-11,59.07,59.14,52.72,55.44,43351794,O
46,2016-12,55.01,57.81,53.31,57.48,39801824,O
47,2017-01,57.74,60.59,56.91,59.63,37771995,O
48,2017-02,59.43,63.6,58.05,61.28,39477622,O
49,2017-03,61.06,61.27,56.9521,59.53,48796251,O
50,2017-04,59.3,62.31,58.29,58.35,27358299,O
51,2017-05,58.5,59.39,52.85,54.93,46672920,O
52,2017-06,54.91,57.29,54.26,55.18,40367740,O
53,2017-07,55.38,58.4699,53.34,57.06,28865485,O
54,2017-08,56.83,58.45,56.24,57.56,32067688,O
55,2017-09,57.52,60.05,56.75,57.19,34860997,O
56,2017-10,57.19,57.43,53.01,53.67,37089690,O
57,2017-11,53.76,57.23,53.39,55.3,29302840,O
58,2017-12,55.47,58.23,54.395,57.02,37895776,O
59,2018-01,57.02,57.06,52.21,53.19,41181550,O
60,2018-02,53.09,53.21,48.89,48.92,18508739,O
