,date,open,high,low,close,volume,Name
0,2013-02,33.34,34.05,32.87,33.105,36761178,PAYX
1,2013-03,32.73,35.18,32.73,35.06,49857388,PAYX
2,2013-04,34.86,36.42,34.65,36.41,54297029,PAYX
3,2013-05,36.48,38.66,36.21,37.23,44839877,PAYX
4,2013-06,37.49,38.14,35.745,36.51,48016986,PAYX
5,2013-07,36.43,39.66,36.32,39.44,56941247,PAYX
6,2013-08,39.61,40.84,38.33,38.68,36413426,PAYX
7,2013-09,38.96,41.24,36.8,40.64,30963432,PAYX
8,2013-10,39.92,43.62,39.21,42.265,54055126,PAYX
9,2013-11,42.22,44.01,41.27,43.73,41546590,PAYX
10,2013-12,43.87,45.94,42.52,45.53,56039617,PAYX
11,2014-01,45.44,45.95,41.47,41.82,56914161,PAYX
12,2014-02,41.87,41.98,39.86,41.76,51142185,PAYX
13,2014-03,41.55,43.56,40.99,42.6,45133557,PAYX
14,2014-04,42.51,43.3,39.795,41.81,50616230,PAYX
15,2014-05,41.78,41.89,40.03,41.11,38281307,PAYX
16,2014-06,41.15,41.99,40.205,41.56,35129387,PAYX
17,2014-07,40.7,42.66,40.59,41.01,43428910,PAYX
18,2014-08,40.98,42.22,40.1,41.65,34226259,PAYX
19,2014-09,41.82,44.49,41.59,44.2,46111286,PAYX
20,2014-10,43.54,46.99,42.06,46.94,53447048,PAYX
21,2014-11,46.88,48.2,46.75,47.41,40354196,PAYX
22,2014-12,47.39,47.75,46.1,46.17,58688173,PAYX
23,2015-01,46.36,48.48,45.07,45.26,46323250,PAYX
24,2015-02,45.44,50.188,44.52,49.835,35565850,PAYX
25,2015-03,49.96,51.72,48.08,49.615,47932979,PAYX
26,2015-04,49.22,49.81,48.0,48.39,32174289,PAYX
27,2015-05,48.51,50.68,48.43,49.41,31979410,PAYX
28,2015-06,49.58,49.79,46.521,46.88,41976681,PAYX
29,2015-07,46.0,48.45,44.38,46.4,48643953,PAYX
30,2015-08,46.16,48.66,41.59,44.66,52961074,PAYX
31,2015-09,43.81,47.705,43.19,47.63,49602203,PAYX
32,2015-10,47.44,52.38,46.39,51.58,55803459,PAYX
33,2015-11,51.71,54.54,51.47,54.25,39282269,PAYX
34,2015-12,54.24,54.7805,51.11,52.89,50950292,PAYX
35,2016-01,52.0,52.11,45.76,47.86,72643010,PAYX
36,2016-02,47.73,52.4989,45.83,51.39,61705981,PAYX
37,2016-03,51.9,54.57,51.43,54.01,40710575,PAYX
38,2016-04,53.31,54.51,51.8,52.12,38978369,PAYX
39,2016-05,52.23,54.58,51.06,54.22,34918852,PAYX
40,2016-06,54.11,59.55,53.57,59.5,51095367,PAYX
41,2016-07,59.11,61.87,58.52,59.28,51152609,PAYX
42,2016-08,59.29,61.19,58.231,60.67,33176879,PAYX
43,2016-09,60.8,61.62,57.01,57.87,45745058,PAYX
44,2016-10,57.48,57.781000000000006,54.75,55.2,37474417,PAYX
45,2016-11,55.34,59.68,52.7767,58.95,62118324,PAYX
46,2016-12,58.95,62.18,58.23,60.88,38322582,PAYX
47,2017-01,61.15,62.17,60.0907,60.29,27640185,PAYX
48,2017-02,59.5,62.13,57.0701,61.42,43418072,PAYX
49,2017-03,61.71,63.03,58.58,58.9,44951669,PAYX
50,2017-04,58.75,60.07,57.68,59.28,33566863,PAYX
51,2017-05,59.33,59.5,56.57,59.23,40360685,PAYX
52,2017-06,59.49,61.57,56.51,56.94,51487589,PAYX
53,2017-07,56.4,61.37,56.35,57.85,47409569,PAYX
54,2017-08,57.9,57.96,54.2,57.03,46700792,PAYX
55,2017-09,57.04,60.65,56.43,59.96,32793152,PAYX
56,2017-10,59.95,65.62,59.34,63.79,54435741,PAYX
57,2017-11,63.87,67.88,63.48,67.31,35179054,PAYX
58,2017-12,66.9,70.39,65.89,68.08,41111252,PAYX
59,2018-01,68.34,73.1,66.29,68.25,49590783,PAYX
60,2018-02,68.09,68.49,62.57,64.74,15773177,PAYX
