,date,open,high,low,close,volume,Name
0,2013-02,12.51,13.15,12.51,13.1,37715880,PBCT
1,2013-03,13.07,13.61,12.99,13.42,58967830,PBCT
2,2013-04,13.39,13.47,12.62,13.16,80443349,PBCT
3,2013-05,13.15,14.31,13.055,13.775,84121662,PBCT
4,2013-06,13.81,15.0,13.52,14.9,81075862,PBCT
5,2013-07,14.96,15.67,14.87,15.0,88251378,PBCT
6,2013-08,15.12,15.41,14.18,14.22,60859045,PBCT
7,2013-09,14.42,14.8,14.07,14.38,52232622,PBCT
8,2013-10,14.32,15.11,14.09,14.435,73640412,PBCT
9,2013-11,14.42,15.24,14.23,15.14,47324876,PBCT
10,2013-12,15.17,15.25,14.51,15.12,57764102,PBCT
11,2014-01,15.08,15.7,14.2,14.21,128789683,PBCT
12,2014-02,14.21,14.37,13.73,14.17,75899018,PBCT
13,2014-03,14.07,15.07,13.98,14.87,60948079,PBCT
14,2014-04,14.86,15.0,14.09,14.28,77824110,PBCT
15,2014-05,14.29,14.64,14.0,14.37,50256584,PBCT
16,2014-06,14.46,15.23,14.29,15.17,72262975,PBCT
17,2014-07,15.22,15.32,14.475,14.52,64644544,PBCT
18,2014-08,14.52,15.0325,14.24,14.95,42520527,PBCT
19,2014-09,15.0,15.15,14.47,14.47,51143313,PBCT
20,2014-10,14.49,14.66,13.61,14.62,107624361,PBCT
21,2014-11,14.66,14.96,14.36,14.78,39167608,PBCT
22,2014-12,14.71,15.5,14.37,15.18,59793610,PBCT
23,2015-01,15.22,15.3,13.97,14.07,79471142,PBCT
24,2015-02,14.11,15.25,14.1,15.13,47325748,PBCT
25,2015-03,15.15,15.45,14.81,15.2,59515427,PBCT
26,2015-04,15.12,15.4,14.92,15.11,64763563,PBCT
27,2015-05,15.22,15.62,14.95,15.56,59478761,PBCT
28,2015-06,15.6,16.64,15.415,16.21,64332501,PBCT
29,2015-07,16.38,16.95,15.64,16.27,97218140,PBCT
30,2015-08,16.23,16.65,14.69,15.5,85058750,PBCT
31,2015-09,15.25,15.91,14.83,15.73,68674630,PBCT
32,2015-10,15.66,16.8,15.0,15.95,84095924,PBCT
33,2015-11,16.04,16.9,15.98,16.75,61198289,PBCT
34,2015-12,16.85,16.93,15.835,16.15,91496826,PBCT
35,2016-01,15.85,15.94,13.62,14.37,102817577,PBCT
36,2016-02,14.36,14.99,13.704,14.61,92590630,PBCT
37,2016-03,14.7,16.27,14.686,15.93,82419247,PBCT
38,2016-04,15.83,16.68,15.24,15.5,83501369,PBCT
39,2016-05,15.53,15.94,14.88,15.88,105855689,PBCT
40,2016-06,15.76,16.0,13.8,14.66,97056992,PBCT
41,2016-07,14.6,15.57,14.22,15.16,80630371,PBCT
42,2016-08,15.18,16.25,14.79,16.25,59404186,PBCT
43,2016-09,16.32,16.4,15.46,15.82,61847138,PBCT
44,2016-10,15.69,16.56,15.28,16.24,66994819,PBCT
45,2016-11,16.25,18.87,16.04,18.72,82797796,PBCT
46,2016-12,18.8,20.13,18.54,19.36,85839454,PBCT
47,2017-01,19.58,19.85,18.47,18.75,84887441,PBCT
48,2017-02,18.89,19.34,18.36,19.2,56482290,PBCT
49,2017-03,19.52,19.8,17.47,18.2,80131932,PBCT
50,2017-04,18.17,18.21,17.24,17.47,68079513,PBCT
51,2017-05,17.53,17.84,16.44,16.57,58920356,PBCT
52,2017-06,16.66,18.04,16.54,17.66,73332856,PBCT
53,2017-07,17.75,18.18,17.29,17.44,59801105,PBCT
54,2017-08,17.5,17.74,16.49,16.7,44818286,PBCT
55,2017-09,16.72,18.26,15.965,18.14,44049597,PBCT
56,2017-10,18.11,19.36,17.86,18.66,52030292,PBCT
57,2017-11,18.75,19.495,17.58,19.02,47795101,PBCT
58,2017-12,19.01,19.415,18.27,18.7,56470590,PBCT
59,2018-01,18.83,20.14,18.57,19.67,63458031,PBCT
60,2018-02,19.62,19.99,18.28,19.2,21161717,PBCT
