,date,open,high,low,close,volume,Name
0,2013-02,42.74,43.29,41.0,42.64,47636935,PCG
1,2013-03,42.57,44.57,42.38,44.53,63198774,PCG
2,2013-04,44.51,48.5,44.38,48.44,55468038,PCG
3,2013-05,48.37,48.45,44.75,44.91,55221485,PCG
4,2013-06,44.9,46.33,43.2,45.73,70336684,PCG
5,2013-07,46.08,47.3025,44.11,45.89,59249878,PCG
6,2013-08,46.24,46.9,41.08,41.36,50044393,PCG
7,2013-09,41.56,42.4725,40.56,40.92,73960793,PCG
8,2013-10,40.9,42.45,39.95,41.85,52647549,PCG
9,2013-11,42.01,42.95,39.91,40.37,57670115,PCG
10,2013-12,40.44,41.46,40.04,40.28,60971684,PCG
11,2014-01,40.36,42.39,39.425,42.15,58869676,PCG
12,2014-02,42.25,44.445,40.923,44.06,52164439,PCG
13,2014-03,43.87,44.97,41.57,43.2,73703394,PCG
14,2014-04,43.19,46.11,42.295,45.58,58792332,PCG
15,2014-05,44.28,45.985,42.85,45.87,68688182,PCG
16,2014-06,45.82,48.64,45.27,48.02,57317601,PCG
17,2014-07,48.04,48.085,44.65,44.67,52551133,PCG
18,2014-08,44.86,46.48,42.92,46.48,49396171,PCG
19,2014-09,46.46,48.24,43.763999999999996,45.04,65233351,PCG
20,2014-10,45.19,50.86,44.17,50.32,89417354,PCG
21,2014-11,50.5,51.46,48.92,50.5,73359760,PCG
22,2014-12,50.21,55.24,49.79,53.24,69309512,PCG
23,2015-01,53.48,60.21,53.06,58.81,69258559,PCG
24,2015-02,58.85,59.03,53.38,53.73,63130525,PCG
25,2015-03,53.53,54.79,51.11,53.07,67740168,PCG
26,2015-04,53.17,54.69,51.4,52.92,67853406,PCG
27,2015-05,52.94,54.32,50.75,53.47,48815355,PCG
28,2015-06,53.79,53.96,48.765,49.1,65012680,PCG
29,2015-07,49.23,53.245,49.07,52.51,58904034,PCG
30,2015-08,52.66,54.63,48.505,49.58,71266844,PCG
31,2015-09,48.52,53.59,47.33,52.8,88207622,PCG
32,2015-10,52.92,54.99,51.47,53.4,69062871,PCG
33,2015-11,53.35,54.38,51.05,52.73,50215245,PCG
34,2015-12,53.04,54.39,51.19,53.19,51917189,PCG
35,2016-01,52.85,55.11,50.65,54.91,61758585,PCG
36,2016-02,54.96,58.46,54.45,56.73,73981557,PCG
37,2016-03,57.1,59.88,54.71,59.72,57290905,PCG
38,2016-04,59.32,60.09,56.475,58.2,47791005,PCG
39,2016-05,58.36,60.18,56.39,60.08,51059221,PCG
40,2016-06,60.0,63.95,59.76,63.92,61670214,PCG
41,2016-07,64.24,65.43,62.9,63.94,55146498,PCG
42,2016-08,63.78,65.39,61.48,61.94,67665477,PCG
43,2016-09,61.93,64.395,60.44,61.17,52341370,PCG
44,2016-10,61.05,62.685,58.2,62.12,49834482,PCG
45,2016-11,62.1,62.23,57.63,58.8,57512237,PCG
46,2016-12,58.47,61.535,57.6,60.77,44436960,PCG
47,2017-01,60.81,61.91,59.89,61.89,41071891,PCG
48,2017-02,61.39,66.93,60.61,66.75,36735666,PCG
49,2017-03,65.99,68.29,65.015,66.36,53826974,PCG
50,2017-04,66.33,67.83,65.795,67.05,38951514,PCG
51,2017-05,67.08,68.48,65.14,68.38,65457374,PCG
52,2017-06,68.29,70.32,65.43,66.37,55586024,PCG
53,2017-07,66.52,68.28,64.84,67.69,42341200,PCG
54,2017-08,67.51,70.58,67.41,70.38,37766451,PCG
55,2017-09,70.46,71.57,67.26,68.09,45124027,PCG
56,2017-10,68.29,69.67,49.83,57.77,191708240,PCG
57,2017-11,57.61,57.9899,52.46,54.24,120053878,PCG
58,2017-12,54.2,54.66,41.6101,44.83,150949460,PCG
59,2018-01,44.34,45.29,41.67,42.43,125560754,PCG
60,2018-02,42.45,47.0,38.45,39.48,39518588,PCG
