,date,open,high,low,close,volume,Name
0,2013-02,37.38,37.66,35.008,36.34,9653942,PDCO
1,2013-03,36.25,38.245,35.91,38.04,11752393,PDCO
2,2013-04,38.12,38.25,36.0252,37.95,15146382,PDCO
3,2013-05,37.99,39.9,37.52,39.08,13984055,PDCO
4,2013-06,39.05,39.48,36.88,37.6,14315606,PDCO
5,2013-07,37.77,41.25,37.505,40.89,12119694,PDCO
6,2013-08,41.14,42.69,39.36,39.88,12619488,PDCO
7,2013-09,40.42,41.5,39.55,40.185,9757726,PDCO
8,2013-10,36.59,42.64,36.59,42.51,14188726,PDCO
9,2013-11,42.52,44.39,40.49,41.49,15712347,PDCO
10,2013-12,41.46,42.07,39.7,41.2,12313212,PDCO
11,2014-01,41.09,41.81,39.54,39.96,14866842,PDCO
12,2014-02,40.06,41.27,38.78,41.16,15859380,PDCO
13,2014-03,40.88,42.685,40.1,41.76,15322696,PDCO
14,2014-04,41.94,43.49,40.42,40.7,14591444,PDCO
15,2014-05,40.54,41.86,37.025,39.16,19635657,PDCO
16,2014-06,39.18,41.93,38.58,39.51,17597260,PDCO
17,2014-07,39.63,40.13,38.425,39.01,13520409,PDCO
18,2014-08,39.0,41.07,38.04,40.27,11475798,PDCO
19,2014-09,40.25,42.26,40.02,41.43,13912216,PDCO
20,2014-10,41.48,43.27,39.28,43.11,15450912,PDCO
21,2014-11,43.19,48.88,42.84,48.18,16701597,PDCO
22,2014-12,48.17,49.5,46.65,48.1,16331317,PDCO
23,2015-01,48.39,51.49,47.61,50.09,15043894,PDCO
24,2015-02,50.39,51.45,48.52,50.075,18877467,PDCO
25,2015-03,50.0,50.61,47.855,48.79,14661731,PDCO
26,2015-04,48.78,49.13,46.74,46.955,19887514,PDCO
27,2015-05,47.06,48.86,45.32,47.84,23922960,PDCO
28,2015-06,47.92,49.78,47.52,48.65,17658797,PDCO
29,2015-07,50.0,50.94,48.01,50.16,19866718,PDCO
30,2015-08,50.17,53.07,45.04,45.83,25549451,PDCO
31,2015-09,45.06,46.49,42.65,43.25,22593642,PDCO
32,2015-10,43.25,47.93,42.62,47.4,21964697,PDCO
33,2015-11,47.4,48.87,44.4701,45.57,14519964,PDCO
34,2015-12,45.56,45.9,43.23,45.21,16298048,PDCO
35,2016-01,44.39,44.99,38.51,42.46,20493610,PDCO
36,2016-02,42.27,46.11,40.175,43.44,21664921,PDCO
37,2016-03,43.53,46.61,43.03,46.53,16903200,PDCO
38,2016-04,46.41,46.64,42.835,43.35,16085117,PDCO
39,2016-05,43.4,49.085,42.69,48.81,26044631,PDCO
40,2016-06,48.74,50.4,45.35,47.89,22988374,PDCO
41,2016-07,48.07,50.05,47.512,49.36,14546577,PDCO
42,2016-08,49.28,49.69,44.55,46.0,28479549,PDCO
43,2016-09,46.14,47.39,44.04,45.94,19196196,PDCO
44,2016-10,45.56,46.36,42.08,42.71,19023387,PDCO
45,2016-11,43.0,49.263999999999996,36.46,38.74,56687681,PDCO
46,2016-12,38.71,41.46,38.69,41.03,33220871,PDCO
47,2017-01,41.71,43.11,39.91,41.61,25753192,PDCO
48,2017-02,41.81,45.68,41.48,45.45,20008165,PDCO
49,2017-03,45.63,46.125,43.59,45.23,20169978,PDCO
50,2017-04,45.25,45.72,43.105,44.49,12739469,PDCO
51,2017-05,44.66,45.61,41.75,44.16,24595307,PDCO
52,2017-06,45.0,48.295,44.575,46.95,25058932,PDCO
53,2017-07,47.14,47.77,41.64,41.72,21485578,PDCO
54,2017-08,42.25,42.25,35.93,38.5,36825822,PDCO
55,2017-09,38.53,40.9,37.05,38.65,26660691,PDCO
56,2017-10,38.75,40.36,36.22,37.0,30529287,PDCO
57,2017-11,36.99,37.7,32.07,36.55,54109409,PDCO
58,2017-12,36.3,38.09,33.03,36.13,34289515,PDCO
59,2018-01,36.55,38.52,35.69,35.89,27677298,PDCO
60,2018-02,35.62,36.04,32.74,33.85,6247806,PDCO
