,date,open,high,low,close,volume,Name
0,2013-02,30.64,32.29,30.44,31.61,29753532,PFG
1,2013-03,31.4,34.58,31.05,34.03,28950140,PFG
2,2013-04,33.98,36.3698,32.59,36.1,33544797,PFG
3,2013-05,36.11,38.75,35.51,37.85,26920424,PFG
4,2013-06,37.99,39.05,35.65,37.45,31919404,PFG
5,2013-07,37.74,43.82,36.75,43.36,35811821,PFG
6,2013-08,43.82,44.94,40.29,40.92,26219383,PFG
7,2013-09,41.22,44.23,41.05,42.82,25354402,PFG
8,2013-10,42.99,48.17,41.45,47.46,27987616,PFG
9,2013-11,47.48,50.97,46.94,50.63,23042287,PFG
10,2013-12,50.86,50.91,47.28,49.31,28580620,PFG
11,2014-01,48.96,49.84,43.21,43.57,28252884,PFG
12,2014-02,43.62,46.045,41.2,45.35,25727895,PFG
13,2014-03,44.78,47.74,44.4,45.99,30320121,PFG
14,2014-04,46.34,47.84,42.9,46.84,33160491,PFG
15,2014-05,46.72,47.87,44.66,46.77,23256776,PFG
16,2014-06,46.87,50.74,46.57,50.48,22160894,PFG
17,2014-07,50.5,52.51,49.68,49.68,23164306,PFG
18,2014-08,49.4,54.54,48.82,54.29,22521512,PFG
19,2014-09,54.59,55.07,52.46,52.47,19733457,PFG
20,2014-10,52.39,53.57,46.49,52.37,37313113,PFG
21,2014-11,52.23,54.305,51.69,53.27,18270328,PFG
22,2014-12,52.83,54.19,48.95,51.94,27814092,PFG
23,2015-01,52.42,52.5,46.01,46.93,28518113,PFG
24,2015-02,47.24,52.22,46.6,51.17,23096223,PFG
25,2015-03,51.35,52.56,49.29,51.37,32159055,PFG
26,2015-04,51.28,52.42,49.81,51.12,29248870,PFG
27,2015-05,51.57,53.28,50.93,51.69,21539989,PFG
28,2015-06,51.88,53.42,50.66,51.29,29021221,PFG
29,2015-07,51.73,55.83,49.89,55.51,28866843,PFG
30,2015-08,55.47,58.02,48.25,50.35,34643321,PFG
31,2015-09,49.57,50.0,41.67,47.34,32816041,PFG
32,2015-10,47.5,51.22,45.91,50.16,24939965,PFG
33,2015-11,50.37,52.21,48.42,51.46,20166116,PFG
34,2015-12,51.77,52.18,43.64,44.98,36826197,PFG
35,2016-01,43.81,44.3,35.22,38.0,42479346,PFG
36,2016-02,37.85,38.98,33.09,37.81,53781884,PFG
37,2016-03,38.21,41.68,37.69,39.45,36443734,PFG
38,2016-04,39.2,44.34,38.38,42.68,35126924,PFG
39,2016-05,43.0,44.9,41.05,44.56,32598283,PFG
40,2016-06,43.97,44.82,38.035,41.11,37252595,PFG
41,2016-07,40.81,47.15,38.84,46.63,26005761,PFG
42,2016-08,46.73,49.5,45.11,49.07,27021806,PFG
43,2016-09,49.22,51.72,47.56,51.51,31412089,PFG
44,2016-10,51.26,56.32,50.96,54.6,32808681,PFG
45,2016-11,54.98,58.85,52.67,57.69,41703276,PFG
46,2016-12,57.75,61.34,57.391999999999996,57.86,31689834,PFG
47,2017-01,58.61,59.77,56.34,57.09,27964699,PFG
48,2017-02,57.65,63.12,56.12,62.54,25566446,PFG
49,2017-03,63.53,64.65,60.18,63.11,25008165,PFG
50,2017-04,63.3,65.56,61.38,65.13,18673965,PFG
51,2017-05,65.67,65.67,60.35,62.91,28230553,PFG
52,2017-06,62.75,66.12,61.95,64.07,25131559,PFG
53,2017-07,64.57,67.73,63.93,66.75,18950928,PFG
54,2017-08,67.0,67.235,61.88,62.52,20202946,PFG
55,2017-09,62.65,64.75,59.62,64.34,19622713,PFG
56,2017-10,64.62,69.2,64.46,65.85,20235665,PFG
57,2017-11,66.21,72.23,65.98,70.79,26317399,PFG
58,2017-12,70.57,72.04,68.28,70.56,20356700,PFG
59,2018-01,71.18,75.585,67.34,67.6,27698063,PFG
60,2018-02,67.34,68.885,61.3698,63.92,9539875,PFG
