,date,open,high,low,close,volume,Name
0,2013-02,89.64,93.61,89.4,91.75,67401164,PM
1,2013-03,91.69,92.94,90.0372,92.71,108987207,PM
2,2013-04,92.74,96.6,90.7,95.59,99201005,PM
3,2013-05,95.32,96.73,90.89,90.91,115894882,PM
4,2013-06,90.95,93.17,86.05,86.62,119773051,PM
5,2013-07,87.11,91.4,86.58,89.18,97735854,PM
6,2013-08,89.61,89.9,82.86,83.44,94720482,PM
7,2013-09,83.83,91.25,83.16,86.59,113517258,PM
8,2013-10,86.73,90.66,84.16,89.12,110404624,PM
9,2013-11,89.36,91.81,84.86,85.54,102902112,PM
10,2013-12,85.33,87.34,83.81,87.13,99830669,PM
11,2014-01,87.0,87.2,77.19,78.14,136227595,PM
12,2014-02,78.09,81.6,75.28,80.91,117505084,PM
13,2014-03,80.25,81.945,78.79,81.87,106968605,PM
14,2014-04,81.74,85.831,81.7,85.43,104315724,PM
15,2014-05,85.49,88.8,84.82,88.54,80191059,PM
16,2014-06,88.33,91.63,84.05,84.31,111614814,PM
17,2014-07,84.35,86.85,82.0,82.01,92230330,PM
18,2014-08,81.8,85.69,81.19,85.58,63184794,PM
19,2014-09,85.3,86.07,82.28,83.4,98238645,PM
20,2014-10,83.25,89.2401,81.9,89.01,113268269,PM
21,2014-11,88.85,90.25,85.49,86.93,76976149,PM
22,2014-12,86.37,87.68,81.16,81.45,101426254,PM
23,2015-01,81.6,85.29,79.86,80.24,118558205,PM
24,2015-02,80.24,83.86,80.06,82.96,85349328,PM
25,2015-03,82.88,83.22,75.3,75.33,132574224,PM
26,2015-04,75.27,85.75,75.27,83.47,128988516,PM
27,2015-05,83.47,86.91,82.56,83.07,70042154,PM
28,2015-06,82.9,83.66,79.38,80.17,95653466,PM
29,2015-07,80.36,86.505,80.1,85.53,80946357,PM
30,2015-08,85.5,86.34,76.54,79.8,84325426,PM
31,2015-09,78.21,83.05,77.0,79.33,91380748,PM
32,2015-10,79.68,90.08,78.41,88.4,91845106,PM
33,2015-11,88.73,88.98,83.27,87.39,71780326,PM
34,2015-12,87.44,90.27,85.74,87.91,93028254,PM
35,2016-01,86.85,90.24,84.46,90.01,104389760,PM
36,2016-02,89.79,92.87,87.42,91.03,95732625,PM
37,2016-03,91.6,99.53,90.79,98.11,107735010,PM
38,2016-04,97.77,102.0,95.91,98.12,93058089,PM
39,2016-05,98.42,102.55,97.2,98.68,73213411,PM
40,2016-06,98.48,102.01,96.89,101.72,114727241,PM
41,2016-07,102.3,104.2,96.95,100.26,96479206,PM
42,2016-08,99.74,100.58,98.24,99.93,78011977,PM
43,2016-09,99.8,102.38,97.12,97.22,91029201,PM
44,2016-10,97.35,98.01,95.0,96.44,88215656,PM
45,2016-11,96.63,98.21,86.9,88.28,134205800,PM
46,2016-12,87.85,92.63,86.78,91.49,92020083,PM
47,2017-01,91.79,96.97,89.97,96.13,88370703,PM
48,2017-02,95.61,109.99,95.2,109.35,91401345,PM
49,2017-03,109.0,114.65,108.681,112.9,107870373,PM
50,2017-04,112.91,115.63,108.56,110.84,89203836,PM
51,2017-05,111.0,121.11,109.95,119.8,73741012,PM
52,2017-06,120.0,123.55,116.73,117.45,78309420,PM
53,2017-07,117.86,121.69,109.31,116.71,89413842,PM
54,2017-08,115.43,118.29,113.88,116.93,77238406,PM
55,2017-09,117.17,119.425,110.94,111.01,69825696,PM
56,2017-10,111.23,115.28,104.26,104.64,93045184,PM
57,2017-11,104.78,105.0,101.58,102.75,88066579,PM
58,2017-12,102.83,110.27,102.15,105.65,92832468,PM
59,2018-01,105.82,111.25,103.02,107.23,103349438,PM
60,2018-02,107.04,107.58,96.66,98.88,37444247,PM
