,date,open,high,low,close,volume,Name
0,2013-02,63.57,64.89,60.37,62.39,43252609,PNC
1,2013-03,62.02,66.935,61.52,66.5,51031908,PNC
2,2013-04,66.41,69.65,63.69,67.88,73642825,PNC
3,2013-05,67.8,73.23,67.03,71.64,57536865,PNC
4,2013-06,71.75,74.19,69.15,72.92,54439110,PNC
5,2013-07,73.23,77.91,72.5801,76.05,57314637,PNC
6,2013-08,76.8,77.93,71.9675,72.27,36312123,PNC
7,2013-09,73.05,75.54,71.48,72.45,38395563,PNC
8,2013-10,72.4,75.86,70.63,73.53,48396795,PNC
9,2013-11,73.62,77.85,72.85,76.95,39254176,PNC
10,2013-12,76.85,78.36,73.92,77.58,42331695,PNC
11,2014-01,76.06,84.4299,76.06,79.88,56391219,PNC
12,2014-02,79.88,83.53,78.03,81.78,39022863,PNC
13,2014-03,80.82,87.8,80.25,87.0,46022985,PNC
14,2014-04,87.18,88.03,79.8,84.04,50689693,PNC
15,2014-05,83.96,85.88,81.65,85.27,37252031,PNC
16,2014-06,85.51,89.8475,84.71,89.05,34540412,PNC
17,2014-07,89.44,90.0,82.55,82.56,55002857,PNC
18,2014-08,82.34,86.0,81.0,84.75,37839878,PNC
19,2014-09,84.75,88.8,84.3563,85.58,40761126,PNC
20,2014-10,85.58,88.19,76.69,86.39,61494090,PNC
21,2014-11,86.71,88.85,86.12,87.47,33227524,PNC
22,2014-12,87.37,93.45,86.08,91.23,56210654,PNC
23,2015-01,91.84,92.1,81.84,84.54,67748842,PNC
24,2015-02,85.01,92.6799,84.29,91.96,41795527,PNC
25,2015-03,91.83,96.71,91.52,93.24,62139581,PNC
26,2015-04,93.32,93.91,90.4201,91.73,56296646,PNC
27,2015-05,92.33,96.06,91.68,95.69,40134744,PNC
28,2015-06,96.14,99.61,93.89,95.65,53185914,PNC
29,2015-07,96.89,100.52,94.09,98.18,47495047,PNC
30,2015-08,98.23,99.91,82.77,91.12,51758097,PNC
31,2015-09,89.15,92.65,86.58,89.2,49851410,PNC
32,2015-10,89.08,93.64,84.93,90.26,55848736,PNC
33,2015-11,90.83,96.08,90.71,95.51,41769622,PNC
34,2015-12,96.16,97.5,91.45,95.31,48054996,PNC
35,2016-01,94.0,94.26,82.54,86.65,57540616,PNC
36,2016-02,86.65,86.81,77.67,81.31,59105989,PNC
37,2016-03,81.82,87.96,81.62,84.57,49930661,PNC
38,2016-04,84.65,89.77,81.06,87.78,51528874,PNC
39,2016-05,88.52,90.85,84.39,89.74,44734976,PNC
40,2016-06,88.91,90.4315,77.4,81.39,64440607,PNC
41,2016-07,81.03,85.44,77.86,82.65,58635534,PNC
42,2016-08,83.09,90.16,81.35,90.1,47931134,PNC
43,2016-09,90.29,91.39,87.04,90.09,57643552,PNC
44,2016-10,89.55,95.74,87.34,95.6,65872910,PNC
45,2016-11,96.07,112.07,94.3,110.54,78057121,PNC
46,2016-12,111.23,118.57,110.68,116.96,58069567,PNC
47,2017-01,118.78,121.98,113.66,120.46,57952284,PNC
48,2017-02,121.66,128.52,119.0,127.23,39972954,PNC
49,2017-03,130.48,131.83,115.25,120.24,67051434,PNC
50,2017-04,120.65,122.99,115.45,119.75,47041043,PNC
51,2017-05,120.69,124.44,115.66,118.7,43464289,PNC
52,2017-06,119.35,128.25,117.06,124.87,46383197,PNC
53,2017-07,125.65,130.0,124.84,128.8,43980449,PNC
54,2017-08,131.31,133.26,124.65,125.41,48994680,PNC
55,2017-09,125.83,135.73,119.77,134.77,43039387,PNC
56,2017-10,135.26,139.23,132.64,136.79,35980130,PNC
57,2017-11,137.88,143.159,130.46,140.56,34608363,PNC
58,2017-12,140.9,147.28,136.98,144.29,34785986,PNC
59,2018-01,145.25,160.07,143.94,158.02,50063226,PNC
60,2018-02,157.41,159.84,146.34,155.0,16973180,PNC
