,date,open,high,low,close,volume,Name
0,2013-02,53.6,56.01,53.3,55.94,9418177,PNW
1,2013-03,55.9,57.955,55.56,57.89,10831934,PNW
2,2013-04,57.89,61.09,57.41,60.9,16139229,PNW
3,2013-05,60.82,61.89,55.6,56.48,17589090,PNW
4,2013-06,56.49,58.13,51.56,55.47,21772229,PNW
5,2013-07,55.85,60.33,54.02,58.9,12742477,PNW
6,2013-08,59.28,59.98,53.86,54.27,13637949,PNW
7,2013-09,54.53,56.12,52.03,54.74,17649747,PNW
8,2013-10,54.9,58.7,53.84,56.03,22504318,PNW
9,2013-11,56.08,56.72,52.81,53.36,20923246,PNW
10,2013-12,53.33,53.97,52.3194,52.92,20979049,PNW
11,2014-01,53.0,53.81,51.37,52.63,17495089,PNW
12,2014-02,52.63,55.99,51.15,55.65,21849156,PNW
13,2014-03,55.42,55.78,53.29,54.66,20411844,PNW
14,2014-04,54.66,57.31,53.71,55.95,19931074,PNW
15,2014-05,55.62,57.09,53.81,55.42,20065920,PNW
16,2014-06,55.45,58.06,53.04,57.84,14108111,PNW
17,2014-07,57.72,57.95,53.285,53.49,20631583,PNW
18,2014-08,54.0,56.97,52.13,56.95,20025725,PNW
19,2014-09,57.04,57.74,54.13,54.64,18303379,PNW
20,2014-10,54.7,61.56,54.59,61.47,17886214,PNW
21,2014-11,61.75,63.5,60.61,63.23,14245346,PNW
22,2014-12,62.85,71.11,62.6,68.31,26358016,PNW
23,2015-01,68.58,73.31,67.69,70.18,18815044,PNW
24,2015-02,70.18,70.71,63.81,64.08,19570174,PNW
25,2015-03,63.93,65.43,61.53,63.75,17347669,PNW
26,2015-04,63.76,64.95,60.78,61.2,14982379,PNW
27,2015-05,60.95,61.88,58.37,60.92,16830596,PNW
28,2015-06,61.04,61.336000000000006,56.01,56.89,18069679,PNW
29,2015-07,57.03,62.63,56.77,61.71,22091945,PNW
30,2015-08,61.72,65.23,58.95,59.53,19928163,PNW
31,2015-09,59.02,64.21,57.33,64.14,18047439,PNW
32,2015-10,64.16,67.02,62.43,63.51,19446345,PNW
33,2015-11,63.47,65.45,61.02,63.36,20515969,PNW
34,2015-12,63.33,65.51,60.7,64.48,20900723,PNW
35,2016-01,64.31,66.49,62.51,66.31,16922137,PNW
36,2016-02,66.24,71.3999,66.02,68.83,25225708,PNW
37,2016-03,69.2,75.15,66.35,75.07,19380416,PNW
38,2016-04,75.02,75.81,70.23,72.65,15345351,PNW
39,2016-05,72.78,74.653,70.11,73.59,16683951,PNW
40,2016-06,73.38,81.08,73.07,81.06,16665632,PNW
41,2016-07,81.56,82.78,77.79,78.87,15324886,PNW
42,2016-08,78.67,79.54,74.28,75.04,13033119,PNW
43,2016-09,74.91,80.19,73.94,75.99,15669116,PNW
44,2016-10,75.81,76.59,72.07,76.13,15467029,PNW
45,2016-11,76.21,77.34,70.865,73.93,18300655,PNW
46,2016-12,73.64,78.97,72.61,78.03,12578032,PNW
47,2017-01,77.99,78.8,75.79,77.63,11572826,PNW
48,2017-02,76.98,82.5,76.47,82.19,10804734,PNW
49,2017-03,81.37,84.72,80.601,83.38,15141227,PNW
50,2017-04,83.41,86.63,82.615,85.09,16221944,PNW
51,2017-05,85.11,88.65,83.52,88.35,16627541,PNW
52,2017-06,88.3,89.56,84.93,85.16,16973202,PNW
53,2017-07,85.4,87.376,83.95,86.73,11750485,PNW
54,2017-08,86.8,90.87,85.35,89.97,14493346,PNW
55,2017-09,90.14,90.92,83.95,84.56,12493990,PNW
56,2017-10,84.76,89.22,84.14,87.71,15900585,PNW
57,2017-11,87.91,92.48,86.23,91.81,14349297,PNW
58,2017-12,92.03,92.3,84.26,85.18,11155142,PNW
59,2018-01,85.3,85.55,78.31,79.95,15383653,PNW
60,2018-02,79.63,80.07,73.81,75.16,4807605,PNW
