,date,open,high,low,close,volume,Name
0,2013-02,68.995,70.035,64.1,67.33,72673938,PPG
1,2013-03,66.82,71.75,65.9755,66.97,40841038,PPG
2,2013-04,66.825,74.28,65.28,73.57,48667762,PPG
3,2013-05,72.91,80.415,72.555,76.805,28608238,PPG
4,2013-06,77.235,78.61,72.605,73.205,28737716,PPG
5,2013-07,73.525,81.13,72.29,80.22,31362642,PPG
6,2013-08,78.13,82.82,77.635,78.105,26249698,PPG
7,2013-09,79.27,86.105,78.175,83.53,22881984,PPG
8,2013-10,83.565,93.64,80.38,91.29,39336804,PPG
9,2013-11,91.4,93.445,89.676,92.03,25393412,PPG
10,2013-12,92.17,95.035,90.16,94.83,31964568,PPG
11,2014-01,94.75,96.115,90.215,91.18,46605900,PPG
12,2014-02,91.255,99.075,86.9125,98.91,36130118,PPG
13,2014-03,96.615,100.645,94.0172,96.73,30421638,PPG
14,2014-04,97.54,100.795,92.59,96.81,36754432,PPG
15,2014-05,96.575,101.44,96.09,100.805,23112498,PPG
16,2014-06,100.905,106.505,100.035,105.075,22402592,PPG
17,2014-07,105.11,105.83,99.17,99.18,26090278,PPG
18,2014-08,98.49,103.325,98.25,102.93,19114154,PPG
19,2014-09,103.195,103.27,98.19,98.37,22873810,PPG
20,2014-10,98.25,102.79700000000001,85.78,101.845,59176542,PPG
21,2014-11,102.025,109.77,98.635,109.41,34728548,PPG
22,2014-12,108.73,116.835,108.02,115.575,36457726,PPG
23,2015-01,115.575,116.99,109.905,111.44,34805358,PPG
24,2015-02,110.625,118.705,109.94,117.69,23888254,PPG
25,2015-03,118.445,118.95,110.025,112.77,29346124,PPG
26,2015-04,112.675,116.555,109.3,110.78,33368398,PPG
27,2015-05,110.865,115.955,110.33,114.445,27851088,PPG
28,2015-06,114.085,118.69,113.235,114.72,29055030,PPG
29,2015-07,115.78,118.27,101.61,108.38,48391588,PPG
30,2015-08,107.31,108.71,91.0,95.29,46194730,PPG
31,2015-09,93.27,97.88,84.4,87.69,45529707,PPG
32,2015-10,82.93,104.88,82.93,104.26,43772268,PPG
33,2015-11,104.22,106.76,98.86,105.74,26840112,PPG
34,2015-12,106.39,106.87,96.25,98.82,26980991,PPG
35,2016-01,97.27,99.32,89.9,95.12,43289606,PPG
36,2016-02,93.71,98.844,88.37,96.53,29249037,PPG
37,2016-03,97.55,112.1,96.92,111.49,31728952,PPG
38,2016-04,110.44,117.0,109.75,110.39,29825973,PPG
39,2016-05,110.18,111.25,104.96,107.68,25271701,PPG
40,2016-06,107.31,111.26,98.08,104.15,36257739,PPG
41,2016-07,104.32,110.14,101.715,104.71,32476161,PPG
42,2016-08,104.1,107.89,102.87,105.88,28876744,PPG
43,2016-09,106.02,107.97,99.78,103.36,27866587,PPG
44,2016-10,103.27,104.08,89.64,93.13,52247002,PPG
45,2016-11,93.25,98.69,90.87899999999999,95.93,37779579,PPG
46,2016-12,96.42,100.17,93.8001,94.76,32768573,PPG
47,2017-01,95.43,102.55,94.57,100.01,36827324,PPG
48,2017-02,99.65,103.4,99.0,102.43,25372515,PPG
49,2017-03,103.45,113.49,100.34,105.08,52563379,PPG
50,2017-04,105.5,111.98700000000001,104.18,109.84,26771061,PPG
51,2017-05,109.67,113.0,104.9,106.36,22288928,PPG
52,2017-06,106.49,111.74,106.39,109.96,29685605,PPG
53,2017-07,110.61,113.665,104.69,105.25,27812980,PPG
54,2017-08,104.94,106.85,100.45,104.32,30087121,PPG
55,2017-09,104.8,110.16,101.61,108.66,26956639,PPG
56,2017-10,108.66,119.85,108.4275,116.24,31164287,PPG
57,2017-11,116.34,118.5,113.25,116.85,23302684,PPG
58,2017-12,117.31,118.92,113.26,116.82,22419888,PPG
59,2018-01,116.98,122.0697,114.28,118.73,36851888,PPG
60,2018-02,118.16,118.77,109.6,114.13,10152964,PPG
