,date,open,high,low,close,volume,Name
0,2013-02,30.3,30.95,30.06,30.82,73275925,PPL
1,2013-03,30.8,31.35,29.95,31.31,82146439,PPL
2,2013-04,31.35,33.4,30.81,33.38,81630401,PPL
3,2013-05,33.4,33.55,29.523000000000003,29.7,141652092,PPL
4,2013-06,29.69,30.43,28.44,30.26,125494346,PPL
5,2013-07,30.68,31.96,29.03,31.77,102299543,PPL
6,2013-08,31.9,32.09,30.28,30.7,94726216,PPL
7,2013-09,30.97,31.13,29.81,30.38,93584675,PPL
8,2013-10,30.49,31.789,29.55,30.63,111329446,PPL
9,2013-11,30.68,31.2,29.91,30.71,80932207,PPL
10,2013-12,30.71,30.86,28.95,30.09,76521483,PPL
11,2014-01,30.13,30.625,29.4,30.57,91718568,PPL
12,2014-02,30.9,32.32,30.04,32.29,73415198,PPL
13,2014-03,32.19,33.24,31.19,33.14,100114911,PPL
14,2014-04,33.24,33.94,32.32,33.34,114589301,PPL
15,2014-05,33.55,35.12,33.0048,35.09,107349904,PPL
16,2014-06,34.99,35.56,33.165,35.53,95314306,PPL
17,2014-07,35.52,35.52,32.65,32.99,71093354,PPL
18,2014-08,32.79,34.64,31.79,34.63,80392655,PPL
19,2014-09,34.53,34.72,32.41,32.84,83387815,PPL
20,2014-10,32.95,36.3,32.09,34.99,105066723,PPL
21,2014-11,35.02,36.81,34.78,35.53,85134085,PPL
22,2014-12,35.48,38.1399,34.11,36.33,85253544,PPL
23,2015-01,36.48,36.58,34.7,35.5,94493562,PPL
24,2015-02,35.5,36.74,34.02,34.1,92358467,PPL
25,2015-03,34.03,34.47,31.31,33.66,126544649,PPL
26,2015-04,33.23,34.75,32.84,34.03,84544179,PPL
27,2015-05,34.12,35.09,32.92,34.71,85657149,PPL
28,2015-06,34.73,34.965,29.33,29.47,116674844,PPL
29,2015-07,29.66,32.08,29.32,31.81,102704875,PPL
30,2015-08,31.9,33.83,30.505,30.99,91062217,PPL
31,2015-09,30.6,32.91,29.1762,32.89,106739295,PPL
32,2015-10,33.0,34.92,32.22,34.4,111707696,PPL
33,2015-11,34.33,35.0,32.62,34.04,87038148,PPL
34,2015-12,34.2,34.48,32.36,34.13,95321676,PPL
35,2016-01,33.9,35.15,32.18,35.06,98987255,PPL
36,2016-02,35.15,37.23,34.6442,34.99,123137708,PPL
37,2016-03,35.22,38.09,34.0,38.07,90611332,PPL
38,2016-04,38.1,38.3,36.14,37.64,76301620,PPL
39,2016-05,37.64,39.08,37.1,38.54,87265431,PPL
40,2016-06,38.47,39.92,36.33,37.75,134577560,PPL
41,2016-07,37.8,37.88,36.66,37.71,83795481,PPL
42,2016-08,37.66,37.76,34.35,34.78,97384401,PPL
43,2016-09,34.75,35.94,33.5203,34.57,100279061,PPL
44,2016-10,34.48,34.57,32.08,34.34,114712033,PPL
45,2016-11,34.98,34.98,32.46,33.46,95219106,PPL
46,2016-12,33.28,34.9,32.69,34.05,84037999,PPL
47,2017-01,34.05,34.92,33.72,34.84,65488637,PPL
48,2017-02,34.66,37.01,34.58,36.88,58746155,PPL
49,2017-03,36.5,37.95,35.8207,37.39,76589530,PPL
50,2017-04,37.38,38.315,36.91,38.11,61088941,PPL
51,2017-05,38.17,40.1,37.4,39.91,67818592,PPL
52,2017-06,39.72,40.2,38.44,38.66,80273504,PPL
53,2017-07,38.8,38.84,37.1925,38.33,67270689,PPL
54,2017-08,38.99,39.81,38.35,39.24,51694219,PPL
55,2017-09,39.32,39.9,37.61,37.95,64125780,PPL
56,2017-10,38.03,38.55,37.09,37.56,73236844,PPL
57,2017-11,37.27,37.355,35.865,36.67,75232967,PPL
58,2017-12,36.86,36.99,30.74,30.95,141238834,PPL
59,2018-01,31.08,32.45,30.44,31.87,139352743,PPL
60,2018-02,31.67,31.93,29.205,30.27,33180976,PPL
