,date,open,high,low,close,volume,Name
0,2013-02,106.98,116.9,106.98,113.17,9622407,PRGO
1,2013-03,113.25,118.86,112.3,118.74,10778985,PRGO
2,2013-04,118.42,121.12,116.1825,119.41,9657432,PRGO
3,2013-05,119.25,121.33,113.38,115.84,11876680,PRGO
4,2013-06,116.24,122.04,112.05,121.0,16777335,PRGO
5,2013-07,121.19,134.31,120.6,124.39,28831921,PRGO
6,2013-08,125.52,129.43,115.94,121.55,26608103,PRGO
7,2013-09,122.23,126.22,121.2,123.38,18193508,PRGO
8,2013-10,123.35,139.32,123.11,137.89,26693795,PRGO
9,2013-11,138.22,157.0175,137.03,155.89,19072560,PRGO
10,2013-12,156.88,157.47,148.15,153.46,38354817,PRGO
11,2014-01,152.45,162.35,151.1301,155.66,23639863,PRGO
12,2014-02,155.02,168.39,144.46,164.44,28209571,PRGO
13,2014-03,162.95,168.24,151.87,154.66,17872077,PRGO
14,2014-04,154.86,158.99,137.53,144.86,23784713,PRGO
15,2014-05,145.15,146.491,125.37,138.2,31524902,PRGO
16,2014-06,138.75,149.01,136.18,145.76,23132737,PRGO
17,2014-07,146.35,160.65,143.48,150.45,32075885,PRGO
18,2014-08,151.74,153.0,137.29,148.74,21637473,PRGO
19,2014-09,149.44,153.17,135.0,150.19,18337094,PRGO
20,2014-10,151.04,163.63,142.38,161.45,18506679,PRGO
21,2014-11,160.59,161.15,145.41,160.19,25587722,PRGO
22,2014-12,160.43,171.57,151.71,167.16,18827154,PRGO
23,2015-01,165.99,172.0,151.39,151.74,16954969,PRGO
24,2015-02,151.88,157.65,147.21,154.47,21793071,PRGO
25,2015-03,155.39,174.65,153.69,165.55,23585515,PRGO
26,2015-04,166.26,215.73,161.86,183.28,84135348,PRGO
27,2015-05,186.8,200.9632,182.65,190.3,23622594,PRGO
28,2015-06,191.7,196.55,182.91,184.83,25429793,PRGO
29,2015-07,185.74,196.9,178.89,192.2,27501517,PRGO
30,2015-08,192.2,198.42,170.685,182.97,29741491,PRGO
31,2015-09,181.17,184.77,150.64,157.27,22005572,PRGO
32,2015-10,159.02,167.92,142.62,157.74,34476496,PRGO
33,2015-11,160.16,165.63,140.4,149.39,73724051,PRGO
34,2015-12,150.79,151.65,142.51,144.7,25896804,PRGO
35,2016-01,142.01,152.36,138.74,144.58,39154231,PRGO
36,2016-02,143.14,147.58,122.62,126.25,41125366,PRGO
37,2016-03,127.07,140.65,123.85,127.93,35494559,PRGO
38,2016-04,127.44,133.53,94.86,96.67,83470581,PRGO
39,2016-05,98.05,98.89,84.85,95.84,50545112,PRGO
40,2016-06,95.4,111.0,86.34,90.67,63171963,PRGO
41,2016-07,90.41,97.29,89.97,91.39,35252903,PRGO
42,2016-08,91.7,95.36,82.5,90.99,59304119,PRGO
43,2016-09,90.94,99.14,88.7,92.33,41276684,PRGO
44,2016-10,92.34,97.17,82.93,83.19,35597230,PRGO
45,2016-11,83.15,91.95,79.72,86.34,40559330,PRGO
46,2016-12,86.22,87.15,81.45,83.23,33394546,PRGO
47,2017-01,84.03,87.48,71.84,76.15,38270863,PRGO
48,2017-02,75.89,85.62,72.43,74.77,43750350,PRGO
49,2017-03,73.59,76.49,66.29,66.39,43875879,PRGO
50,2017-04,66.04,74.74,65.47,73.94,38171875,PRGO
51,2017-05,73.84,76.33,66.71,72.85,41275593,PRGO
52,2017-06,72.33,77.74,68.61,75.52,37261606,PRGO
53,2017-07,75.89,77.01,71.09,74.92,18538906,PRGO
54,2017-08,74.57,80.0,63.68,78.96,47296569,PRGO
55,2017-09,79.0,89.87,77.45,84.65,31542980,PRGO
56,2017-10,84.38,89.19,80.085,80.99,25174904,PRGO
57,2017-11,81.58,91.73,79.7,87.21,29023162,PRGO
58,2017-12,87.39,89.37,81.28,87.16,21368422,PRGO
59,2018-01,87.75,95.93,87.65,90.62,20553865,PRGO
60,2018-02,90.63,92.3,85.84,87.52,4768678,PRGO
