,date,open,high,low,close,volume,Name
0,2013-02,57.18,58.17,53.7,55.57,46110026,PRU
1,2013-03,55.1,60.6,54.29,58.99,62706706,PRU
2,2013-04,58.8,60.51,54.58,60.42,63720703,PRU
3,2013-05,60.38,70.76,59.18,68.97,71646195,PRU
4,2013-06,69.33,73.56,67.13,73.03,63584740,PRU
5,2013-07,73.1,79.99,72.8704,78.97,45255592,PRU
6,2013-08,79.67,83.67,74.1,74.88,54077231,PRU
7,2013-09,76.02,82.624,75.32,77.98,44073853,PRU
8,2013-10,77.95,83.14,75.21,81.39,42658023,PRU
9,2013-11,81.6,90.64,80.6,88.76,46947206,PRU
10,2013-12,88.93,92.68,86.95,92.22,39880169,PRU
11,2014-01,91.5,91.925,82.31,84.39,43747497,PRU
12,2014-02,84.42,87.03,79.542,84.58,51342154,PRU
13,2014-03,83.52,89.77,82.51,84.65,56199925,PRU
14,2014-04,85.04,87.7,77.3442,80.68,58335763,PRU
15,2014-05,80.66,85.15,78.9,82.16,51237536,PRU
16,2014-06,82.44,91.27,82.085,88.77,56884393,PRU
17,2014-07,89.23,91.88,86.97,86.97,46202921,PRU
18,2014-08,86.56,90.7,84.67,89.7,46455966,PRU
19,2014-09,90.02,94.3,87.94,87.94,46333880,PRU
20,2014-10,87.66,89.26,75.89,88.54,63527142,PRU
21,2014-11,88.55,89.17,83.05,84.98,48071967,PRU
22,2014-12,84.87,92.25,83.62,90.46,64517840,PRU
23,2015-01,91.01,91.35,75.75,75.88,59202462,PRU
24,2015-02,76.38,82.22,74.51,80.85,71185133,PRU
25,2015-03,80.71,83.99,78.51,80.31,60638836,PRU
26,2015-04,80.24,82.96,78.52,81.6,44007730,PRU
27,2015-05,82.4,87.255,81.99,84.61,46127503,PRU
28,2015-06,84.86,91.82,83.66,87.52,58288503,PRU
29,2015-07,88.79,89.94,84.12,88.36,44873140,PRU
30,2015-08,88.54,92.59899999999999,74.05,80.7,62579760,PRU
31,2015-09,78.18,81.57,73.95,76.21,53970818,PRU
32,2015-10,76.38,84.92,73.191,82.5,45665775,PRU
33,2015-11,82.82,88.77,82.51,86.55,43889427,PRU
34,2015-12,87.0,87.95,79.17,81.41,51199417,PRU
35,2016-01,79.55,80.34,65.07,70.08,65040099,PRU
36,2016-02,69.34,69.95,57.19,66.09,81612540,PRU
37,2016-03,67.2,75.57,67.04,72.22,65042498,PRU
38,2016-04,71.52,80.45,69.32,77.64,47241962,PRU
39,2016-05,78.28,80.49,74.93,79.25,45623821,PRU
40,2016-06,78.09,79.18,66.51,71.34,64702739,PRU
41,2016-07,70.11,76.17,67.51,75.29,38657597,PRU
42,2016-08,75.59,79.97,72.25,79.38,52171256,PRU
43,2016-09,79.62,82.13,77.68,81.65,57753431,PRU
44,2016-10,81.43,85.94,81.065,84.79,51195743,PRU
45,2016-11,85.29,101.96,83.09,100.6,69574589,PRU
46,2016-12,101.37,108.29,100.74,104.06,46520605,PRU
47,2017-01,105.23,108.06,103.05,105.11,37827727,PRU
48,2017-02,106.13,112.39,103.41,110.54,37957983,PRU
49,2017-03,112.72,114.55,102.01,106.68,46137882,PRU
50,2017-04,106.88,109.34,102.62,107.03,34823962,PRU
51,2017-05,107.64,111.57,102.75,104.85,39832918,PRU
52,2017-06,105.59,109.75,102.03,108.14,47212023,PRU
53,2017-07,109.04,114.1,109.04,113.23,28146053,PRU
54,2017-08,111.53,115.26,100.54,102.08,48578691,PRU
55,2017-09,102.34,107.5899,97.88,106.32,38799997,PRU
56,2017-10,106.91,112.64,106.25,110.46,31090844,PRU
57,2017-11,110.98,117.59,108.04,115.84,38458886,PRU
58,2017-12,116.0,118.17,112.41,114.98,30852397,PRU
59,2018-01,115.17,127.14,114.53,118.82,41064120,PRU
60,2018-02,118.58,120.59,106.51,111.17,13054662,PRU
