,date,open,high,low,close,volume,Name
0,2013-02,155.5,157.95,149.79,151.21,10176783,PSA
1,2013-03,150.94,154.62,146.12,152.32,13730807,PSA
2,2013-04,152.18,165.33,151.11,165.0,11410865,PSA
3,2013-05,163.81,168.66,151.58,151.8,15266050,PSA
4,2013-06,152.23,155.899,145.04,153.33,16208059,PSA
5,2013-07,153.63,163.74,149.46,159.22,11590956,PSA
6,2013-08,159.83,164.26,151.18,152.67,12307386,PSA
7,2013-09,153.92,168.3,150.46,160.55,11836169,PSA
8,2013-10,160.99,174.26,160.25,166.97,12308703,PSA
9,2013-11,168.01,176.68,152.395,152.7,13594818,PSA
10,2013-12,152.96,155.9,147.14,150.52,15832854,PSA
11,2014-01,150.49,158.73,148.04,157.59,14271734,PSA
12,2014-02,157.35,169.6,155.0,169.0,15167740,PSA
13,2014-03,168.2,172.11,164.65,168.49,15704320,PSA
14,2014-04,168.69,176.72,167.41,175.51,12643977,PSA
15,2014-05,175.27,176.49,168.29,172.38,14279587,PSA
16,2014-06,172.21,175.0,167.8,171.35,12238431,PSA
17,2014-07,171.85,175.86,169.53,171.61,10412096,PSA
18,2014-08,172.65,178.26,170.84,175.18,9550412,PSA
19,2014-09,175.5,177.13,162.34,165.84,13068589,PSA
20,2014-10,165.73,188.0,165.05,184.34,15689431,PSA
21,2014-11,184.32,190.19,183.2,187.63,11202839,PSA
22,2014-12,186.97,190.0,178.42,184.85,12628393,PSA
23,2015-01,185.35,206.915,185.05,200.84,12332382,PSA
24,2015-02,201.01,206.81,195.3801,197.22,13258718,PSA
25,2015-03,195.95,202.81,185.2,197.14,15479404,PSA
26,2015-04,197.4,199.93,186.4,187.91,11174798,PSA
27,2015-05,188.36,200.5974,186.27,193.54,14852282,PSA
28,2015-06,193.46,196.67,182.91,184.37,14955158,PSA
29,2015-07,183.36,206.73,182.08,205.18,13263794,PSA
30,2015-08,205.18,217.9855,196.61,201.27,14496768,PSA
31,2015-09,199.41,212.11,197.38,211.63,13605466,PSA
32,2015-10,212.72,233.72,210.87,229.46,13844482,PSA
33,2015-11,229.29,242.59,222.695,240.06,12947025,PSA
34,2015-12,241.9,253.93,235.42,247.7,19194854,PSA
35,2016-01,243.92,255.965,239.51,253.56,17051677,PSA
36,2016-02,253.14,257.98,224.7101,249.49,17837092,PSA
37,2016-03,249.73,276.83,247.67,275.83,14976740,PSA
38,2016-04,275.61,277.6,241.77,244.81,15476358,PSA
39,2016-05,245.24,267.3395,245.0,253.71,16076881,PSA
40,2016-06,253.03,262.74,234.98,255.59,22798215,PSA
41,2016-07,256.54,260.83,236.3,238.92,15526484,PSA
42,2016-08,238.78,239.3,221.51,223.94,18353687,PSA
43,2016-09,224.25,229.19,212.69,223.14,20151681,PSA
44,2016-10,222.6,222.6,200.65,213.72,17160473,PSA
45,2016-11,213.26,219.22,200.72,209.3,20843122,PSA
46,2016-12,208.16,224.4,205.93,223.5,18515937,PSA
47,2017-01,224.67,229.1,213.6,215.0,17069177,PSA
48,2017-02,215.07,231.49,212.5,227.46,13491087,PSA
49,2017-03,228.04,230.68,215.635,218.91,18088857,PSA
50,2017-04,219.0,232.21,208.46,209.38,14614416,PSA
51,2017-05,210.33,218.99,201.97,215.35,24035853,PSA
52,2017-06,215.21,215.62,204.84,208.53,21707768,PSA
53,2017-07,209.93,213.54,192.15,205.57,18939011,PSA
54,2017-08,202.3,207.0,194.5,205.34,16958824,PSA
55,2017-09,205.82,219.925,204.97,213.99,16899461,PSA
56,2017-10,214.55,219.53,198.11,207.25,19048349,PSA
57,2017-11,208.07,216.11,205.9,213.12,16026522,PSA
58,2017-12,213.97,215.45,203.61,209.0,14325381,PSA
59,2018-01,210.05,210.17,190.15,195.76,21033382,PSA
60,2018-02,196.1,196.58,180.9254,185.35,5776519,PSA
