,date,open,high,low,close,volume,Name
0,2013-02,63.41,65.38,59.935,62.96,53138788,PSX
1,2013-03,62.71,70.52,62.19,69.97,81112305,PSX
2,2013-04,70.0,70.2,56.13,60.95,120460801,PSX
3,2013-05,61.11,67.89,59.161,66.57,90863096,PSX
4,2013-06,67.04,67.085,56.84,58.91,69129643,PSX
5,2013-07,59.24,61.9699,54.8,61.5,98546972,PSX
6,2013-08,61.87,61.91,54.9,57.1,74190239,PSX
7,2013-09,57.76,59.32,55.81,57.82,67598840,PSX
8,2013-10,57.65,65.64,56.5,64.43,85033276,PSX
9,2013-11,64.47,71.0,63.29,69.61,62321952,PSX
10,2013-12,70.0,77.29,68.33,77.13,69948151,PSX
11,2014-01,77.17,78.9999,70.81,73.09,77563229,PSX
12,2014-02,73.12,78.8934,68.7801,74.86,75245858,PSX
13,2014-03,74.65,80.39,74.3709,77.06,63712425,PSX
14,2014-04,77.22,84.85,76.18,83.22,69543117,PSX
15,2014-05,83.27,85.42,80.82,84.79,71200667,PSX
16,2014-06,84.99,87.05,79.16,80.43,75382546,PSX
17,2014-07,80.6,83.41,78.533,81.11,70050259,PSX
18,2014-08,80.81,87.15,80.2382,87.02,51007116,PSX
19,2014-09,86.91,87.98,80.68,81.31,65770956,PSX
20,2014-10,81.31,82.0,66.12,78.5,125348077,PSX
21,2014-11,78.46,80.32,70.22,73.02,90574969,PSX
22,2014-12,73.0,75.26,64.02,71.7,102670329,PSX
23,2015-01,71.61,72.45,57.33,70.32,117369237,PSX
24,2015-02,71.31,80.59,70.07,78.46,76454314,PSX
25,2015-03,78.11,80.08,73.54,78.6,69804274,PSX
26,2015-04,79.07,81.99,76.43,79.31,62215163,PSX
27,2015-05,79.41,82.19,77.98,79.12,55080243,PSX
28,2015-06,79.55,81.36,76.7275,80.56,72888958,PSX
29,2015-07,80.64,84.39,75.44,79.5,86229740,PSX
30,2015-08,78.67,84.85,69.79,79.07,95116878,PSX
31,2015-09,78.13,82.75,73.93,76.84,94988308,PSX
32,2015-10,77.63,90.82,76.45,89.05,70104312,PSX
33,2015-11,88.39,94.12,87.92,91.53,55863765,PSX
34,2015-12,92.33,93.0,79.475,81.8,70541793,PSX
35,2016-01,81.21,81.89,74.32,80.15,92658802,PSX
36,2016-02,79.68,81.7495,71.74,79.39,93489469,PSX
37,2016-03,80.01,90.87,79.7,86.59,64120802,PSX
38,2016-04,85.6,89.31,81.15,82.11,52759016,PSX
39,2016-05,82.44,82.5,76.68,80.36,65215721,PSX
40,2016-06,79.9,82.42,76.4,79.34,63592304,PSX
41,2016-07,79.07,79.9099,73.67,76.06,66521403,PSX
42,2016-08,75.3,79.79,74.02,78.45,59726863,PSX
43,2016-09,78.93,81.31,76.76,80.55,60310627,PSX
44,2016-10,80.42,81.99,78.06,81.15,40683778,PSX
45,2016-11,82.35,85.63,77.66,83.08,55821547,PSX
46,2016-12,83.92,88.87,83.6,86.41,39990187,PSX
47,2017-01,87.31,88.26,81.15,81.62,46164790,PSX
48,2017-02,82.11,82.319,77.69,78.19,50954878,PSX
49,2017-03,78.91,80.28,76.28,79.22,62029718,PSX
50,2017-04,79.09,80.94,75.135,79.56,47899922,PSX
51,2017-05,79.52,80.68,76.0,76.11,45996418,PSX
52,2017-06,76.38,83.11,75.85,82.69,52391145,PSX
53,2017-07,82.97,84.93,81.11,83.75,36292610,PSX
54,2017-08,84.04,87.3,80.73,83.81,47741362,PSX
55,2017-09,83.87,92.19,82.66,91.61,42141303,PSX
56,2017-10,91.36,95.0,89.26,91.08,42185095,PSX
57,2017-11,91.03,97.69,90.915,97.56,35838314,PSX
58,2017-12,97.98,102.43,95.35,101.15,34570458,PSX
59,2018-01,101.66,107.47,101.0701,102.4,37743817,PSX
60,2018-02,102.33,102.99,92.7,95.61,17082252,PSX
