,date,open,high,low,close,volume,Name
0,2013-02,124.03,124.53,116.94,121.85,32998481,PVH
1,2013-03,121.49,125.5,106.6062,106.81,24287792,PVH
2,2013-04,106.54,116.5,102.72,115.41,23816236,PVH
3,2013-05,115.46,120.58,113.45,115.19,13245434,PVH
4,2013-06,115.31,126.99,107.09,125.05,20270001,PVH
5,2013-07,126.65,133.74,124.09,131.79,13201518,PVH
6,2013-08,133.51,134.98,125.62200000000001,128.75,11962750,PVH
7,2013-09,130.41,132.29,116.64,118.69,23189990,PVH
8,2013-10,118.36,127.16,114.52,124.57,23834287,PVH
9,2013-11,124.84,135.43,124.03,133.92,10836616,PVH
10,2013-12,133.67,136.32,125.72,136.02,18985015,PVH
11,2014-01,135.76,138.94,119.7,120.87,19957319,PVH
12,2014-02,120.64,127.05,114.79,126.43,21878361,PVH
13,2014-03,125.22,127.2499,114.101,124.77,31449944,PVH
14,2014-04,126.17,127.17,120.05,125.57,21312567,PVH
15,2014-05,125.47,133.89,124.95,131.63,16483165,PVH
16,2014-06,131.75,132.34,113.99,116.6,29004552,PVH
17,2014-07,117.25,119.65,110.1,110.18,17269274,PVH
18,2014-08,108.0,119.29,107.04700000000001,116.74,19877128,PVH
19,2014-09,116.97,130.0,115.07,121.15,19085407,PVH
20,2014-10,121.22,123.56,109.29,114.35,20573352,PVH
21,2014-11,114.74,127.43,112.1,127.14,15314645,PVH
22,2014-12,126.24,129.17,119.15,128.17,22054378,PVH
23,2015-01,128.89,129.03,109.0,110.26,22509450,PVH
24,2015-02,110.45,113.84,101.74,106.53,25171803,PVH
25,2015-03,106.07,108.2,93.8,106.56,39318286,PVH
26,2015-04,106.68,111.98,102.3,103.35,21128522,PVH
27,2015-05,103.98,107.15,102.12,104.64,15180646,PVH
28,2015-06,104.54,117.5,103.9,115.2,26078576,PVH
29,2015-07,116.14,118.27,111.07,116.04,14425105,PVH
30,2015-08,115.61,120.11,104.88,118.98,23039746,PVH
31,2015-09,116.34,120.67,96.26,101.94,20614198,PVH
32,2015-10,101.81,103.37,87.12,90.95,24615309,PVH
33,2015-11,90.95,96.16,84.05,91.29,19374546,PVH
34,2015-12,91.24,94.88,71.99,73.65,36979559,PVH
35,2016-01,72.72,74.83,64.16,73.38,24146481,PVH
36,2016-02,72.37,80.95,68.96,79.15,28277190,PVH
37,2016-03,80.09,100.0,79.0993,99.06,26775526,PVH
38,2016-04,98.68,99.79,91.39,95.6,18787473,PVH
39,2016-05,96.0,97.16,82.1,93.8,33236897,PVH
40,2016-06,93.6,103.36,83.8,94.23,28498067,PVH
41,2016-07,94.39,102.93,91.31,101.06,15008517,PVH
42,2016-08,100.85,111.75,92.83,107.76,21506025,PVH
43,2016-09,107.84,111.93,105.04,110.5,16690854,PVH
44,2016-10,110.29,115.4,104.92,106.98,17474573,PVH
45,2016-11,107.57,114.88,102.29,105.94,21224845,PVH
46,2016-12,105.0,113.21,89.51,90.24,32828431,PVH
47,2017-01,90.96,96.5,88.71,93.81,24657231,PVH
48,2017-02,93.25,93.32,84.53,91.6,24866521,PVH
49,2017-03,92.48,104.28,88.89,103.47,30277014,PVH
50,2017-04,103.48,104.72,98.04,101.03,19976613,PVH
51,2017-05,101.02,109.01,96.85,105.95,27421535,PVH
52,2017-06,106.04,115.86,102.05,114.5,21106699,PVH
53,2017-07,114.45,120.49,110.59,119.29,13665684,PVH
54,2017-08,119.7,130.25,118.6601,125.89,22692458,PVH
55,2017-09,126.19,130.75,123.78,126.06,15253494,PVH
56,2017-10,125.92,133.24,123.65,126.81,15371534,PVH
57,2017-11,127.37,139.515,120.91,134.55,18637497,PVH
58,2017-12,135.18,138.7,130.81,137.21,16471578,PVH
59,2018-01,137.59,157.96,137.27,155.08,14307870,PVH
60,2018-02,153.0,155.6599,141.06,149.21,4299703,PVH
