,date,open,high,low,close,volume,Name
0,2013-02,125.0,133.68,119.83,125.81,40555887,PXD
1,2013-03,124.75,129.97,120.95,124.25,28106973,PXD
2,2013-04,124.2,124.96,109.185,122.23,32351197,PXD
3,2013-05,121.09,146.68,118.07,138.68,36983459,PXD
4,2013-06,139.8,157.81,137.44,144.75,28078123,PXD
5,2013-07,146.19,157.89,146.19,154.76,22887423,PXD
6,2013-08,173.7,182.67,166.15,174.97,24546978,PXD
7,2013-09,177.09,190.15,175.92,188.8,18337876,PXD
8,2013-10,189.34,227.419,188.2,204.78,42339475,PXD
9,2013-11,205.2,221.2,172.6,177.75,47796360,PXD
10,2013-12,178.0,190.8,174.35,184.07,32056445,PXD
11,2014-01,182.95,184.24,163.9,169.32,36101416,PXD
12,2014-02,169.36,204.17,164.1,201.18,41284954,PXD
13,2014-03,199.47,205.89,177.32,187.14,29671049,PXD
14,2014-04,187.54,204.66,177.53,193.27,29403344,PXD
15,2014-05,192.94,211.47,191.48,210.16,24986540,PXD
16,2014-06,211.37,234.2,207.81,229.81,27755923,PXD
17,2014-07,231.41,234.6,216.93,221.46,21719953,PXD
18,2014-08,216.84,223.4,199.39,208.65,26972872,PXD
19,2014-09,207.93,209.25,193.03,196.97,28927231,PXD
20,2014-10,196.65,199.56,156.825,189.06,50507265,PXD
21,2014-11,190.74,195.79,139.06,143.23,52318672,PXD
22,2014-12,142.14,154.4,127.31,148.85,60242167,PXD
23,2015-01,147.54,156.61,133.95,150.53,45793133,PXD
24,2015-02,153.5,162.8299,143.24,152.52,48630671,PXD
25,2015-03,151.93,167.3,150.59,163.51,43287501,PXD
26,2015-04,164.94,181.97,164.92,172.78,31775396,PXD
27,2015-05,172.99,174.4,147.38,147.83,49747538,PXD
28,2015-06,147.94,154.87,136.18,138.69,41721847,PXD
29,2015-07,137.75,140.08,120.15,126.77,48762267,PXD
30,2015-08,125.38,131.5,105.83,123.06,49518130,PXD
31,2015-09,119.19,127.11,111.785,121.64,40128578,PXD
32,2015-10,122.96,140.84,120.13,137.14,53904653,PXD
33,2015-11,135.53,150.0,134.48,144.75,36440545,PXD
34,2015-12,145.98,149.695,114.4,125.38,62199633,PXD
35,2016-01,125.19,127.09,103.5,123.95,80376614,PXD
36,2016-02,121.79,133.79,105.22,120.53,62469995,PXD
37,2016-03,121.57,145.87,120.08,140.74,59840356,PXD
38,2016-04,137.19,171.88,136.97,166.1,49766783,PXD
39,2016-05,165.81,168.5,155.745,160.32,34751232,PXD
40,2016-06,158.03,169.46,146.08,151.21,53870176,PXD
41,2016-07,151.67,163.13,147.21,162.57,42218749,PXD
42,2016-08,161.04,186.33,155.63,179.05,43589766,PXD
43,2016-09,178.03,190.94,170.31,185.65,37787966,PXD
44,2016-10,185.0,193.39,178.43,179.02,27979738,PXD
45,2016-11,179.93,193.17,166.5,191.04,42614935,PXD
46,2016-12,193.97,195.0,179.3,180.07,31287165,PXD
47,2017-01,182.99,188.43,177.74,180.23,26533606,PXD
48,2017-02,181.46,199.83,168.13,185.97,42480822,PXD
49,2017-03,188.5,196.0,177.0,186.23,48612521,PXD
50,2017-04,186.15,192.93,170.59,172.99,30982172,PXD
51,2017-05,173.34,177.86,162.33,166.86,39051285,PXD
52,2017-06,167.48,172.4,153.42,159.58,40288753,PXD
53,2017-07,160.4,166.29,153.1,163.1,24833857,PXD
54,2017-08,163.29,164.75,125.46,129.65,66488994,PXD
55,2017-09,130.0,150.67,127.26,147.54,35340171,PXD
56,2017-10,145.69,154.165,140.31,149.67,38117888,PXD
57,2017-11,150.92,162.52,144.13,156.04,35412884,PXD
58,2017-12,157.24,174.59,150.04,172.85,26965116,PXD
59,2018-01,174.3,189.95,172.29,182.91,35577968,PXD
60,2018-02,183.3,186.65,166.21,176.2,12408160,PXD
