,date,open,high,low,close,volume,Name
0,2013-02,110.6,113.53,109.08,113.05,18520928,PX
1,2013-03,112.87,114.53,110.58,111.54,22198779,PX
2,2013-04,111.82,114.67,107.69,114.3,29407209,PX
3,2013-05,114.11,116.9,112.66,114.33,22991449,PX
4,2013-06,114.53,120.16,112.78,115.16,28897119,PX
5,2013-07,116.1,121.82,113.2,120.17,31487629,PX
6,2013-08,121.62,121.86,115.79,117.4,21162622,PX
7,2013-09,118.76,124.41,116.38,120.21,21183631,PX
8,2013-10,119.88,128.12,117.54,124.71,18363179,PX
9,2013-11,125.17,127.34,123.27,126.26,16923384,PX
10,2013-12,126.11,130.5847,122.34,130.03,19796879,PX
11,2014-01,129.14,134.23,123.61,124.72,29084279,PX
12,2014-02,124.87,131.14600000000002,121.22,130.37,24845241,PX
13,2014-03,129.71,135.24,128.55,130.97,26025205,PX
14,2014-04,132.56,133.24,126.471,130.55,25316806,PX
15,2014-05,130.83,132.62,129.38,132.24,16164151,PX
16,2014-06,132.0,134.84,130.202,132.84,17932399,PX
17,2014-07,133.28,133.65,128.03,128.14,20204536,PX
18,2014-08,128.99,131.98,126.58,131.66,16529868,PX
19,2014-09,131.82,134.06,128.99,129.0,24842905,PX
20,2014-10,128.81,129.295,117.32,125.99,41668639,PX
21,2014-11,126.2,131.18,123.6,128.38,19770538,PX
22,2014-12,127.91,132.95,121.96,129.56,22960839,PX
23,2015-01,129.64,130.22,119.92,120.59,26864700,PX
24,2015-02,121.08,129.5,119.88,127.9,22514120,PX
25,2015-03,127.94,130.38,119.69,120.74,32477352,PX
26,2015-04,120.58,124.99,119.75,121.93,30498695,PX
27,2015-05,122.25,123.66,117.19,122.86,26639257,PX
28,2015-06,123.01,124.17,118.98,119.55,28864792,PX
29,2015-07,120.36,120.51,111.54,114.14,31211594,PX
30,2015-08,114.1,115.56,101.01,105.75,37518587,PX
31,2015-09,103.52,108.22,98.55,101.86,48042237,PX
32,2015-10,102.1,114.72,99.59,111.09,35231974,PX
33,2015-11,111.35,118.58,109.85,112.8,35527341,PX
34,2015-12,112.25,112.36,101.3,102.4,33388648,PX
35,2016-01,101.03,102.53,95.6,100.0,38362450,PX
36,2016-02,99.83,106.99,97.78,101.79,34224844,PX
37,2016-03,102.85,115.32,102.39,114.45,34152489,PX
38,2016-04,113.95,120.04,111.29,117.46,21102322,PX
39,2016-05,117.57,118.74,109.51,109.86,22814880,PX
40,2016-06,109.57,115.21,106.305,112.39,31137429,PX
41,2016-07,112.52,119.13,110.12,116.54,18964632,PX
42,2016-08,116.94,125.0,114.99,122.04,27502828,PX
43,2016-09,122.27,123.67,115.61,120.83,32568454,PX
44,2016-10,120.36,122.0,114.7,117.06,19754187,PX
45,2016-11,117.16,123.949,114.43,120.3,26709053,PX
46,2016-12,120.58,124.48,116.1271,117.19,29863597,PX
47,2017-01,117.97,121.0,115.0,118.44,34857186,PX
48,2017-02,117.32,119.71,115.53,118.71,23283545,PX
49,2017-03,119.78,120.62,115.67,118.6,33029339,PX
50,2017-04,118.75,125.97,117.11,124.98,23464439,PX
51,2017-05,125.39,133.68,122.9,132.29,28527705,PX
52,2017-06,132.5,138.69,131.1,132.55,31723901,PX
53,2017-07,132.29,136.59,129.46,130.16,22330066,PX
54,2017-08,130.32,134.15,127.36,131.54,22997578,PX
55,2017-09,131.15,141.88,129.83,139.74,27121023,PX
56,2017-10,139.59,149.91,139.24,146.12,24480691,PX
57,2017-11,148.61,156.4,145.74,153.92,34310274,PX
58,2017-12,153.73,155.75,148.75,154.68,35695511,PX
59,2018-01,154.76,166.95,153.31,161.49,46218403,PX
60,2018-02,159.84,160.9,148.02,150.01,12167035,PX
