,date,open,high,low,close,volume,Name
0,2015-01,69.0,78.05,63.02,73.87,39885013,QRVO
1,2015-02,73.08,74.0,63.17,69.4,28813152,QRVO
2,2015-03,69.39,85.6275,68.35,79.7,41220188,QRVO
3,2015-04,78.53,79.3,65.442,65.91,31930428,QRVO
4,2015-05,66.8,86.75,66.02,82.15,41423748,QRVO
5,2015-06,82.5,88.35,77.6,80.27,97118218,QRVO
6,2015-07,81.25,82.25,57.1,57.95,53440020,QRVO
7,2015-08,57.52,59.68,45.0,55.51,58706516,QRVO
8,2015-09,53.89,59.45,42.73,45.05,40586329,QRVO
9,2015-10,44.46,51.625,42.24,43.93,33478287,QRVO
10,2015-11,44.13,58.43,43.96,58.07,43239476,QRVO
11,2015-12,58.31,60.0,49.48,50.9,29602961,QRVO
12,2016-01,49.68,50.97,35.16,39.6,49760679,QRVO
13,2016-02,39.45,46.64,33.3,45.08,42182170,QRVO
14,2016-03,45.52,51.95,45.5,50.41,33890493,QRVO
15,2016-04,50.15,51.27,43.97,45.03,26932949,QRVO
16,2016-05,45.07,51.56,43.79,50.97,32197661,QRVO
17,2016-06,50.65,58.3,50.25,55.26,36871867,QRVO
18,2016-07,54.4,64.8,50.45,63.23,29943168,QRVO
19,2016-08,63.5,64.48,52.46,57.43,46862325,QRVO
20,2016-09,57.46,58.33,51.19,55.74,38179057,QRVO
21,2016-10,55.4,57.49,52.6,55.65,23743879,QRVO
22,2016-11,55.66,57.68,48.28,53.41,41941386,QRVO
23,2016-12,53.41,59.12,49.53,52.73,27722472,QRVO
24,2017-01,53.18,64.51,52.12,64.21,37286402,QRVO
25,2017-02,65.15,68.66,61.12,66.1,33323104,QRVO
26,2017-03,66.5,69.71,64.79,68.56,30001839,QRVO
27,2017-04,68.56,72.42,67.06,68.03,28578809,QRVO
28,2017-05,68.26,79.339,65.39,77.95,47632424,QRVO
29,2017-06,78.07,79.11,63.03,63.32,39530879,QRVO
30,2017-07,63.49,70.27,62.68,68.56,28838876,QRVO
31,2017-08,68.67,73.66,64.7,73.22,27041137,QRVO
32,2017-09,73.39,76.47,67.6975,70.68,21867062,QRVO
33,2017-10,70.84,77.055,69.12,75.81,21016578,QRVO
34,2017-11,76.16,81.2,71.19,76.58,28708974,QRVO
35,2017-12,76.09,76.3,64.53,66.6,34281492,QRVO
36,2018-01,67.06,75.08,65.56,71.77,43581125,QRVO
37,2018-02,79.32,85.24,74.11,78.09,26986224,QRVO
