,date,open,high,low,close,volume,Name
0,2013-02,164.77,182.59,154.16,167.0,13455014,REGN
1,2013-03,166.65,177.99,165.25,176.403,10954267,REGN
2,2013-04,180.0,220.98,177.1239,215.14,33850331,REGN
3,2013-05,214.75,283.98900000000003,214.7,241.88,25129510,REGN
4,2013-06,241.83,261.75,206.3,224.88,20448549,REGN
5,2013-07,231.6,282.27,225.78,270.06,14501060,REGN
6,2013-08,272.57,278.73,227.64,242.31,14015080,REGN
7,2013-09,245.99,319.83,245.985,312.87,16273768,REGN
8,2013-10,316.58,319.5,271.15,287.6,15151045,REGN
9,2013-11,290.81,305.67,268.01,293.86,18025320,REGN
10,2013-12,292.41,297.59,257.69,275.24,14240903,REGN
11,2014-01,275.77,304.42,262.97,288.59,19526178,REGN
12,2014-02,288.91,348.25,274.02,332.5,23688559,REGN
13,2014-03,328.0903,352.49,296.61,300.28,27739064,REGN
14,2014-04,304.76,316.0,273.23,296.89,21947881,REGN
15,2014-05,297.1,311.69,276.01,306.96,15365859,REGN
16,2014-06,308.7,320.0,269.5,282.47,18324937,REGN
17,2014-07,285.5,336.9399,285.0601,316.22,19971981,REGN
18,2014-08,323.74,354.79,314.0,350.455,13943751,REGN
19,2014-09,367.0,369.31,340.39,360.52,16777801,REGN
20,2014-10,363.95,410.1847,320.06,393.72,20889279,REGN
21,2014-11,395.27,419.27,365.25,416.11,15016854,REGN
22,2014-12,413.98,437.6384,383.87,410.25,17009903,REGN
23,2015-01,413.9,427.45,395.555,416.66,17198560,REGN
24,2015-02,419.79,432.38,393.0,413.84,16319011,REGN
25,2015-03,416.28,495.5,406.85,451.48,21060037,REGN
26,2015-04,450.0,486.0,433.47,457.46,15876961,REGN
27,2015-05,463.02,519.4587,462.0,512.56,15388267,REGN
28,2015-06,517.08,544.0,482.9175,510.13,17542360,REGN
29,2015-07,515.23,569.9145,503.64,553.66,13332615,REGN
30,2015-08,558.47,605.9299,480.5,513.5,18120903,REGN
31,2015-09,500.86,557.87,435.515,465.14,20763848,REGN
32,2015-10,464.01,578.0,448.1,557.39,19790977,REGN
33,2015-11,561.85,592.59,540.26,544.5,15065033,REGN
34,2015-12,549.25,563.79,526.261,542.87,12989906,REGN
35,2016-01,531.76,532.91,400.0,420.09,21408701,REGN
36,2016-02,417.19,437.525,350.26,384.02,19532192,REGN
37,2016-03,387.86,419.0,348.96,360.44,20600742,REGN
38,2016-04,373.99,433.93,360.81,376.71,20819713,REGN
39,2016-05,377.95,402.48,360.25,398.93,20854113,REGN
40,2016-06,398.75,408.35,329.09,349.23,20556016,REGN
41,2016-07,349.0,425.88,348.43,425.12,15301775,REGN
42,2016-08,425.09,443.99,390.015,392.55,17168907,REGN
43,2016-09,394.75,424.35,384.01,402.02,16500033,REGN
44,2016-10,402.02,407.79,344.85,345.02,12729555,REGN
45,2016-11,345.52,452.96,325.35,379.24,24679151,REGN
46,2016-12,379.48,396.675,348.82,367.09,17773027,REGN
47,2017-01,370.84,389.22,340.09,359.29,21783768,REGN
48,2017-02,358.74,384.58,347.0,373.5,17102099,REGN
49,2017-03,378.0,401.2099,364.44,387.51,22479802,REGN
50,2017-04,388.0,393.5,360.0,388.49,16528375,REGN
51,2017-05,388.8,464.4,388.22,459.06,20560503,REGN
52,2017-06,460.0,543.5518,453.54,491.14,25697427,REGN
53,2017-07,494.2,526.12,482.51,491.62,14085847,REGN
54,2017-08,486.6,502.4199,459.14,496.9,15289218,REGN
55,2017-09,498.24,505.49,426.47,447.12,16434524,REGN
56,2017-10,448.31,477.0,400.19,402.62,18172546,REGN
57,2017-11,403.81,432.5,353.1358,361.86,21699257,REGN
58,2017-12,356.37,390.91,355.03,375.96,13330737,REGN
59,2018-01,379.48,396.78,363.0,366.65,17210675,REGN
60,2018-02,366.69,370.99,319.5,334.61,8274867,REGN
