,date,open,high,low,close,volume,Name
0,2013-02,118.9,126.26,118.5,124.61,6348829,RE
1,2013-03,124.27,131.38,123.56,129.86,6945721,RE
2,2013-04,129.44,135.01,123.22,134.99,8187546,RE
3,2013-05,134.4,136.4,125.33,129.61,10992525,RE
4,2013-06,130.5,131.13,122.89,128.26,6324484,RE
5,2013-07,128.9,137.5,125.311,133.53,8803383,RE
6,2013-08,134.64,140.81,132.1825,136.95,6675021,RE
7,2013-09,137.05,146.87,134.1,145.41,8596498,RE
8,2013-10,145.8,155.65,144.3,153.74,7985354,RE
9,2013-11,153.93,159.86,151.80200000000002,156.83,5522005,RE
10,2013-12,153.98,156.7496,147.12,155.87,6367328,RE
11,2014-01,155.05,155.3899,142.68,144.76,7979810,RE
12,2014-02,145.01,150.64,136.35,149.24,10594938,RE
13,2014-03,148.14,153.1,146.69,153.05,7772595,RE
14,2014-04,152.98,161.52,149.96,158.03,7845683,RE
15,2014-05,158.6,162.18,155.76,160.02,6836612,RE
16,2014-06,159.73,163.07,157.2101,160.49,6049746,RE
17,2014-07,161.54,165.65,155.4901,155.91,8011652,RE
18,2014-08,157.64,164.86,156.83,163.84,6159544,RE
19,2014-09,164.54,166.98,159.26,162.01,6087405,RE
20,2014-10,161.57,171.37,155.23,170.65,7086782,RE
21,2014-11,171.68,177.14,169.17,175.39,4371358,RE
22,2014-12,173.48,176.9,165.84,170.3,6338224,RE
23,2015-01,170.4,175.855,165.53,171.38,5512568,RE
24,2015-02,171.4,184.612,170.42,177.43,5883672,RE
25,2015-03,178.22,179.99,172.86,174.0,6611832,RE
26,2015-04,174.05,184.22,172.48,178.91,6599896,RE
27,2015-05,180.5,186.26,178.3,181.51,5440291,RE
28,2015-06,181.28,186.87,179.18,182.01,5315595,RE
29,2015-07,185.0,193.98,180.0,183.12,7792580,RE
30,2015-08,183.42,187.37,167.665,175.81,6358554,RE
31,2015-09,173.1,178.38,170.05,173.34,6030984,RE
32,2015-10,173.36,183.08,170.0,177.97,6226266,RE
33,2015-11,178.06,186.86,176.34599999999998,184.44,4595238,RE
34,2015-12,184.87,189.08,180.18,183.09,5786399,RE
35,2016-01,181.69,182.48,167.07,178.94,6228656,RE
36,2016-02,178.61,190.0,175.54,186.13,7263927,RE
37,2016-03,186.97,197.99,186.29,197.43,7331317,RE
38,2016-04,196.73,199.98,181.62,184.9,6986842,RE
39,2016-05,185.46,186.56,176.57,179.11,7804027,RE
40,2016-06,177.9,182.69,169.19,182.67,7842863,RE
41,2016-07,181.3,189.31,176.51,189.01,5932490,RE
42,2016-08,188.24,193.57,187.01,193.38,4813995,RE
43,2016-09,192.54,195.66,187.75,189.97,4826584,RE
44,2016-10,190.01,204.73,183.04,203.52,6022154,RE
45,2016-11,203.99,214.855,202.28,210.55,6840105,RE
46,2016-12,211.09,219.51,207.93,216.4,7014569,RE
47,2017-01,217.81,223.1,214.74,219.93,4702962,RE
48,2017-02,220.33,237.2,219.06,235.14,5495241,RE
49,2017-03,237.36,240.51,230.895,233.81,4557432,RE
50,2017-04,234.64,258.3,230.4,251.71,5356832,RE
51,2017-05,252.91,254.98,240.15,254.65,5840605,RE
52,2017-06,255.14,259.94,250.28,254.59,14814922,RE
53,2017-07,255.6,277.17,254.93,262.39,8325969,RE
54,2017-08,264.23,270.935,250.19,252.48,7438255,RE
55,2017-09,251.36,252.94,209.22,228.39,15085352,RE
56,2017-10,227.2,244.59,221.02,237.45,10529231,RE
57,2017-11,238.57,239.13,217.3,219.6,11843311,RE
58,2017-12,219.95,224.23,208.81,221.26,10462609,RE
59,2018-01,222.64,235.83,215.405,229.8,7892577,RE
60,2018-02,228.77,250.68,224.32,246.7,2747470,RE
