,date,open,high,low,close,volume,Name
0,2013-02,7.96,7.97,7.42,7.65,202072309,RF
1,2013-03,7.6,8.44,7.55,8.19,325655415,RF
2,2013-04,8.19,8.49,7.615,8.49,316076497,RF
3,2013-05,8.46,9.48,8.37,9.13,298319781,RF
4,2013-06,9.16,9.71,8.82,9.53,386445322,RF
5,2013-07,9.62,10.52,9.61,10.01,389321714,RF
6,2013-08,10.12,10.31,9.34,9.4,296210602,RF
7,2013-09,9.53,9.75,8.84,9.26,310877142,RF
8,2013-10,9.26,10.13,9.19,9.63,435439870,RF
9,2013-11,9.62,9.98,9.25,9.73,270741579,RF
10,2013-12,9.74,9.93,9.35,9.89,253041870,RF
11,2014-01,9.86,11.08,9.83,10.17,414267730,RF
12,2014-02,10.19,10.765,9.79,10.64,235011759,RF
13,2014-03,10.56,11.54,10.46,11.11,343858788,RF
14,2014-04,11.12,11.28,9.96,10.14,306668709,RF
15,2014-05,10.19,10.56,9.8,10.19,254085294,RF
16,2014-06,10.18,10.91,10.15,10.62,298121238,RF
17,2014-07,10.69,10.955,9.94,10.14,274829361,RF
18,2014-08,10.01,10.31,9.65,10.15,218569561,RF
19,2014-09,10.18,10.63,9.95,10.04,305593751,RF
20,2014-10,10.03,10.21,8.85,9.93,467196835,RF
21,2014-11,9.89,10.285,9.88,10.07,237463138,RF
22,2014-12,10.01,10.83,9.73,10.56,322216314,RF
23,2015-01,10.65,10.68,8.59,8.7,447496966,RF
24,2015-02,8.78,9.7299,8.7,9.61,275263011,RF
25,2015-03,9.58,9.98,9.17,9.45,395034307,RF
26,2015-04,9.45,9.91,9.28,9.83,356042718,RF
27,2015-05,9.86,10.41,9.75,10.09,286521411,RF
28,2015-06,10.14,10.815,9.96,10.36,330109767,RF
29,2015-07,10.47,10.865,9.82,10.39,411651940,RF
30,2015-08,10.4,10.81,8.76,9.59,387143725,RF
31,2015-09,9.35,9.765,8.74,9.01,326204181,RF
32,2015-10,9.01,9.76,8.54,9.35,345159569,RF
33,2015-11,9.44,10.23,9.38,10.14,294900408,RF
34,2015-12,10.21,10.28,9.2,9.6,387375468,RF
35,2016-01,9.35,9.51,7.08,8.12,487605370,RF
36,2016-02,8.13,8.15,7.0,7.52,464468680,RF
37,2016-03,7.61,8.57,7.585,7.85,403338344,RF
38,2016-04,7.8,9.63,7.53,9.38,471652856,RF
39,2016-05,9.45,9.995,8.89,9.83,386970127,RF
40,2016-06,9.67,10.0,7.86,8.51,448884029,RF
41,2016-07,8.44,9.32,7.8,9.17,424512792,RF
42,2016-08,9.21,10.0,8.82,9.97,338611814,RF
43,2016-09,9.99,10.08,9.37,9.87,383769301,RF
44,2016-10,9.82,10.955,9.78,10.71,371960714,RF
45,2016-11,10.8,13.64,10.32,13.54,608023180,RF
46,2016-12,13.61,14.73,13.55,14.36,451341411,RF
47,2017-01,14.56,14.93,13.65,14.41,307289561,RF
48,2017-02,14.55,15.66,14.2,15.27,266319605,RF
49,2017-03,15.61,16.03,13.61,14.53,393780730,RF
50,2017-04,14.56,14.91,13.0,13.75,376729340,RF
51,2017-05,13.8,14.61,13.6,13.84,373867341,RF
52,2017-06,13.93,14.85,13.26,14.64,415722174,RF
53,2017-07,14.77,14.97,14.01,14.6,283180255,RF
54,2017-08,14.7,15.28,13.89,14.11,311540193,RF
55,2017-09,14.13,15.33,13.025,15.23,239129930,RF
56,2017-10,15.09,15.88,14.62,15.48,259656125,RF
57,2017-11,15.54,16.94,15.06,16.59,272484306,RF
58,2017-12,16.6,17.58,16.05,17.28,201247775,RF
59,2018-01,17.39,19.6,17.24,19.23,222684906,RF
60,2018-02,19.19,19.9,17.73,18.96,75891591,RF
