,date,open,high,low,close,volume,Name
0,2013-02,35.64,37.15,34.65,35.55,17008997,RHI
1,2013-03,35.28,37.59,34.67,37.53,18640873,RHI
2,2013-04,37.53,37.75,32.35,32.82,30686556,RHI
3,2013-05,32.53,36.16,31.08,34.76,31804076,RHI
4,2013-06,34.85,34.92,31.79,33.23,18260336,RHI
5,2013-07,33.35,38.0,30.64,37.24,28919429,RHI
6,2013-08,37.44,39.1,35.14,35.27,16540954,RHI
7,2013-09,35.76,39.23,35.49,39.03,17738797,RHI
8,2013-10,39.13,41.13,37.88,38.53,21967902,RHI
9,2013-11,38.55,39.41,37.155,38.63,14314692,RHI
10,2013-12,38.62,42.33,38.06,41.99,19065794,RHI
11,2014-01,41.72,43.06,39.79,41.78,30822791,RHI
12,2014-02,41.65,41.88,38.62,40.94,24521918,RHI
13,2014-03,40.59,42.95,40.26,41.95,17829935,RHI
14,2014-04,42.2,44.9,39.57,44.8,20596351,RHI
15,2014-05,44.65,46.13,43.73,45.59,16992524,RHI
16,2014-06,45.61,48.13,45.0,47.74,16200468,RHI
17,2014-07,47.79,53.08,46.98,48.65,21456039,RHI
18,2014-08,48.86,50.365,47.94,50.21,15245662,RHI
19,2014-09,50.2,51.46,48.61,49.0,14615933,RHI
20,2014-10,48.91,57.87,45.3,54.78,29343099,RHI
21,2014-11,54.74,58.3,54.24,56.79,17786722,RHI
22,2014-12,56.18,59.45,55.27,58.38,21271386,RHI
23,2015-01,58.95,59.59,55.6,58.06,14475201,RHI
24,2015-02,58.33,63.21,57.55,61.96,15163487,RHI
25,2015-03,61.99,63.27,59.25,60.52,17498547,RHI
26,2015-04,60.32,60.54,55.03,55.45,25188857,RHI
27,2015-05,55.75,58.1951,54.58,56.37,19117825,RHI
28,2015-06,56.7,57.7,55.33,55.5,13893752,RHI
29,2015-07,55.98,57.92,51.68,55.03,22711005,RHI
30,2015-08,55.07,58.0,50.04,51.03,23044265,RHI
31,2015-09,50.04,52.96,49.18,51.16,19680271,RHI
32,2015-10,51.05,53.52,49.15,52.66,21333514,RHI
33,2015-11,52.71,54.01,50.02,51.18,16979606,RHI
34,2015-12,51.49,52.22,44.95,47.14,28058207,RHI
35,2016-01,46.4,46.41,40.8,43.77,24736705,RHI
36,2016-02,43.43,43.75,36.17,39.39,33465402,RHI
37,2016-03,39.64,46.745,39.52,46.58,24861969,RHI
38,2016-04,46.29,47.26,37.96,38.31,36097865,RHI
39,2016-05,38.55,41.64,38.0,41.59,28991954,RHI
40,2016-06,41.36,41.91,34.34,38.16,27978267,RHI
41,2016-07,37.9,41.5,35.67,36.54,25895292,RHI
42,2016-08,36.53,38.95,36.02,38.33,26589007,RHI
43,2016-09,38.33,38.705,36.77,37.86,21108629,RHI
44,2016-10,36.61,39.55,34.42,37.42,33794956,RHI
45,2016-11,37.64,45.3,36.74,44.87,30084221,RHI
46,2016-12,45.13,49.63,44.68,48.78,24211767,RHI
47,2017-01,49.48,50.98,45.0,47.06,26403513,RHI
48,2017-02,47.485,48.8,46.73,48.24,23360626,RHI
49,2017-03,48.97,49.72,46.83,48.83,25576353,RHI
50,2017-04,48.83,48.83,44.09,46.05,28149580,RHI
51,2017-05,46.33,48.63,45.16,46.49,21767058,RHI
52,2017-06,46.49,49.0275,45.91,47.93,19048209,RHI
53,2017-07,48.2,49.57,43.505,45.25,19176522,RHI
54,2017-08,44.64,45.45,42.92,45.3,20194580,RHI
55,2017-09,45.4,50.72,44.38,50.34,17303991,RHI
56,2017-10,50.26,53.5,48.21,51.77,24376637,RHI
57,2017-11,51.98,57.53,50.99,57.04,18595894,RHI
58,2017-12,57.04,57.67,52.83,55.54,17802207,RHI
59,2018-01,55.81,60.59,55.38,57.88,19592698,RHI
60,2018-02,57.87,59.09,52.98,56.22,8834440,RHI
