,date,open,high,low,close,volume,Name
0,2013-02,176.74,179.11,168.47,173.47,9791420,RL
1,2013-03,172.55,178.69,165.77,169.31,12852553,RL
2,2013-04,169.12,181.83,165.33,181.58,11427132,RL
3,2013-05,181.31,192.03,174.84,175.09,14897422,RL
4,2013-06,175.24,179.96,165.73,173.74,11258889,RL
5,2013-07,174.18,183.55,170.89,182.06,13138328,RL
6,2013-08,183.85,189.8,165.0,165.41,15765907,RL
7,2013-09,167.99,169.41,161.98,164.73,19597817,RL
8,2013-10,165.64,167.84,157.01,165.64,17814289,RL
9,2013-11,166.55,181.07,166.44,175.23,21274212,RL
10,2013-12,175.08,178.37,169.86,176.57,12563872,RL
11,2014-01,175.44,178.59,155.3,156.89,18158175,RL
12,2014-02,156.25,164.4,146.0,161.08,37049663,RL
13,2014-03,159.13,165.0,155.85,160.93,20066273,RL
14,2014-04,161.1,164.75,149.01,151.37,17864757,RL
15,2014-05,151.59,156.99,141.93,153.48,24901119,RL
16,2014-06,153.58,161.11,152.0,160.69,16920870,RL
17,2014-07,161.15,164.01,155.64,155.86,13229826,RL
18,2014-08,155.97,170.83,152.22,169.2,18547931,RL
19,2014-09,169.29,174.98,163.1,164.73,17344073,RL
20,2014-10,164.8,174.15,153.39,164.84,20267293,RL
21,2014-11,164.75,185.14,162.31,184.9,14869296,RL
22,2014-12,183.83,187.49,175.2,185.16,14751504,RL
23,2015-01,185.975,186.67,164.49,166.89,19379519,RL
24,2015-02,166.44,171.27,133.495,137.41,37169992,RL
25,2015-03,137.85,138.59,127.29,131.5,18888422,RL
26,2015-04,131.57,141.08,130.03,133.41,17573648,RL
27,2015-05,134.11,136.86,127.77,130.4,20758990,RL
28,2015-06,130.77,141.03,129.78,132.36,18263718,RL
29,2015-07,133.34,135.52,123.52,125.89,14277182,RL
30,2015-08,125.24,129.16,104.34,111.19,29503046,RL
31,2015-09,109.37,119.14,103.29,118.16,20661241,RL
32,2015-10,117.2,123.0,108.98,110.77,20818989,RL
33,2015-11,110.89,137.38,108.75,124.21,28605115,RL
34,2015-12,124.47,127.01,109.24,111.48,21406766,RL
35,2016-01,109.99,113.03,98.15,112.5,23790200,RL
36,2016-02,111.2,115.85,82.15,90.76,43703932,RL
37,2016-03,92.02,100.18,91.12,96.26,19651631,RL
38,2016-04,95.67,97.73,89.64,93.21,21450526,RL
39,2016-05,93.28,95.56,83.66,94.33,34806183,RL
40,2016-06,93.65,98.5,85.7,89.62,40303497,RL
41,2016-07,89.67,101.17,87.2601,98.09,17477252,RL
42,2016-08,97.89,109.85,90.31,103.62,24132389,RL
43,2016-09,104.11,104.8882,96.28,101.14,14386466,RL
44,2016-10,100.7,104.97,94.89,98.1,13993160,RL
45,2016-11,98.54,114.0,96.1,104.61,19299576,RL
46,2016-12,105.05,110.415,89.24,90.32,20242651,RL
47,2017-01,91.27,93.05,85.79,88.43,25674165,RL
48,2017-02,88.12,88.47,75.62,79.33,59680511,RL
49,2017-03,80.06,83.58,77.3884,81.62,25708799,RL
50,2017-04,81.83,82.57,76.69,80.72,21685900,RL
51,2017-05,80.91,84.47,66.06,67.8,46368268,RL
52,2017-06,68.16,74.29,67.97,73.8,38717171,RL
53,2017-07,73.95,76.24,70.365,75.65,22338422,RL
54,2017-08,75.43,90.45,74.22,87.89,32924794,RL
55,2017-09,87.96,92.55,87.54,88.29,23227072,RL
56,2017-10,88.38,92.84,83.26,89.43,28231298,RL
57,2017-11,90.21,97.2,83.91,95.15,32467056,RL
58,2017-12,95.15,105.52,93.78,103.69,23818802,RL
59,2018-01,103.41,119.33,100.52,114.31,23234897,RL
60,2018-02,108.01,115.4799,103.05,107.7,9170094,RL
