,date,open,high,low,close,volume,Name
0,2013-02,44.33,44.81,41.98,44.49,14716954,RMD
1,2013-03,44.11,46.4,42.91,46.36,21423593,RMD
2,2013-04,46.67,48.03,43.9,48.02,24514172,RMD
3,2013-05,48.0,51.4,47.27,48.0,18970332,RMD
4,2013-06,47.96,48.63,44.89,45.13,23536489,RMD
5,2013-07,45.19,47.89,43.19,47.65,23342831,RMD
6,2013-08,48.5,51.0,47.0,47.24,23203435,RMD
7,2013-09,47.73,54.39,47.12,52.82,17834121,RMD
8,2013-10,53.03,57.34,48.72,51.74,36420639,RMD
9,2013-11,51.565,51.69,48.15,48.81,18556792,RMD
10,2013-12,48.81,49.41,45.14,47.08,25872571,RMD
11,2014-01,47.01,48.33,43.02,43.61,26884494,RMD
12,2014-02,43.37,46.75,41.52,44.02,27140100,RMD
13,2014-03,42.77,45.45,42.19,44.69,17428315,RMD
14,2014-04,44.69,50.51,44.26,49.85,26701145,RMD
15,2014-05,49.8,51.54,48.89,50.06,15647860,RMD
16,2014-06,50.07,53.92,49.42,50.63,13600237,RMD
17,2014-07,50.11,51.83,48.55,51.74,18758757,RMD
18,2014-08,49.53,53.5,47.98,53.05,16443107,RMD
19,2014-09,53.0,53.66,49.075,49.27,14884503,RMD
20,2014-10,49.11,53.5,45.74,52.22,33838455,RMD
21,2014-11,52.0,53.76,50.78,53.2,12812844,RMD
22,2014-12,52.93,57.57,52.63,56.06,18957444,RMD
23,2015-01,56.4,67.5,56.12,62.47,33571158,RMD
24,2015-02,62.27,66.5201,61.26,64.36,13732690,RMD
25,2015-03,64.42,72.8,64.16,71.78,17166245,RMD
26,2015-04,71.96,75.33,63.6775,63.94,22283350,RMD
27,2015-05,63.92,66.62,54.5,58.82,26893720,RMD
28,2015-06,58.8,60.0,54.9,56.37,17913242,RMD
29,2015-07,56.68,58.82,54.81,57.95,20188440,RMD
30,2015-08,57.69,57.99,48.99,51.94,17692515,RMD
31,2015-09,50.8,52.43,49.11,50.96,16931123,RMD
32,2015-10,50.96,58.0,50.48,57.61,16519092,RMD
33,2015-11,57.65,60.29,56.45,59.57,12145185,RMD
34,2015-12,59.87,60.35,52.6,53.69,26060512,RMD
35,2016-01,52.97,60.0,50.771,56.7,29996754,RMD
36,2016-02,56.77,59.87,55.8301,56.91,22491398,RMD
37,2016-03,57.26,60.49,55.13,57.82,24694096,RMD
38,2016-04,57.69,61.23,55.43,55.8,22134610,RMD
39,2016-05,55.85,59.17,55.495,59.06,15885325,RMD
40,2016-06,59.03,64.12,58.08,63.23,17160678,RMD
41,2016-07,63.23,69.38,62.96,68.88,17689298,RMD
42,2016-08,69.02,70.9,65.65,66.69,23432438,RMD
43,2016-09,67.06,68.4,63.11,64.79,20371207,RMD
44,2016-10,64.36,65.585,58.96,59.77,20906828,RMD
45,2016-11,59.87,62.36,56.59,61.48,19664005,RMD
46,2016-12,61.29,63.41,58.71,62.05,15885576,RMD
47,2017-01,62.1,70.76,61.22,67.54,20567935,RMD
48,2017-02,67.44,72.7,66.18,72.03,14766318,RMD
49,2017-03,72.08,73.46,70.11,71.97,12924473,RMD
50,2017-04,71.65,73.07,67.04,67.99,16930008,RMD
51,2017-05,68.58,71.3,67.15,71.1,14396209,RMD
52,2017-06,71.02,79.44,70.78,77.87,14470596,RMD
53,2017-07,77.4,79.63,75.48,77.12,46271573,RMD
54,2017-08,77.49,78.37,71.29,77.58,18175008,RMD
55,2017-09,77.56,81.87,75.28,76.96,11946252,RMD
56,2017-10,76.94,87.81,75.62,84.18,12977154,RMD
57,2017-11,84.68,86.5,81.52,85.4,14227631,RMD
58,2017-12,85.36,86.7,82.805,84.69,10591079,RMD
59,2018-01,85.2,104.78,84.93,100.79,18842420,RMD
60,2018-02,100.25,101.37,91.47,92.59,4581913,RMD
