,date,open,high,low,close,volume,Name
0,2013-02,118.64,125.355,118.28,124.61,5851297,ROP
1,2013-03,124.21,127.42,122.62,127.31,8019059,ROP
2,2013-04,127.27,127.31,118.39,119.65,11092224,ROP
3,2013-05,118.97,126.58,118.01,124.22,11900152,ROP
4,2013-06,124.38,126.195,119.1,124.22,10666764,ROP
5,2013-07,124.36,132.718,123.89,125.96,8106098,ROP
6,2013-08,126.75,128.381,122.97,123.7,8740439,ROP
7,2013-09,125.13,135.69,123.91,132.87,6706447,ROP
8,2013-10,133.21,134.18,123.18,126.81,9733446,ROP
9,2013-11,127.09,130.31,123.46,129.7,9426597,ROP
10,2013-12,129.46,139.905,126.05,138.68,9448568,ROP
11,2014-01,138.53,142.532,134.88,137.24,8699298,ROP
12,2014-02,136.86,138.06,130.73,135.62,10156611,ROP
13,2014-03,134.52,139.78,132.15,133.51,12733772,ROP
14,2014-04,134.19,139.94,126.75,138.95,11476449,ROP
15,2014-05,138.91,143.07,136.45,141.68,8132870,ROP
16,2014-06,141.54,151.45,140.26,146.01,8642052,ROP
17,2014-07,146.04,150.78,142.0,144.07,9619644,ROP
18,2014-08,143.51,151.74,142.53,150.56,5704608,ROP
19,2014-09,150.95,151.5,144.8,146.29,6152979,ROP
20,2014-10,146.28,159.19,137.3401,158.3,11024021,ROP
21,2014-11,158.2,160.6,155.09,157.82,6385469,ROP
22,2014-12,157.06,160.88,148.15,156.35,7424926,ROP
23,2015-01,156.66,161.85,144.615,154.34,10439015,ROP
24,2015-02,154.79,169.64,153.99,167.57,7729823,ROP
25,2015-03,167.57,174.19,165.07,172.0,8112207,ROP
26,2015-04,171.41,176.41,165.95,168.17,9990507,ROP
27,2015-05,168.53,178.0,166.77,174.96,7463068,ROP
28,2015-06,175.58,178.92,172.14,172.46,6415571,ROP
29,2015-07,173.97,177.97,158.21,167.27,9696837,ROP
30,2015-08,167.46,171.78,152.785,162.09,9022832,ROP
31,2015-09,158.79,163.98,150.91,156.7,9766397,ROP
32,2015-10,157.59,187.04,154.68,186.35,12186553,ROP
33,2015-11,186.35,195.93,183.68,193.49,6845979,ROP
34,2015-12,194.31,194.98,182.09,189.79,8482624,ROP
35,2016-01,186.38,188.076,164.73,175.67,10694358,ROP
36,2016-02,157.34,174.44,155.79,167.93,13844404,ROP
37,2016-03,169.0,184.42,168.58,182.77,9056114,ROP
38,2016-04,181.24,185.14,175.02,176.09,9789620,ROP
39,2016-05,176.03,183.73,169.53,171.08,15954387,ROP
40,2016-06,170.16,175.07,163.85,170.56,10121237,ROP
41,2016-07,170.95,174.56,159.28,170.36,17161628,ROP
42,2016-08,170.09,179.17,168.49,177.55,10945341,ROP
43,2016-09,177.12,183.49,174.445,182.47,9331917,ROP
44,2016-10,181.16,183.0,167.5,173.31,11467502,ROP
45,2016-11,172.87,184.6,169.42,181.11,15781541,ROP
46,2016-12,181.41,189.44,181.16,183.08,13536553,ROP
47,2017-01,184.82,191.94,183.74,191.85,9957222,ROP
48,2017-02,192.14,211.99,189.74,209.2,11469250,ROP
49,2017-03,211.68,214.44,203.5,206.49,11553790,ROP
50,2017-04,207.13,225.57,204.62,218.7,9634602,ROP
51,2017-05,218.73,230.12,215.16,227.2,9698160,ROP
52,2017-06,228.16,235.5,225.74,231.53,9341408,ROP
53,2017-07,233.08,238.4919,226.81,232.46,7325251,ROP
54,2017-08,233.68,237.83,227.31,230.66,8045912,ROP
55,2017-09,231.2,247.54,227.46,243.4,6678991,ROP
56,2017-10,243.45,261.07,243.45,258.17,7464052,ROP
57,2017-11,259.33,267.8325,253.85,267.21,7281884,ROP
58,2017-12,265.68,266.3,252.23,259.0,9102599,ROP
59,2018-01,260.44,284.5735,257.96,280.59,8424868,ROP
60,2018-02,280.41,290.415,258.31,266.19,3813146,ROP
