,date,open,high,low,close,volume,Name
0,2013-02,30.395,30.855,28.09,29.0,60392984,ROST
1,2013-03,28.945,30.34,27.43,30.31,121130020,ROST
2,2013-04,30.245,33.06,29.3,33.035,96407846,ROST
3,2013-05,32.98,33.3,31.855,32.159,71053038,ROST
4,2013-06,32.215,32.975,31.325,32.405,48695698,ROST
5,2013-07,32.65,33.97,32.32,33.745,50908712,ROST
6,2013-08,33.95,35.43,32.324,33.63,76816582,ROST
7,2013-09,34.135,36.5,33.655,36.4,51027872,ROST
8,2013-10,36.5,38.875,34.575,38.675,59413682,ROST
9,2013-11,38.875,40.995,36.5,38.23,75968576,ROST
10,2013-12,37.98,38.04,35.145,37.465,81245260,ROST
11,2014-01,37.175,37.675,33.5,33.955,86440596,ROST
12,2014-02,34.0,36.95,32.575,36.4,98648216,ROST
13,2014-03,36.455,37.465,35.33,35.785,68456858,ROST
14,2014-04,36.005,37.14,33.805,34.04,60062842,ROST
15,2014-05,34.135,35.295,33.465,34.225,85114624,ROST
16,2014-06,34.235,34.95,32.725,33.065,60910042,ROST
17,2014-07,33.27,33.895,30.915,32.2,80781494,ROST
18,2014-08,32.245,37.83,32.08,37.71,79310296,ROST
19,2014-09,37.715,38.515,37.01,37.79,57856942,ROST
20,2014-10,37.72,41.0,37.36,40.36,77825360,ROST
21,2014-11,40.37,45.995,39.735,45.74,68609594,ROST
22,2014-12,45.625,48.095,44.47,47.13,51325526,ROST
23,2015-01,47.42,48.89,44.875,45.855,61093518,ROST
24,2015-02,46.005,53.115,44.725,52.905,49586548,ROST
25,2015-03,52.705,54.455,51.75,52.68,55786044,ROST
26,2015-04,52.5,52.67,49.22,49.44,48662466,ROST
27,2015-05,49.57,52.38,47.61,48.335,60928912,ROST
28,2015-06,48.405,50.78,47.87,48.61,46490516,ROST
29,2015-07,48.96,53.5,48.82,53.16,43579163,ROST
30,2015-08,53.25,56.68,46.6,48.62,71535576,ROST
31,2015-09,47.62,51.27,46.97,48.47,56413337,ROST
32,2015-10,48.48,51.552,47.12,50.58,56730104,ROST
33,2015-11,50.25,53.045,43.47,52.01,77093170,ROST
34,2015-12,52.53,55.64,51.91,53.81,56311079,ROST
35,2016-01,53.0,56.32,50.42,56.26,58630269,ROST
36,2016-02,56.26,57.19,52.11,54.98,72904544,ROST
37,2016-03,55.45,59.68,55.36,57.9,65030547,ROST
38,2016-04,57.89,59.005,55.44,56.78,44945462,ROST
39,2016-05,57.07,58.5,52.0,53.4,72210763,ROST
40,2016-06,53.47,56.73,52.06,56.69,68297601,ROST
41,2016-07,56.55,62.35,55.89,61.83,47000570,ROST
42,2016-08,61.72,66.28,59.57,62.24,70825135,ROST
43,2016-09,62.46,64.62,60.77,64.3,45498605,ROST
44,2016-10,63.97,65.4,61.78,62.54,44176484,ROST
45,2016-11,62.4,69.81,61.0,67.59,72853184,ROST
46,2016-12,67.46,69.53,65.4932,65.6,59737447,ROST
47,2017-01,66.02,68.36,64.58,66.11,40942340,ROST
48,2017-02,66.02,69.53,65.46,68.58,44821956,ROST
49,2017-03,68.02,68.38,64.755,65.87,54956805,ROST
50,2017-04,66.05,66.05,62.46,65.0,47552162,ROST
51,2017-05,65.3,66.53,59.67,63.92,72582849,ROST
52,2017-06,63.88,64.0,55.22,57.73,77416385,ROST
53,2017-07,57.99,58.49,52.91,55.32,78940848,ROST
54,2017-08,55.46,60.8,52.85,58.45,93501302,ROST
55,2017-09,58.65,65.3,57.865,64.57,59102303,ROST
56,2017-10,64.34,66.16,62.34,63.49,48590981,ROST
57,2017-11,63.74,77.2,62.8477,76.03,68180236,ROST
58,2017-12,75.64,81.48,74.28,80.25,45035131,ROST
59,2018-01,80.86,85.66,79.57,82.39,48139258,ROST
60,2018-02,81.71,83.18,74.0,77.99,14346639,ROST
