,date,open,high,low,close,volume,Name
0,2013-02,71.62,77.18,68.97,76.8,20595579,RRC
1,2013-03,76.36,83.15,75.67,81.04,30824311,RRC
2,2013-04,80.11,81.02,71.14,73.52,40419670,RRC
3,2013-05,73.15,79.5,71.435,75.18,30901085,RRC
4,2013-06,75.29,81.13,72.77,77.32,32055073,RRC
5,2013-07,77.62,85.23,74.66,79.1,38142670,RRC
6,2013-08,79.48,82.4,74.69,74.98,23406876,RRC
7,2013-09,75.98,81.0,75.33,75.89,26113329,RRC
8,2013-10,75.83,81.421,72.54,75.71,45763359,RRC
9,2013-11,75.68,79.9,73.04,77.65,30857737,RRC
10,2013-12,77.73,85.49,75.21,84.31,32295905,RRC
11,2014-01,83.13,88.71,79.28,86.19,35680322,RRC
12,2014-02,86.5,90.76,82.37,86.05,37917502,RRC
13,2014-03,85.79,89.68,82.39,82.97,34478866,RRC
14,2014-04,83.21,95.41,82.63,90.45,36166121,RRC
15,2014-05,90.13,93.17,87.28,92.95,22384095,RRC
16,2014-06,92.95,94.26,85.32,86.95,31559889,RRC
17,2014-07,87.07,87.37,74.96,75.59,53287806,RRC
18,2014-08,75.44,79.378,73.83,78.59,29722479,RRC
19,2014-09,78.41,78.72,66.98,67.81,42406119,RRC
20,2014-10,68.0,70.7,61.3313,68.4,55466811,RRC
21,2014-11,69.19,74.64,65.45,65.65,42991955,RRC
22,2014-12,65.34,66.08,51.83,53.45,80390828,RRC
23,2015-01,53.0,55.74,44.17,46.27,68060164,RRC
24,2015-02,47.28,55.26,46.02,49.54,60148932,RRC
25,2015-03,49.54,52.74,43.88,52.04,61821840,RRC
26,2015-04,52.05,64.62,51.32,63.56,62250820,RRC
27,2015-05,63.39,65.53,55.01,55.41,53620447,RRC
28,2015-06,55.3,56.36,48.46,49.38,71693498,RRC
29,2015-07,49.21,49.4,39.045,39.34,110987108,RRC
30,2015-08,38.78,39.91,32.82,38.62,95937114,RRC
31,2015-09,37.24,40.06,30.33,32.12,84449710,RRC
32,2015-10,32.86,37.73,27.55,30.44,101328100,RRC
33,2015-11,30.4,36.23,28.17,28.58,100327537,RRC
34,2015-12,28.41,29.6,20.79,24.61,144160338,RRC
35,2016-01,24.59,30.14,19.21,29.56,150418160,RRC
36,2016-02,28.45,31.9399,21.69,23.73,127634051,RRC
37,2016-03,23.48,36.86,22.75,32.38,126326227,RRC
38,2016-04,31.67,44.68,31.11,44.11,103774738,RRC
39,2016-05,43.67,44.25,37.0901,42.59,107100205,RRC
40,2016-06,42.66,46.96,41.16,43.14,78710662,RRC
41,2016-07,43.43,45.76,39.05,40.31,63906358,RRC
42,2016-08,39.95,41.81,37.92,38.57,61720327,RRC
43,2016-09,38.0,43.6,36.58,38.75,103859082,RRC
44,2016-10,38.79,40.2,33.38,33.79,95532248,RRC
45,2016-11,33.72,38.6,31.195,35.18,92251465,RRC
46,2016-12,36.4,39.64,33.01,34.36,93067582,RRC
47,2017-01,33.61,36.4,31.54,32.34,87880243,RRC
48,2017-02,32.66,34.93,27.07,27.62,86882421,RRC
49,2017-03,27.84,29.7,26.61,29.1,116093534,RRC
50,2017-04,29.07,30.3,26.24,26.49,104225713,RRC
51,2017-05,26.44,26.98,22.98,23.06,116322193,RRC
52,2017-06,23.17,23.955,20.945,23.17,134582875,RRC
53,2017-07,23.25,23.59,20.34,21.11,104262966,RRC
54,2017-08,21.03,21.1,16.5,17.36,188425108,RRC
55,2017-09,17.41,20.42,15.995,19.57,150226997,RRC
56,2017-10,19.26,20.65,17.41,18.11,128061386,RRC
57,2017-11,18.38,19.375,16.88,18.02,138327672,RRC
58,2017-12,18.38,18.93,15.33,17.06,140346001,RRC
59,2018-01,17.66,18.39,14.09,14.25,218724278,RRC
60,2018-02,14.19,14.34,12.7,13.12,61261506,RRC
