,date,open,high,low,close,volume,Name
0,2013-02,47.03,49.64,46.78,48.84,8760887,SCG
1,2013-03,48.77,51.23,48.495,51.16,10103182,SCG
2,2013-04,51.25,54.27,50.98,54.2,15299026,SCG
3,2013-05,54.23,54.41,50.07,50.44,14358821,SCG
4,2013-06,50.49,50.91,47.22,49.1,16174965,SCG
5,2013-07,49.58,52.93,47.838,51.91,10918871,SCG
6,2013-08,52.22,52.91,47.91,48.12,9799073,SCG
7,2013-09,48.14,48.59,45.72,46.04,15230421,SCG
8,2013-10,46.24,47.89,44.748000000000005,46.63,16522892,SCG
9,2013-11,46.94,48.1532,45.725,47.17,14286323,SCG
10,2013-12,47.16,47.75,46.24,46.93,19287577,SCG
11,2014-01,47.17,47.39,45.58,47.27,16655747,SCG
12,2014-02,47.28,49.98,45.77,49.5,15791330,SCG
13,2014-03,49.2,51.39,48.18,51.32,14379829,SCG
14,2014-04,51.09,53.71,50.35,53.68,18251580,SCG
15,2014-05,53.79,53.83,50.435,52.0,15509031,SCG
16,2014-06,51.99,53.88,49.51,53.81,16028592,SCG
17,2014-07,53.86,53.89,50.775,50.88,15669854,SCG
18,2014-08,50.98,51.94,48.53,51.94,18924258,SCG
19,2014-09,52.0,52.23,48.81,49.61,15301061,SCG
20,2014-10,49.7,56.62,47.77,54.89,27866308,SCG
21,2014-11,54.9,57.39,54.83,57.03,16215543,SCG
22,2014-12,56.77,63.41,56.02,60.4,19998617,SCG
23,2015-01,60.83,65.57,59.94,63.77,17188050,SCG
24,2015-02,63.73,64.04,56.51,56.95,21952196,SCG
25,2015-03,56.81,57.0,52.03,54.99,24612076,SCG
26,2015-04,54.9,56.26,52.56,52.98,17243756,SCG
27,2015-05,53.09,54.36,51.26,53.16,19064259,SCG
28,2015-06,53.12,53.73,49.89,50.65,19661249,SCG
29,2015-07,50.59,55.5,50.48,54.8,20852735,SCG
30,2015-08,54.87,57.73,51.67,52.89,17536029,SCG
31,2015-09,52.2,56.335,50.17,56.26,18448950,SCG
32,2015-10,56.41,59.49,54.84,59.22,20804851,SCG
33,2015-11,59.15,60.5,56.6,59.14,16715332,SCG
34,2015-12,59.41,61.95,56.5,60.49,20114409,SCG
35,2016-01,60.51,63.19,59.46,62.95,19508874,SCG
36,2016-02,62.99,66.9,62.75,65.02,22163721,SCG
37,2016-03,65.43,70.35,62.8527,70.15,21760514,SCG
38,2016-04,70.33,71.27,66.02,68.69,17753168,SCG
39,2016-05,68.61,71.22,66.58,69.91,18179119,SCG
40,2016-06,69.78,75.67,69.4,75.66,22304213,SCG
41,2016-07,75.99,76.41,72.71,74.94,17046271,SCG
42,2016-08,74.85,75.79899999999999,69.83,70.65,14653116,SCG
43,2016-09,70.62,75.92,69.035,72.37,18334180,SCG
44,2016-10,72.03,73.83,67.91,73.36,14672128,SCG
45,2016-11,73.31,73.52,67.31,70.53,14199777,SCG
46,2016-12,70.08,74.99,69.71,73.28,14409573,SCG
47,2017-01,73.34,74.06,67.71,68.7,18130794,SCG
48,2017-02,68.22,70.51,65.08,69.35,20036604,SCG
49,2017-03,68.18,70.94,64.2,65.35,28109511,SCG
50,2017-04,65.35,67.87,64.79,66.31,22501188,SCG
51,2017-05,66.42,68.44,64.48,68.2,25049951,SCG
52,2017-06,68.18,71.28,66.81,67.01,17412537,SCG
53,2017-07,67.26,67.99,60.0,64.37,22553099,SCG
54,2017-08,64.85,67.88,59.34,60.38,30929382,SCG
55,2017-09,60.56,60.77,48.32,48.49,33269640,SCG
56,2017-10,48.46,50.22,42.75,43.14,44441913,SCG
57,2017-11,43.22,46.89,41.15,43.17,53221037,SCG
58,2017-12,43.34,45.78,37.095,39.78,54533637,SCG
59,2018-01,39.93,49.3995,38.07,40.64,84261305,SCG
60,2018-02,40.56,40.85,35.31,36.66,15824119,SCG
