,date,open,high,low,close,volume,Name
0,2013-02,17.18,17.23,15.96,16.24,132380615,SCHW
1,2013-03,16.22,18.34,16.0,17.69,184634872,SCHW
2,2013-04,17.77,17.89,16.15,16.96,185508079,SCHW
3,2013-05,16.94,20.48,16.05,19.86,239181725,SCHW
4,2013-06,19.98,21.44,18.94,21.23,244065626,SCHW
5,2013-07,21.33,22.59,20.55,22.09,211396558,SCHW
6,2013-08,22.26,22.84,20.52,20.88,142691471,SCHW
7,2013-09,21.2,22.71,20.54,21.14,199167448,SCHW
8,2013-10,21.21,23.925,20.44,22.65,224023184,SCHW
9,2013-11,22.63,25.01,22.62,24.48,144867186,SCHW
10,2013-12,24.5,26.08,24.19,26.0,113797763,SCHW
11,2014-01,25.99,27.11,24.51,24.82,152324842,SCHW
12,2014-02,24.77,26.73,23.56,26.51,139973949,SCHW
13,2014-03,26.13,29.13,25.775,27.33,184700615,SCHW
14,2014-04,27.42,28.039,24.59,26.55,196323998,SCHW
15,2014-05,26.54,27.1,24.56,25.21,141135353,SCHW
16,2014-06,25.33,27.5,24.68,26.93,135281420,SCHW
17,2014-07,27.07,28.65,26.44,27.75,116993374,SCHW
18,2014-08,27.8,29.16,26.99,28.51,93744947,SCHW
19,2014-09,28.66,31.0,28.04,29.39,134810278,SCHW
20,2014-10,29.2,29.95,23.35,28.67,225896180,SCHW
21,2014-11,28.75,29.16,28.05,28.32,101668179,SCHW
22,2014-12,28.08,30.89,27.23,30.19,151594356,SCHW
23,2015-01,30.41,30.57,25.43,25.98,163588061,SCHW
24,2015-02,26.06,30.195,25.81,29.34,126802845,SCHW
25,2015-03,29.36,31.73,28.93,30.44,163919083,SCHW
26,2015-04,30.36,31.13,29.12,30.5,130330054,SCHW
27,2015-05,30.67,32.43,30.6,31.65,126692042,SCHW
28,2015-06,31.73,33.78,31.1,32.65,160862670,SCHW
29,2015-07,33.16,35.5298,31.45,34.88,177635247,SCHW
30,2015-08,34.93,35.72,27.53,30.38,199084146,SCHW
31,2015-09,29.5,31.86,27.1,28.56,248631828,SCHW
32,2015-10,28.52,31.28,26.4,30.52,229222516,SCHW
33,2015-11,30.66,34.17,30.47,33.71,182147807,SCHW
34,2015-12,33.92,34.52,31.62,32.93,171087000,SCHW
35,2016-01,31.95,32.23,24.365,25.53,277742488,SCHW
36,2016-02,25.43,25.71,21.51,25.05,265497589,SCHW
37,2016-03,25.37,29.0399,25.27,28.02,210164485,SCHW
38,2016-04,27.74,30.23,26.27,28.41,159709141,SCHW
39,2016-05,28.44,31.07,26.95,30.58,148937613,SCHW
40,2016-06,30.21,30.96,24.02,25.31,288399961,SCHW
41,2016-07,25.2,29.03,23.825,28.42,194567033,SCHW
42,2016-08,28.55,31.87,27.71,31.46,169149106,SCHW
43,2016-09,31.64,31.85,29.86,31.57,155572803,SCHW
44,2016-10,31.56,32.89,30.9,31.7,159515979,SCHW
45,2016-11,31.9,39.35,30.655,38.66,233832796,SCHW
46,2016-12,39.11,40.58,38.46,39.47,199031063,SCHW
47,2017-01,40.05,42.61,39.14,41.24,140965031,SCHW
48,2017-02,41.67,42.46,39.03,40.41,163634109,SCHW
49,2017-03,41.5,43.65,37.62,40.81,177534376,SCHW
50,2017-04,40.83,40.96,37.16,38.85,172767629,SCHW
51,2017-05,39.1,40.82,37.63,38.75,154250438,SCHW
52,2017-06,39.09,44.1,38.33,42.96,166808754,SCHW
53,2017-07,43.21,44.1,41.71,42.9,130491580,SCHW
54,2017-08,43.35,43.78,38.73,39.9,122083370,SCHW
55,2017-09,40.0,44.345,38.06,43.74,145101045,SCHW
56,2017-10,43.82,46.21,42.2,44.84,139403841,SCHW
57,2017-11,45.09,49.54,43.325,48.79,110372089,SCHW
58,2017-12,48.82,52.52,48.0,51.37,131013290,SCHW
59,2018-01,51.55,56.25,50.96,53.34,149110060,SCHW
60,2018-02,53.28,55.05,49.15,52.03,51919765,SCHW
