,date,open,high,low,close,volume,Name
0,2013-02,19.24,23.27,18.83,22.21,58544551,SEE
1,2013-03,22.13,25.08,21.99,24.11,47005506,SEE
2,2013-04,24.11,24.31,20.98,22.12,57010075,SEE
3,2013-05,22.06,24.58,21.66,24.02,43364905,SEE
4,2013-06,24.2,24.83,22.69,23.95,34779453,SEE
5,2013-07,24.63,27.76,24.305,27.24,45098593,SEE
6,2013-08,27.52,31.2,27.41,28.4,38083403,SEE
7,2013-09,28.85,30.73,26.55,27.19,50775722,SEE
8,2013-10,27.14,31.29,26.13,30.18,41278061,SEE
9,2013-11,30.33,32.47,30.33,32.11,29389994,SEE
10,2013-12,32.16,34.37,31.28,34.05,27361620,SEE
11,2014-01,34.02,34.3,30.36,31.19,29083334,SEE
12,2014-02,31.18,34.56,28.18,34.04,39524958,SEE
13,2014-03,33.63,34.85,30.82,32.87,31414293,SEE
14,2014-04,33.08,37.2,30.29,34.31,42876928,SEE
15,2014-05,34.07,34.24,32.14,32.93,31157722,SEE
16,2014-06,33.04,35.1,32.08,34.17,37096158,SEE
17,2014-07,34.33,34.47,31.57,32.12,34687285,SEE
18,2014-08,32.11,36.51,31.95,36.1,34204824,SEE
19,2014-09,36.21,37.6595,34.565,34.88,35426881,SEE
20,2014-10,34.85,36.82,29.85,36.25,69753409,SEE
21,2014-11,36.26,39.87,35.81,39.53,42124392,SEE
22,2014-12,39.09,43.665,38.11,42.43,47022049,SEE
23,2015-01,42.76,43.66,38.42,40.5,53948865,SEE
24,2015-02,40.63,48.44,40.11,47.13,47857615,SEE
25,2015-03,47.24,47.88,44.69,45.56,34374464,SEE
26,2015-04,45.38,46.78,43.43,45.6,32007790,SEE
27,2015-05,45.79,50.11,45.64,48.7,36880531,SEE
28,2015-06,49.1,52.68,47.97,51.38,41785755,SEE
29,2015-07,51.91,54.96,49.32,53.17,49810846,SEE
30,2015-08,53.35,55.84,48.57,51.45,48474720,SEE
31,2015-09,50.33,52.08,45.39,46.88,52628512,SEE
32,2015-10,47.02,52.73,46.01,49.12,47621091,SEE
33,2015-11,49.38,49.96,43.6,45.36,40082143,SEE
34,2015-12,45.25,46.045,41.81,44.6,40294411,SEE
35,2016-01,43.7,43.72,38.02,40.53,33135028,SEE
36,2016-02,40.25,46.61,38.9,45.73,44727988,SEE
37,2016-03,46.06,48.79,45.11,48.01,30877436,SEE
38,2016-04,47.91,52.83,45.71,47.36,45408260,SEE
39,2016-05,47.26,48.765,45.76,46.45,36922607,SEE
40,2016-06,45.98,48.24,43.32,45.97,44219017,SEE
41,2016-07,45.8,50.0,44.67,47.18,30587616,SEE
42,2016-08,47.35,48.2,45.49,47.13,38226462,SEE
43,2016-09,47.06,48.8697,44.9,45.82,31450047,SEE
44,2016-10,45.54,45.955,42.01,45.63,48144403,SEE
45,2016-11,45.78,48.03,44.9315,45.6,39511862,SEE
46,2016-12,45.65,48.92,44.59,45.34,30076821,SEE
47,2017-01,45.67,49.61,45.54,48.5,26323580,SEE
48,2017-02,48.66,50.62,45.44,46.48,43649427,SEE
49,2017-03,46.86,47.5,42.5401,43.58,52956236,SEE
50,2017-04,43.65,45.08,42.29,44.02,33211672,SEE
51,2017-05,44.08,46.51,41.74,44.42,61792357,SEE
52,2017-06,44.52,45.7,43.72,44.76,48577326,SEE
53,2017-07,45.04,46.29,43.39,43.51,29180732,SEE
54,2017-08,43.52,45.89,42.84,44.38,49388839,SEE
55,2017-09,44.59,45.02,41.22,42.72,62862083,SEE
56,2017-10,42.75,45.56,42.53,44.23,47053148,SEE
57,2017-11,44.31,48.37,43.34,48.05,47994068,SEE
58,2017-12,48.1,49.94,47.09,49.3,49890002,SEE
59,2018-01,49.49,49.86,47.17,47.35,46138440,SEE
60,2018-02,47.09,47.53,43.07,44.36,17229555,SEE
