,date,open,high,low,close,volume,Name
0,2013-02,163.14,167.27,153.94,161.59,12418037,SHW
1,2013-03,160.49,172.405,159.734,168.89,12760276,SHW
2,2013-04,168.37,184.78,162.22,183.11,18794540,SHW
3,2013-05,182.5,194.555,180.98,188.53,13420366,SHW
4,2013-06,188.5,189.07,170.0601,176.6,12548410,SHW
5,2013-07,177.55,190.68,163.63,174.17,21596150,SHW
6,2013-08,174.35,179.28,166.32,172.4,17191291,SHW
7,2013-09,172.92,184.47,170.32,182.18,13513438,SHW
8,2013-10,182.16,195.32,174.49,188.0,17606472,SHW
9,2013-11,188.81,189.08,180.44,183.03,10366905,SHW
10,2013-12,183.41,187.5,170.63,183.5,13345237,SHW
11,2014-01,182.03,198.47,180.67,183.26,16548331,SHW
12,2014-02,183.54,201.5,174.29,200.48,16951990,SHW
13,2014-03,198.54,208.63,192.52,197.13,12154621,SHW
14,2014-04,197.73,204.31,188.25,199.84,16052422,SHW
15,2014-05,199.5,205.32,195.85,204.61,10615776,SHW
16,2014-06,204.51,208.0,201.36,206.91,8398053,SHW
17,2014-07,207.02,215.62,201.47,206.23,12393436,SHW
18,2014-08,205.83,219.21,203.92,218.11,9653679,SHW
19,2014-09,218.59,222.53,213.61,218.99,8875014,SHW
20,2014-10,218.63,229.73,202.01,229.56,17253520,SHW
21,2014-11,229.88,249.655,227.2,244.86,10246274,SHW
22,2014-12,244.49,266.25,242.29,263.04,12794340,SHW
23,2015-01,262.18,277.29,259.11,271.27,14579614,SHW
24,2015-02,272.76,291.27,268.4292,285.2,10534258,SHW
25,2015-03,286.56,290.99,275.84,284.5,16216999,SHW
26,2015-04,285.13,292.51,277.1678,278.0,14830528,SHW
27,2015-05,279.58,294.35,274.022,288.18,12014095,SHW
28,2015-06,288.92,289.2,275.0,275.02,11612071,SHW
29,2015-07,276.16,285.94,250.27,277.76,24494639,SHW
30,2015-08,278.32,288.46,248.5,255.81,16972510,SHW
31,2015-09,251.81,265.0,218.27,222.78,23372371,SHW
32,2015-10,222.76,269.86,220.43,266.83,24802731,SHW
33,2015-11,268.42,279.46,259.52,276.07,13561830,SHW
34,2015-12,277.07,281.9999,254.69,259.6,12590881,SHW
35,2016-01,257.31,260.035,234.9601,255.67,20973391,SHW
36,2016-02,249.99,277.4,240.9,270.5,16267770,SHW
37,2016-03,271.94,289.9,270.33,284.67,22077319,SHW
38,2016-04,282.71,309.0,281.55,287.31,17642355,SHW
39,2016-05,285.33,298.19,282.73,291.09,12566632,SHW
40,2016-06,290.64,295.98,278.74,293.67,15183517,SHW
41,2016-07,294.22,312.48,285.25,299.73,15663165,SHW
42,2016-08,296.0,302.89,283.42,283.71,14201194,SHW
43,2016-09,283.37,287.38,271.69,276.66,15235834,SHW
44,2016-10,275.92,279.07,241.74,244.86,24769835,SHW
45,2016-11,245.85,277.49,239.48,268.67,21406985,SHW
46,2016-12,268.16,273.49,261.65,268.74,16112995,SHW
47,2017-01,270.72,310.0,270.29,303.81,21898134,SHW
48,2017-02,302.2,313.74,301.51,308.54,10523113,SHW
49,2017-03,311.98,316.66,305.7,310.19,11545233,SHW
50,2017-04,309.9,338.0,306.05,334.68,10882840,SHW
51,2017-05,333.28,339.62,326.905,331.77,10806526,SHW
52,2017-06,332.51,362.57,331.73,350.96,15115082,SHW
53,2017-07,353.79,361.27,337.15,337.27,14525584,SHW
54,2017-08,337.15,342.45,326.68,339.27,14711072,SHW
55,2017-09,340.22,363.9799,336.27,358.04,13297214,SHW
56,2017-10,357.84,398.22,355.5,395.15,14329378,SHW
57,2017-11,392.65,402.305,384.11,399.42,8056054,SHW
58,2017-12,399.89,415.75,391.26099999999997,410.04,9140568,SHW
59,2018-01,410.59,435.15,409.7614,417.11,13957040,SHW
60,2018-02,414.78,416.76,383.885,403.48,4579343,SHW
