,date,open,high,low,close,volume,Name
0,2013-02,81.22,83.76,79.9,81.62,8142419,SLG
1,2013-03,81.34,87.5,81.0801,86.11,13189667,SLG
2,2013-04,86.05,90.7,85.73,90.7,15090895,SLG
3,2013-05,90.02,95.39,86.98,86.98,12151765,SLG
4,2013-06,87.19,92.77,83.0,88.19,18807685,SLG
5,2013-07,88.53,95.83,87.23,90.65,17461118,SLG
6,2013-08,91.31,91.74,85.2,87.19,14428998,SLG
7,2013-09,88.09,94.74,84.89,88.84,12689334,SLG
8,2013-10,88.95,98.25,87.49,94.57,17529744,SLG
9,2013-11,95.04,96.14,89.54,90.47,10654768,SLG
10,2013-12,90.47,94.6,89.05,92.38,14876361,SLG
11,2014-01,92.17,94.89,91.1,93.77,11285131,SLG
12,2014-02,93.86,101.78,90.55,99.33,11937217,SLG
13,2014-03,98.65,100.81,96.31,100.62,10743732,SLG
14,2014-04,100.7,104.74,99.08,104.71,14028084,SLG
15,2014-05,104.32,109.895,103.87,109.49,11881281,SLG
16,2014-06,109.71,112.94,108.52,109.41,11666655,SLG
17,2014-07,110.01,112.65,107.505,107.8,13029840,SLG
18,2014-08,107.23,111.7,105.59,109.35,10321711,SLG
19,2014-09,109.24,110.15,100.72,101.32,15409601,SLG
20,2014-10,101.11,115.99,99.89,115.7,21066553,SLG
21,2014-11,115.68,117.42,112.02,116.14,12432024,SLG
22,2014-12,116.16,123.89399999999999,115.46,119.02,15430850,SLG
23,2015-01,119.75,131.64,119.535,126.0,13113791,SLG
24,2015-02,126.33,130.22,123.55,126.93,10672292,SLG
25,2015-03,127.21,135.81,123.11,128.38,32959244,SLG
26,2015-04,128.65,131.99,121.58,122.36,12199208,SLG
27,2015-05,122.78,124.955,118.36,118.66,13236163,SLG
28,2015-06,118.81,121.17,109.45,109.89,16406023,SLG
29,2015-07,110.62,116.04,109.5807,115.14,13571875,SLG
30,2015-08,115.14,117.06,101.85,103.51,14017480,SLG
31,2015-09,102.96,112.53,99.97,108.16,13660947,SLG
32,2015-10,108.63,120.75,106.95,118.62,13074177,SLG
33,2015-11,118.69,121.94,113.74,118.08,9131055,SLG
34,2015-12,118.63,120.79,109.36,112.98,14050198,SLG
35,2016-01,111.81,111.81,92.0,96.61,22819495,SLG
36,2016-02,95.77,96.45,80.12,88.18,30850303,SLG
37,2016-03,89.01,97.21,88.93,96.88,20560948,SLG
38,2016-04,96.31,108.76,94.39,105.08,18300409,SLG
39,2016-05,105.97,106.93,97.29,101.36,15984474,SLG
40,2016-06,101.03,106.52,97.05,106.47,15316113,SLG
41,2016-07,105.73,118.42,101.36,117.82,13189958,SLG
42,2016-08,117.8,120.63,113.51,117.72,15650561,SLG
43,2016-09,117.73,118.87,107.5,108.1,15014970,SLG
44,2016-10,107.89,108.88,95.25,98.22,17181638,SLG
45,2016-11,98.02,108.65,93.9,105.36,20957120,SLG
46,2016-12,105.11,113.765,103.95,107.55,19141468,SLG
47,2017-01,108.71,111.0199,104.27,108.97,13255600,SLG
48,2017-02,109.04,113.74,106.65,112.68,9637558,SLG
49,2017-03,112.72,115.34,103.54,106.62,15510400,SLG
50,2017-04,106.57,109.95,104.04,104.93,12165582,SLG
51,2017-05,105.14,106.5,100.69,101.03,14005455,SLG
52,2017-06,100.93,109.0,100.88,105.8,17635920,SLG
53,2017-07,106.09,107.88,99.22,103.27,14847088,SLG
54,2017-08,103.53,105.29,95.44,96.38,15199884,SLG
55,2017-09,96.53,103.41,94.92,101.32,19025170,SLG
56,2017-10,101.31,105.79,93.92,95.68,22053871,SLG
57,2017-11,95.67,102.74,93.95,102.23,18075958,SLG
58,2017-12,102.62,106.04,98.7001,100.93,20101881,SLG
59,2018-01,101.05,101.2,92.95,100.52,20451037,SLG
60,2018-02,100.47,100.985,91.2,92.86,7967307,SLG
