,date,open,high,low,close,volume,Name
0,2013-02,77.13,80.78,76.67,80.27,5393101,SNA
1,2013-03,79.72,82.84,77.58,82.7,5771782,SNA
2,2013-04,82.71,86.24,79.88,86.2,6432587,SNA
3,2013-05,86.2,93.26,84.32,91.09,6194056,SNA
4,2013-06,91.26,92.63,86.02,89.38,5547910,SNA
5,2013-07,89.83,96.5,89.7,94.85,6181799,SNA
6,2013-08,95.58,99.05,93.45,93.6,5516975,SNA
7,2013-09,95.4,101.67,93.35,99.5,4552503,SNA
8,2013-10,99.98,104.24,94.53,104.07,7311949,SNA
9,2013-11,104.63,107.54,103.13,106.15,3794519,SNA
10,2013-12,105.86,109.74,102.88,109.52,4644433,SNA
11,2014-01,109.28,109.67,98.475,100.15,5732944,SNA
12,2014-02,99.67,112.61,96.24,112.17,8348705,SNA
13,2014-03,110.62,115.51,109.55,113.48,5699615,SNA
14,2014-04,113.88,117.89,108.82,116.0,6194228,SNA
15,2014-05,115.84,117.49,112.63,117.27,6496916,SNA
16,2014-06,117.56,119.57,115.83,118.52,5073733,SNA
17,2014-07,118.66,126.59,117.36,120.2,7826887,SNA
18,2014-08,120.18,126.6,118.28,124.95,6179974,SNA
19,2014-09,125.29,127.32,120.431,121.08,7227501,SNA
20,2014-10,120.98,136.22,111.28,132.14,10260661,SNA
21,2014-11,131.77,137.83,131.37,135.33,8647544,SNA
22,2014-12,135.0,140.22,131.38,136.74,5810398,SNA
23,2015-01,136.85,138.03,131.1,132.71,6119518,SNA
24,2015-02,131.2,148.41,129.14,147.23,8252846,SNA
25,2015-03,147.85,148.3199,140.835,147.06,7865115,SNA
26,2015-04,146.88,154.975,145.28,149.55,7456344,SNA
27,2015-05,149.86,158.13,149.58,155.4,4809577,SNA
28,2015-06,155.54,162.26,154.18,159.25,7520022,SNA
29,2015-07,160.65,165.86,156.81,164.8,8237759,SNA
30,2015-08,164.85,170.7,150.48,159.77,8516588,SNA
31,2015-09,156.99,161.9433,147.98,150.94,9563450,SNA
32,2015-10,151.11,166.98,146.52,165.89,9060399,SNA
33,2015-11,165.86,173.14,163.8,172.16,6745291,SNA
34,2015-12,172.48,174.52,166.1,171.43,7368487,SNA
35,2016-01,168.79,169.95,147.51,161.56,10605304,SNA
36,2016-02,158.45,162.03,133.09,144.67,15686679,SNA
37,2016-03,146.14,159.9999,144.92,156.99,10213938,SNA
38,2016-04,156.0,164.32,152.51,159.28,11196728,SNA
39,2016-05,159.68,165.33,155.43,161.82,9549564,SNA
40,2016-06,160.92,163.6,147.5,157.82,10917665,SNA
41,2016-07,158.03,163.98,153.85,157.17,9390428,SNA
42,2016-08,157.0,157.92,150.82,153.29,9029314,SNA
43,2016-09,153.53,154.75,146.08,151.96,9015515,SNA
44,2016-10,151.18,164.67,145.17,154.1,13255537,SNA
45,2016-11,154.58,172.01,151.67,167.2,9448414,SNA
46,2016-12,167.14,177.86,166.25,171.27,7386062,SNA
47,2017-01,171.78,181.61,169.8,181.53,7134399,SNA
48,2017-02,181.73,181.73,164.27,169.67,12578833,SNA
49,2017-03,172.24,174.5,162.235,168.67,9363933,SNA
50,2017-04,168.67,177.8,159.91,167.53,13220465,SNA
51,2017-05,168.38,171.78,158.39,161.66,12000149,SNA
52,2017-06,161.98,165.44,152.49,158.0,14136026,SNA
53,2017-07,158.75,162.49,146.47,154.2,20529490,SNA
54,2017-08,152.84,155.88,140.83,147.57,14526202,SNA
55,2017-09,148.0,150.3799,144.18,149.01,10188811,SNA
56,2017-10,149.15,163.06,146.47,157.78,17542431,SNA
57,2017-11,158.17,171.8,155.12,169.43,10100217,SNA
58,2017-12,169.21,176.75,165.45,174.3,9936521,SNA
59,2018-01,174.58,185.47,170.97,171.31,12807338,SNA
60,2018-02,170.09,171.67,160.0138,166.63,4167764,SNA
