,date,open,high,low,close,volume,Name
0,2013-02,34.31,36.0,34.01,35.03,14387537,SNPS
1,2013-03,34.58,35.93,34.04,35.88,15075190,SNPS
2,2013-04,35.9,35.9,33.5,35.57,14641305,SNPS
3,2013-05,35.58,36.815,34.84,36.44,11926480,SNPS
4,2013-06,36.41,37.02,34.83,35.75,13646174,SNPS
5,2013-07,35.79,37.89,35.13,37.04,9879914,SNPS
6,2013-08,37.39,38.1,36.13,36.26,10488960,SNPS
7,2013-09,36.07,38.14,35.27,37.7,13964770,SNPS
8,2013-10,37.7,38.4,34.55,36.42,11879868,SNPS
9,2013-11,36.54,36.94,35.53,36.63,8530551,SNPS
10,2013-12,36.49,40.79,36.0,40.57,19290993,SNPS
11,2014-01,40.33,41.62,39.46,39.86,14880370,SNPS
12,2014-02,39.8,41.25,38.25,40.4,16411341,SNPS
13,2014-03,39.42,40.74,37.7,38.41,17265850,SNPS
14,2014-04,38.49,39.0,36.03,37.62,13507162,SNPS
15,2014-05,37.77,39.47,36.57,38.49,12369999,SNPS
16,2014-06,38.62,39.5,37.78,38.82,12010557,SNPS
17,2014-07,38.85,39.55,37.75,37.77,14080890,SNPS
18,2014-08,37.73,42.55,37.27,40.9,11516276,SNPS
19,2014-09,40.57,41.64,39.53,39.695,10675840,SNPS
20,2014-10,39.6,41.34,36.62,40.98,13863644,SNPS
21,2014-11,41.06,43.985,40.97,43.39,7763308,SNPS
22,2014-12,43.18,45.03,42.01,43.47,15105852,SNPS
23,2015-01,43.73,44.19,41.6,42.99,12189045,SNPS
24,2015-02,43.02,47.37,42.2,46.41,13539277,SNPS
25,2015-03,46.24,47.24,45.0,46.32,13565899,SNPS
26,2015-04,46.3,48.11,45.81,46.88,12338036,SNPS
27,2015-05,47.09,50.2,46.44,49.89,14828183,SNPS
28,2015-06,50.15,51.0,49.05,50.65,16976845,SNPS
29,2015-07,50.83,51.35,48.85,50.84,14030108,SNPS
30,2015-08,50.72,52.65,43.46,46.93,18387984,SNPS
31,2015-09,45.86,48.41,45.38,46.18,19546632,SNPS
32,2015-10,46.17,50.59,45.55,49.98,16144888,SNPS
33,2015-11,50.09,52.78,47.73,50.08,15174548,SNPS
34,2015-12,50.48,50.86,44.39,45.61,23164653,SNPS
35,2016-01,45.11,45.9989,39.26,42.9,20536631,SNPS
36,2016-02,42.62,46.4,40.36,44.75,26242516,SNPS
37,2016-03,44.7,48.6,44.07,48.44,18984986,SNPS
38,2016-04,48.24,49.37,47.21,47.52,15680945,SNPS
39,2016-05,47.52,51.99,46.6796,51.67,16169781,SNPS
40,2016-06,51.38,54.1,50.6701,54.08,21131308,SNPS
41,2016-07,53.9,55.21,53.02,54.16,17752922,SNPS
42,2016-08,54.32,59.59,53.53,59.29,18336979,SNPS
43,2016-09,58.96,60.0,57.43,59.35,16326200,SNPS
44,2016-10,59.3,61.36,58.15,59.31,14165629,SNPS
45,2016-11,59.25,62.0,57.55,60.48,16963544,SNPS
46,2016-12,58.52,61.05,56.03,58.86,18846322,SNPS
47,2017-01,59.27,62.95,59.04,62.89,11967206,SNPS
48,2017-02,63.06,73.08,62.24,71.44,18874167,SNPS
49,2017-03,71.44,72.42,69.42,72.13,52497982,SNPS
50,2017-04,72.43,74.22,70.625,73.7,18854583,SNPS
51,2017-05,73.87,75.34,70.55,74.87,29062543,SNPS
52,2017-06,75.03,76.57,72.4,72.93,23727045,SNPS
53,2017-07,73.37,77.29,71.94,76.57,13149646,SNPS
54,2017-08,76.9,80.45,75.53,80.42,19131242,SNPS
55,2017-09,80.05,81.57,78.66,80.53,17046919,SNPS
56,2017-10,80.67,87.47,80.67,86.52,16805111,SNPS
57,2017-11,87.07,94.8,85.68,90.38,22186958,SNPS
58,2017-12,90.42,91.4453,85.05,85.24,28309822,SNPS
59,2018-01,85.9,94.14,85.08,92.61,17353472,SNPS
60,2018-02,91.89,92.94,83.83,85.85,6867716,SNPS
