,date,open,high,low,close,volume,Name
0,2013-02,43.92,46.95,42.07,46.55,63992157,SPGI
1,2013-03,46.53,52.38,46.38,52.08,46291290,SPGI
2,2013-04,51.87,55.0,50.51,54.11,44252937,SPGI
3,2013-05,54.08,56.07,52.91,54.55,27941183,SPGI
4,2013-06,54.6,56.55,52.67,53.19,33775950,SPGI
5,2013-07,53.56,62.36,53.45,61.86,27186855,SPGI
6,2013-08,62.2,64.22,58.23,58.37,23919647,SPGI
7,2013-09,59.08,66.96,58.59,65.59,23742216,SPGI
8,2013-10,65.82,74.37,65.34,69.68,29379632,SPGI
9,2013-11,70.11,75.85,69.78,74.5,19339662,SPGI
10,2013-12,74.4,78.81,71.16,78.2,25384368,SPGI
11,2014-01,77.44,78.45,72.83,76.04,30450324,SPGI
12,2014-02,76.0,82.09,74.07,79.66,34220414,SPGI
13,2014-03,78.42,82.39,74.19,76.3,44756578,SPGI
14,2014-04,76.43,77.89,71.93,73.93,27687644,SPGI
15,2014-05,74.01,81.9,73.04,81.77,28749660,SPGI
16,2014-06,81.95,84.81,81.02,83.03,23360381,SPGI
17,2014-07,83.29,84.67,79.56,80.22,26958531,SPGI
18,2014-08,79.34,81.27,77.7,81.13,22224738,SPGI
19,2014-09,81.18,87.28,81.17,84.45,25129702,SPGI
20,2014-10,84.33,90.96,73.96,90.48,33503363,SPGI
21,2014-11,90.83,93.94,89.15,93.46,21521698,SPGI
22,2014-12,93.37,93.94,86.54,88.98,23983670,SPGI
23,2015-01,89.78,92.63,85.06,89.44,34141018,SPGI
24,2015-02,89.06,105.66,87.87,103.1,32540620,SPGI
25,2015-03,103.34,109.13,100.79,103.4,28574388,SPGI
26,2015-04,103.16,107.9,101.57,104.3,24284077,SPGI
27,2015-05,104.98,108.14,103.35,103.75,20055255,SPGI
28,2015-06,104.45,106.35,100.44,100.45,22856807,SPGI
29,2015-07,101.31,107.5,97.38,101.75,34886544,SPGI
30,2015-08,101.67,106.61,90.5,96.99,26810881,SPGI
31,2015-09,94.47,97.3,84.6435,86.5,28991303,SPGI
32,2015-10,86.44,96.21,86.1,92.64,24609449,SPGI
33,2015-11,93.14,98.78,91.45,96.47,29216169,SPGI
34,2015-12,97.25,101.27,92.26,98.58,26814029,SPGI
35,2016-01,96.56,96.64,79.64,85.02,27427924,SPGI
36,2016-02,84.17,90.86,78.55,89.74,36841303,SPGI
37,2016-03,90.5,99.85,90.25,98.98,30568765,SPGI
38,2016-04,97.75,109.27,95.83,106.85,24162036,SPGI
39,2016-05,107.59,112.75,97.65,111.81,21305823,SPGI
40,2016-06,111.02,111.04,99.15,107.26,27173890,SPGI
41,2016-07,107.11,122.71,104.75,122.2,19706557,SPGI
42,2016-08,122.21,124.55,119.0,123.54,17666599,SPGI
43,2016-09,123.52,128.4,120.95,126.56,20236736,SPGI
44,2016-10,126.06,127.02,120.95,121.85,20337988,SPGI
45,2016-11,122.23,127.68,118.13,118.99,35043746,SPGI
46,2016-12,119.4,119.67,107.21,107.54,33772972,SPGI
47,2017-01,108.41,122.21,107.87,120.18,27007708,SPGI
48,2017-02,120.67,131.26,118.795,129.47,20591198,SPGI
49,2017-03,131.1,133.08,127.28,130.74,28106462,SPGI
50,2017-04,130.48,136.75,127.6,134.19,21562551,SPGI
51,2017-05,134.61,142.93,134.12,142.81,20049095,SPGI
52,2017-06,143.21,150.4,143.08,145.99,27257484,SPGI
53,2017-07,146.42,158.35,145.72,153.59,23030725,SPGI
54,2017-08,152.36,154.7,147.0701,154.33,24276475,SPGI
55,2017-09,154.65,157.47,150.34,156.31,16962595,SPGI
56,2017-10,156.85,166.17,153.25,156.47,25336796,SPGI
57,2017-11,157.08,167.87,154.7,165.48,22243530,SPGI
58,2017-12,165.26,174.07,162.25,169.4,20544587,SPGI
59,2018-01,169.74,185.34,167.95,181.1,19275228,SPGI
60,2018-02,180.4,185.38,164.99,182.69,12717712,SPGI
