,date,open,high,low,close,volume,Name
0,2013-02,161.06,163.51,156.7,158.86,16150246,SPG
1,2013-03,158.58,163.42,156.076,158.56,23657001,SPG
2,2013-04,158.58,178.1,158.2,178.07,29830355,SPG
3,2013-05,177.85,182.45,166.39,166.44,28371050,SPG
4,2013-06,166.33,168.96,152.02,157.92,35364344,SPG
5,2013-07,159.2,167.0,156.365,160.06,26829414,SPG
6,2013-08,160.83,161.4,143.2,145.63,25979917,SPG
7,2013-09,146.24,157.39,142.47,148.23,29075649,SPG
8,2013-10,148.43,161.99,147.6,154.55,29177396,SPG
9,2013-11,155.31,157.16,147.51,149.85,24209028,SPG
10,2013-12,151.14,155.86,147.55,152.16,30695916,SPG
11,2014-01,152.39,158.98,149.6,154.84,32525953,SPG
12,2014-02,154.1,162.18,150.41,161.29,26805562,SPG
13,2014-03,160.57,164.93,157.08,164.0,27761592,SPG
14,2014-04,163.86,173.22,163.19,173.2,29050422,SPG
15,2014-05,173.09,177.31,164.04,166.46,24815525,SPG
16,2014-06,166.33,170.34,162.56,166.28,29832773,SPG
17,2014-07,166.87,172.72,164.94,168.19,24724048,SPG
18,2014-08,168.14,171.49,165.02,170.03,25664887,SPG
19,2014-09,170.62,173.31,162.43,164.42,28244741,SPG
20,2014-10,164.29,180.62,163.41,179.21,34702287,SPG
21,2014-11,179.8,184.03,175.36,180.8,28331696,SPG
22,2014-12,180.38,188.18,178.29,182.11,28084081,SPG
23,2015-01,183.15,206.31,182.97,198.66,30828172,SPG
24,2015-02,199.04,203.5,186.7925,190.36,26114533,SPG
25,2015-03,190.49,199.09,178.84,195.64,39776084,SPG
26,2015-04,195.82,202.28,180.55,181.49,27824847,SPG
27,2015-05,181.76,189.26,180.104,181.4,28092408,SPG
28,2015-06,181.64,184.08,170.99,173.02,31461978,SPG
29,2015-07,171.87,200.23,171.87,187.22,25205984,SPG
30,2015-08,187.15,195.17,176.88,179.32,30820239,SPG
31,2015-09,176.64,188.3,173.09,183.72,26378869,SPG
32,2015-10,184.68,208.14,183.615,201.46,26346670,SPG
33,2015-11,201.59,206.35,184.59,186.24,25576387,SPG
34,2015-12,187.04,196.33,180.55,194.44,28581173,SPG
35,2016-01,192.31,196.76,177.55,186.28,28874548,SPG
36,2016-02,185.58,192.91,176.105,189.73,27357487,SPG
37,2016-03,190.77,208.12,190.7,207.69,26353765,SPG
38,2016-04,207.5,210.41,199.105,201.17,24633819,SPG
39,2016-05,202.78,214.8,190.82,197.64,35579638,SPG
40,2016-06,196.59,217.17,196.11,216.9,27751467,SPG
41,2016-07,217.53,229.1,213.87,227.04,21687368,SPG
42,2016-08,226.86,228.47,210.27,215.47,27033905,SPG
43,2016-09,214.89,219.41,206.02,207.01,28556173,SPG
44,2016-10,206.29,206.29,181.85,185.96,30960732,SPG
45,2016-11,184.99,189.25,174.91,179.65,31699685,SPG
46,2016-12,178.92,187.69,173.11,177.67,30029621,SPG
47,2017-01,179.09,188.0995,176.62,183.77,42501964,SPG
48,2017-02,185.38,187.35,176.84,184.4,28874810,SPG
49,2017-03,184.27,184.88,163.55,172.03,47863123,SPG
50,2017-04,172.28,176.17,164.83,165.26,34019966,SPG
51,2017-05,166.22,170.24,152.09,154.25,52200644,SPG
52,2017-06,154.0,165.38,150.15,161.76,43742764,SPG
53,2017-07,162.36,166.96,153.1401,158.5,30916101,SPG
54,2017-08,162.21,167.12,152.5101,156.85,37073689,SPG
55,2017-09,157.52,165.19,156.0,161.01,28726125,SPG
56,2017-10,161.18,167.82,153.71,155.33,31571407,SPG
57,2017-11,155.99,165.83,153.74,161.75,42107259,SPG
58,2017-12,162.2,172.35,160.7384,171.74,35186810,SPG
59,2018-01,172.34,173.02,158.56,163.37,38700729,SPG
60,2018-02,163.61,164.83,152.13,154.86,14022934,SPG
