,date,open,high,low,close,volume,Name
0,2013-02,98.51,98.75,94.5,95.92,8990378,SRCL
1,2013-03,95.73,106.28,95.32,106.18,9619301,SRCL
2,2013-04,106.7,110.3,103.51,108.32,8946948,SRCL
3,2013-05,107.96,113.11,107.15,109.76,8287899,SRCL
4,2013-06,110.21,111.58,105.5,110.43,8391169,SRCL
5,2013-07,110.72,119.59,109.94,115.94,6708372,SRCL
6,2013-08,116.63,117.98,111.32,112.56,5268910,SRCL
7,2013-09,113.26,117.58,111.21,115.4,5853802,SRCL
8,2013-10,115.71,121.61,112.89200000000001,116.2,6962629,SRCL
9,2013-11,116.6,120.99,115.1,117.48,4554926,SRCL
10,2013-12,117.75,118.72,113.0,116.17,8381426,SRCL
11,2014-01,115.28,120.74,111.03,117.06,10807175,SRCL
12,2014-02,116.97,117.74,111.75,114.0,9535786,SRCL
13,2014-03,113.31,117.93,111.73,113.62,8629222,SRCL
14,2014-04,113.95,116.59,108.6201,116.44,9177556,SRCL
15,2014-05,116.25,116.69,111.03,114.37,7888917,SRCL
16,2014-06,114.24,119.73,113.73,118.42,6942533,SRCL
17,2014-07,118.79,125.43,117.0,117.65,6931924,SRCL
18,2014-08,117.55,120.41,116.28,118.85,4990395,SRCL
19,2014-09,118.73,119.43,115.01,116.56,6559302,SRCL
20,2014-10,116.87,126.09,114.26,126.0,11153091,SRCL
21,2014-11,126.37,133.48,125.43,128.92,6488788,SRCL
22,2014-12,129.1,134.14,126.25,131.08,8314454,SRCL
23,2015-01,131.51,136.8,129.92,131.29,7956703,SRCL
24,2015-02,133.71,136.0,129.58,134.97,8877811,SRCL
25,2015-03,135.37,141.44,132.01,140.43,9032656,SRCL
26,2015-04,139.73,142.69,131.0,133.43,8950337,SRCL
27,2015-05,133.87,139.22,132.15200000000002,137.3,7939659,SRCL
28,2015-06,137.37,138.32,133.11,133.91,7907294,SRCL
29,2015-07,134.89,141.45,130.9,140.97,16462229,SRCL
30,2015-08,141.22,148.865,135.63,141.14,12220519,SRCL
31,2015-09,139.28,146.16,135.21,139.31,19574666,SRCL
32,2015-10,140.08,151.57,110.56,121.37,26466016,SRCL
33,2015-11,121.12,126.65,119.89,120.72,19640982,SRCL
34,2015-12,120.99,123.8499,112.95,120.6,19371939,SRCL
35,2016-01,119.21,121.44,111.25,120.35,12861235,SRCL
36,2016-02,119.29,121.11,104.91,113.93,20554264,SRCL
37,2016-03,114.59,126.53,112.4,126.19,20812432,SRCL
38,2016-04,125.9,128.94,91.05,95.56,26512189,SRCL
39,2016-05,96.16,99.59,93.0,97.99,39121848,SRCL
40,2016-06,98.07,104.12,97.6201,104.12,21982090,SRCL
41,2016-07,104.12,107.74,81.99,90.27,23709785,SRCL
42,2016-08,89.86,90.45,83.01,85.98,27482514,SRCL
43,2016-09,86.03,86.05,76.76,80.14,27473901,SRCL
44,2016-10,80.09,83.1,72.89,80.09,30529496,SRCL
45,2016-11,79.92,79.95,72.2,72.97,25430627,SRCL
46,2016-12,72.97,77.93,71.52,77.04,24624128,SRCL
47,2017-01,77.4,81.85,75.65,77.14,18692907,SRCL
48,2017-02,77.11,86.77,72.0,82.88,23489524,SRCL
49,2017-03,83.3,84.86,79.26,82.89,17857703,SRCL
50,2017-04,82.93,87.35,80.85,85.34,12493304,SRCL
51,2017-05,85.69,88.0,80.68,81.77,14728115,SRCL
52,2017-06,81.96,84.6,75.9,76.32,17781977,SRCL
53,2017-07,76.6,77.76,74.22,77.08,12789694,SRCL
54,2017-08,77.33,83.25,70.24,71.89,22485934,SRCL
55,2017-09,71.97,72.7,68.62,71.62,13491239,SRCL
56,2017-10,71.83,72.94,69.9,70.85,12650828,SRCL
57,2017-11,70.94,71.48,61.25,66.31,22854921,SRCL
58,2017-12,66.31,69.1199,64.88,67.99,15912609,SRCL
59,2018-01,68.29,75.45,67.39,75.36,15219869,SRCL
60,2018-02,75.31,75.58,69.26,72.84,5547856,SRCL
