,date,open,high,low,close,volume,Name
0,2013-02,56.43,58.15,55.83,56.59,58330242,STT
1,2013-03,56.24,60.65,55.76,59.09,63727413,STT
2,2013-04,59.14,60.78,54.57,58.47,64120930,STT
3,2013-05,58.3,68.175,57.37,66.18,71236146,STT
4,2013-06,66.5,67.88,63.23,65.21,67845771,STT
5,2013-07,65.51,71.265,64.92,69.67,55355682,STT
6,2013-08,70.16,70.89,66.46,66.72,40237217,STT
7,2013-09,67.51,69.88,65.2707,65.75,44456945,STT
8,2013-10,66.04,70.767,64.25,70.07,65573500,STT
9,2013-11,70.08,73.27,67.54,72.61,41982346,STT
10,2013-12,72.81,73.63,69.09,73.39,37111012,STT
11,2014-01,73.35,76.24,66.66,66.95,52012837,STT
12,2014-02,66.94,69.73,64.3,65.67,60179809,STT
13,2014-03,65.09,70.77,64.21,69.55,64729569,STT
14,2014-04,69.89,70.2,62.67100000000001,64.56,57621114,STT
15,2014-05,64.55,66.05,62.67,65.27,56109358,STT
16,2014-06,65.41,68.43,64.6602,67.26,42389866,STT
17,2014-07,67.62,73.14,66.42,70.44,50403304,STT
18,2014-08,70.22,72.56,68.9,72.03,35209956,STT
19,2014-09,72.32,76.78,71.34,73.61,41725993,STT
20,2014-10,73.59,77.585,64.21,75.46,62215158,STT
21,2014-11,75.62,78.43,75.0,76.73,34490714,STT
22,2014-12,75.8,80.92,74.27,78.5,40612196,STT
23,2015-01,79.22,79.31,70.5,71.51,63950680,STT
24,2015-02,71.73,78.88,71.52,74.45,55409979,STT
25,2015-03,74.37,76.57,71.34,73.53,61857278,STT
26,2015-04,73.26,78.55,72.56,77.12,45812958,STT
27,2015-05,77.84,79.59,76.0,77.93,40745455,STT
28,2015-06,78.23,81.2,76.2,77.0,46336127,STT
29,2015-07,77.93,81.26,73.63,76.56,44963863,STT
30,2015-08,76.6,79.7959,67.06,71.92,53589214,STT
31,2015-09,70.6,73.55,65.76,67.21,57569707,STT
32,2015-10,66.94,70.55,63.97,69.0,59702179,STT
33,2015-11,69.19,75.4,68.99,72.58,45216488,STT
34,2015-12,72.95,73.77,64.5,66.36,56507610,STT
35,2016-01,64.77,65.65,50.73,55.73,67541306,STT
36,2016-02,55.15,58.04,51.44,54.78,74425138,STT
37,2016-03,55.42,60.27,55.4,58.52,80624349,STT
38,2016-04,58.04,64.69,55.88,62.3,46843015,STT
39,2016-05,62.35,64.1,58.855,63.06,42808964,STT
40,2016-06,62.32,63.14,50.595,53.92,78266171,STT
41,2016-07,53.58,66.13,51.22,65.78,57149792,STT
42,2016-08,65.93,70.65,64.8799,70.24,44826255,STT
43,2016-09,70.54,71.62,68.26,69.63,51589393,STT
44,2016-10,69.26,73.14,68.16,70.21,41661037,STT
45,2016-11,70.67,79.27,69.49,78.8,47713575,STT
46,2016-12,79.13,81.91,77.21,77.72,42243125,STT
47,2017-01,79.0,83.49,74.4501,76.2,52072181,STT
48,2017-02,76.88,82.31,75.08,79.71,40438928,STT
49,2017-03,81.18,82.62,75.27,79.61,58292684,STT
50,2017-04,79.67,85.3799,76.95,83.9,39501791,STT
51,2017-05,84.47,84.79,79.28,81.46,35433335,STT
52,2017-06,81.88,91.43,81.475,89.73,41748279,STT
53,2017-07,90.4,96.26,89.25,93.23,35738341,STT
54,2017-08,93.74,95.8,91.025,92.49,39260671,STT
55,2017-09,92.89,96.39,90.01,95.54,38002614,STT
56,2017-10,95.73,99.99,91.96,92.0,38230008,STT
57,2017-11,92.52,96.33,89.68,95.35,35054992,STT
58,2017-12,95.66,100.9,93.17,97.61,31695365,STT
59,2018-01,98.25,114.27,96.23,110.17,37856342,STT
60,2018-02,109.77,110.99,99.42,103.52,10804974,STT
