,date,open,high,low,close,volume,Name
0,2013-02,34.85,36.83,30.26,32.16,69966596,STX
1,2013-03,32.03,36.95,31.55,36.555,102870205,STX
2,2013-04,36.86,37.9,33.22,36.7,114338790,STX
3,2013-05,36.8,44.44,36.41,43.08,132689914,STX
4,2013-06,43.15,45.5,40.68,44.83,78266943,STX
5,2013-07,45.49,47.82,40.2,40.91,91279815,STX
6,2013-08,41.1201,41.93,37.17,38.32,65940803,STX
7,2013-09,38.77,44.48,38.385,43.76,72352504,STX
8,2013-10,43.69,50.66,43.52,48.69,96512914,STX
9,2013-11,48.71,50.22,46.99,49.04,62275563,STX
10,2013-12,49.03,57.07,48.66,56.16,66087732,STX
11,2014-01,55.93,62.76,50.5,52.86,88579266,STX
12,2014-02,53.01,53.41,48.21,52.19,63830259,STX
13,2014-03,51.75,56.75,48.6,56.16,74416347,STX
14,2014-04,56.68,58.35,51.38,52.58,64103710,STX
15,2014-05,51.9,53.7825,48.49,53.73,60205277,STX
16,2014-06,53.7,57.25,53.1,56.82,45806296,STX
17,2014-07,57.23,61.61,57.2,58.6,51955309,STX
18,2014-08,58.38,62.95,56.05,62.58,40422903,STX
19,2014-09,62.9,63.27,55.78,57.27,58035849,STX
20,2014-10,57.06,62.855,50.44,62.83,77645234,STX
21,2014-11,62.93,66.68,61.21,66.11,50824945,STX
22,2014-12,65.81,69.4,62.87,66.5,51232718,STX
23,2015-01,66.67,67.21,56.31,56.44,79546280,STX
24,2015-02,56.51,62.61,55.885,61.12,55220581,STX
25,2015-03,61.21,63.39,51.74,52.03,89319288,STX
26,2015-04,52.05,59.61,51.05,58.72,76339005,STX
27,2015-05,58.98,60.09,54.3,55.64,54266776,STX
28,2015-06,55.74,56.12,47.42,47.5,79849339,STX
29,2015-07,47.87,52.88,44.46,50.6,125028882,STX
30,2015-08,50.79,52.59,45.63,51.4,99427584,STX
31,2015-09,50.24,52.12,41.585,44.8,98659519,STX
32,2015-10,44.81,49.5,36.8039,38.06,140439510,STX
33,2015-11,37.76,40.91,32.38,35.94,83738886,STX
34,2015-12,36.15,37.94,33.4,36.66,85065824,STX
35,2016-01,36.03,36.88,26.25,29.05,129735424,STX
36,2016-02,29.06,33.65,28.27,31.36,113344269,STX
37,2016-03,31.8,37.45,31.65,34.45,108568651,STX
38,2016-04,33.9,35.79,21.61,21.77,205972268,STX
39,2016-05,21.14,22.6,18.4201,22.56,169654509,STX
40,2016-06,22.29,24.9,20.765,24.36,130482572,STX
41,2016-07,24.21,33.035,22.09,32.03,138546635,STX
42,2016-08,32.0,34.14,30.09,33.74,99253704,STX
43,2016-09,33.76,39.04,33.34,38.55,102753016,STX
44,2016-10,38.56,39.33,33.54,34.31,109926433,STX
45,2016-11,34.37,40.27,32.45,40.1,82616406,STX
46,2016-12,40.73,41.4543,36.5,38.17,84077243,STX
47,2017-01,38.46,46.68,35.54,45.15,143240001,STX
48,2017-02,45.61,48.6801,44.05,48.19,84637950,STX
49,2017-03,48.65,49.79,43.7,45.93,89993421,STX
50,2017-04,45.63,50.96,41.2,42.13,123552489,STX
51,2017-05,42.08,44.055,41.67,43.57,90829851,STX
52,2017-06,43.56,43.56,38.2842,38.75,91193836,STX
53,2017-07,38.92,40.17,31.88,32.96,145869175,STX
54,2017-08,33.05,34.035,30.6,31.53,103290506,STX
55,2017-09,31.59,33.923,30.89,33.17,102516028,STX
56,2017-10,33.64,40.9,33.15,36.97,142247732,STX
57,2017-11,37.38,40.639,36.07,38.56,76095926,STX
58,2017-12,38.31,43.065,37.25,41.84,75341819,STX
59,2018-01,42.35,56.45,41.91,55.2,127038482,STX
60,2018-02,54.72,55.53,47.2,49.55,34881894,STX
