,date,open,high,low,close,volume,Name
0,2013-02,31.62,44.99,31.05,44.24,113691693,STZ
1,2013-03,44.14,47.82,42.42,47.64,46595248,STZ
2,2013-04,47.66,49.54,46.83,49.35,62871454,STZ
3,2013-05,48.97,54.64,48.681000000000004,53.01,45309431,STZ
4,2013-06,53.21,53.65,49.09,52.12,36923191,STZ
5,2013-07,52.49,53.75,49.32,52.09,45913454,STZ
6,2013-08,52.5,56.0,52.5,54.25,26080743,STZ
7,2013-09,55.2,59.92,54.22,57.4,34421089,STZ
8,2013-10,57.33,65.79,57.09,65.3,42205867,STZ
9,2013-11,65.45,71.175,65.09,70.41,24203514,STZ
10,2013-12,70.67,71.62,68.17,70.38,23212808,STZ
11,2014-01,70.02,81.56,68.54,76.67,43702106,STZ
12,2014-02,76.3,82.84,74.69,81.03,23356800,STZ
13,2014-03,80.77,85.2,80.22,84.97,26740764,STZ
14,2014-04,85.4,85.91,76.26,79.84,37571680,STZ
15,2014-05,79.9,84.32,78.43,84.13,21806419,STZ
16,2014-06,83.81,88.6,82.19,88.13,25234741,STZ
17,2014-07,88.27,94.77,82.97,83.26,30998579,STZ
18,2014-08,83.5,88.17,82.62,87.09,15271583,STZ
19,2014-09,87.29,88.5,84.8,87.16,19803099,STZ
20,2014-10,86.66,95.09,80.7,91.54,39688644,STZ
21,2014-11,91.62,96.6,91.62,96.4,16445786,STZ
22,2014-12,95.82,100.77,89.34,98.17,22237168,STZ
23,2015-01,98.71,112.39,96.53,110.45,34475830,STZ
24,2015-02,110.45,116.29,109.47,114.72,16935245,STZ
25,2015-03,114.43,118.5,110.45,116.21,21641924,STZ
26,2015-04,116.14,121.92,114.75,115.94,21462385,STZ
27,2015-05,116.47,120.48,114.65,117.89,17337341,STZ
28,2015-06,118.79,122.13,115.53,116.02,22447520,STZ
29,2015-07,120.37,120.54,114.6701,120.02,21126168,STZ
30,2015-08,120.61,130.42,114.49,128.0,30970358,STZ
31,2015-09,127.26,132.2,122.351,125.21,30691789,STZ
32,2015-10,125.15,138.88,124.57,134.8,26944139,STZ
33,2015-11,134.91,144.6,131.43,140.26,22513429,STZ
34,2015-12,140.95,144.8699,135.341,142.44,24014201,STZ
35,2016-01,141.03,154.31,138.45,152.48,37348019,STZ
36,2016-02,152.9,155.68,130.23,141.43,38349428,STZ
37,2016-03,142.42,152.23,137.85,151.09,32576502,STZ
38,2016-04,150.36,160.39,149.6,156.06,31152210,STZ
39,2016-05,156.07,165.81,152.21,153.15,29564877,STZ
40,2016-06,153.15,166.22,149.26,165.4,40443197,STZ
41,2016-07,165.74,168.13,161.75,164.63,22113534,STZ
42,2016-08,164.94,168.683,161.51,164.05,17759644,STZ
43,2016-09,163.87,168.68,160.51,166.49,22024225,STZ
44,2016-10,166.45,173.55,164.79,167.12,27889680,STZ
45,2016-11,166.9,167.86,146.9,151.14,49082572,STZ
46,2016-12,150.32,158.32,144.0,153.31,35717730,STZ
47,2017-01,155.01,158.3499,144.0,149.76,54648875,STZ
48,2017-02,151.76,162.48,148.38,158.81,36505270,STZ
49,2017-03,160.09,165.88,155.11,162.07,29387437,STZ
50,2017-04,162.07,175.43,160.53,172.54,30169963,STZ
51,2017-05,173.0,186.06,171.84,182.75,29488272,STZ
52,2017-06,183.32,197.41,176.21,193.73,32874371,STZ
53,2017-07,194.14,199.89,191.06,193.35,24404258,STZ
54,2017-08,193.23,200.64,191.71,200.1,21783241,STZ
55,2017-09,200.55,205.12,197.32,199.45,22118842,STZ
56,2017-10,200.39,219.29,198.44,219.09,33933594,STZ
57,2017-11,219.37,227.2,212.67,217.59,21681396,STZ
58,2017-12,217.66,229.4249,214.33,228.57,27548215,STZ
59,2018-01,229.0,229.5,214.0,219.47,54843549,STZ
60,2018-02,219.19,221.18,207.77,214.15,9235950,STZ
