,date,open,high,low,close,volume,Name
0,2013-02,76.36,79.5,75.08,78.7,19843621,SWK
1,2013-03,78.19,82.43,76.12,80.97,31755278,SWK
2,2013-04,80.77,81.16,73.88,74.81,34616896,SWK
3,2013-05,74.61,83.26,74.232,79.22,25898708,SWK
4,2013-06,79.15,81.38,73.77,77.3,19705804,SWK
5,2013-07,77.91,85.12,77.012,84.62,19359700,SWK
6,2013-08,85.22,89.5,84.33,85.26,24820892,SWK
7,2013-09,86.46,92.36,85.51,90.57,14907692,SWK
8,2013-10,91.23,92.76,74.13,79.09,52456688,SWK
9,2013-11,79.33,84.0,78.17,81.39,27425858,SWK
10,2013-12,81.38,81.55,78.87,80.69,30291023,SWK
11,2014-01,80.57,83.22,76.18,77.4,36657627,SWK
12,2014-02,78.0,83.76,75.0,83.04,24268054,SWK
13,2014-03,81.62,82.96,78.5,81.24,23908860,SWK
14,2014-04,81.12,86.01,75.9,85.89,33331632,SWK
15,2014-05,85.69,88.06,84.19,87.4,18216720,SWK
16,2014-06,87.09,89.05,86.03,87.82,16458874,SWK
17,2014-07,88.13,91.25,84.83,87.45,25015089,SWK
18,2014-08,87.69,91.96,86.01,91.5,17273598,SWK
19,2014-09,91.28,95.4,88.49,88.79,21353423,SWK
20,2014-10,88.79,96.55,79.03,93.64,33991814,SWK
21,2014-11,93.75,96.55,92.78,94.44,18691573,SWK
22,2014-12,94.18,97.72,92.54,96.08,23278864,SWK
23,2015-01,96.57,96.81,90.08,93.65,29807867,SWK
24,2015-02,93.44,100.44,93.12,98.34,22043018,SWK
25,2015-03,97.82,98.99,93.28,95.36,27200543,SWK
26,2015-04,95.35,101.055,94.6,98.7,20685803,SWK
27,2015-05,98.99,104.47,98.82,102.44,20921856,SWK
28,2015-06,102.36,107.69,101.94,105.24,22999464,SWK
29,2015-07,106.7,111.18,104.16,105.49,27310412,SWK
30,2015-08,104.79,106.8,91.19,101.52,31424644,SWK
31,2015-09,99.17,106.78,94.56,96.98,22043640,SWK
32,2015-10,96.94,107.32,94.89,105.98,25752279,SWK
33,2015-11,106.28,109.5,104.19,109.16,22886402,SWK
34,2015-12,109.44,110.41,103.38,106.73,28752700,SWK
35,2016-01,104.94,105.6,89.01,94.34,35988648,SWK
36,2016-02,93.52,98.25,88.72,94.01,31091967,SWK
37,2016-03,94.89,106.48,94.66,105.21,23273670,SWK
38,2016-04,104.31,113.68700000000001,103.89,111.92,24223644,SWK
39,2016-05,112.02,115.15,109.51,113.18,19570461,SWK
40,2016-06,112.66,115.155,103.86,111.22,21099123,SWK
41,2016-07,111.28,123.3,110.44,121.7,18972737,SWK
42,2016-08,121.82,124.73,120.95,123.75,18410241,SWK
43,2016-09,123.64,124.4,118.75,122.98,19472649,SWK
44,2016-10,122.8,124.86,111.89,113.84,25682993,SWK
45,2016-11,113.77,126.72,112.86,118.63,25497072,SWK
46,2016-12,119.09,121.62,114.2682,114.69,17849632,SWK
47,2017-01,115.64,128.77,114.86,124.0,22562862,SWK
48,2017-02,123.67,128.33,120.89,127.15,14236800,SWK
49,2017-03,129.0,136.9,127.05,132.87,17928533,SWK
50,2017-04,133.12,140.06,130.04,136.15,21580947,SWK
51,2017-05,136.03,139.62,133.251,137.64,24022875,SWK
52,2017-06,138.16,143.85,136.72,140.73,21838754,SWK
53,2017-07,141.32,148.32,139.35,140.69,20836648,SWK
54,2017-08,139.44,144.24,136.33,144.0,19083584,SWK
55,2017-09,144.51,152.43,141.17,150.97,19893178,SWK
56,2017-10,152.38,166.7,151.8,161.55,21211955,SWK
57,2017-11,162.08,169.86,160.45,169.63,18143482,SWK
58,2017-12,169.44,170.9,164.89,169.69,16471234,SWK
59,2018-01,170.52,176.62,165.7,166.23,23164109,SWK
60,2018-02,165.02,167.755,153.75,159.74,7886843,SWK
