,date,open,high,low,close,volume,Name
0,2013-02,63.19,64.456,61.59,63.88,21143908,SYK
1,2013-03,63.73,66.92,63.18,65.24,31148058,SYK
2,2013-04,65.1,67.15,63.35,65.58,37833442,SYK
3,2013-05,65.49,70.0,65.12,66.39,30419337,SYK
4,2013-06,66.4,68.22,63.83,64.68,24597409,SYK
5,2013-07,64.85,71.32,63.71,70.46,27762689,SYK
6,2013-08,70.89,71.55,66.44,66.89,22025921,SYK
7,2013-09,67.63,71.94,66.515,67.59,27845503,SYK
8,2013-10,67.74,74.86,66.93,73.86,34345340,SYK
9,2013-11,74.25,75.5,72.541,74.42,23276596,SYK
10,2013-12,74.32,75.55,71.22,75.14,26183821,SYK
11,2014-01,75.12,79.24,74.02,77.6,34512150,SYK
12,2014-02,77.84,83.86,76.21,80.24,39019199,SYK
13,2014-03,79.45,82.3,78.75,81.47,28267563,SYK
14,2014-04,81.88,84.85,75.78,77.75,39742694,SYK
15,2014-05,77.74,85.61,77.12,84.49,32504955,SYK
16,2014-06,84.73,86.93,83.28,84.32,27943171,SYK
17,2014-07,84.99,85.91,79.7,79.77,30779730,SYK
18,2014-08,80.0,83.74,78.91,83.31,23983016,SYK
19,2014-09,83.61,84.62,80.73,80.75,24180028,SYK
20,2014-10,81.03,88.23,77.87,87.53,39544020,SYK
21,2014-11,87.36,93.86,86.74,92.91,20957642,SYK
22,2014-12,92.79,98.24,90.57,94.33,27865991,SYK
23,2015-01,94.7,96.0,90.7,91.05,27722882,SYK
24,2015-02,91.35,95.8,89.83,94.75,20333759,SYK
25,2015-03,94.83,96.18,89.811,92.25,29359418,SYK
26,2015-04,92.46,97.44,90.19,92.24,30618432,SYK
27,2015-05,92.81,97.57,92.13,96.13,20901062,SYK
28,2015-06,96.67,97.94,93.9,95.57,20208516,SYK
29,2015-07,96.23,103.99,94.77,102.27,25157846,SYK
30,2015-08,102.31,105.3357,91.81,98.65,30997774,SYK
31,2015-09,96.49,102.22,91.73,94.1,36074972,SYK
32,2015-10,94.5,100.51,92.92,95.62,34400945,SYK
33,2015-11,95.83,98.78,95.1,96.46,29582777,SYK
34,2015-12,97.34,97.86,90.3,92.94,29248952,SYK
35,2016-01,91.47,101.18,86.68,99.15,47586541,SYK
36,2016-02,96.79,102.69,94.31,99.88,35130899,SYK
37,2016-03,100.4,107.9499,98.0,107.29,31662007,SYK
38,2016-04,106.72,113.85,106.26,109.01,33402232,SYK
39,2016-05,109.33,112.6912,108.01,111.16,24624003,SYK
40,2016-06,111.29,119.83,110.46,119.83,32904394,SYK
41,2016-07,120.01,123.55,114.39,116.28,31056246,SYK
42,2016-08,116.29,117.65,112.02,115.66,21807914,SYK
43,2016-09,115.9,118.9,110.13,116.41,28345987,SYK
44,2016-10,115.86,118.085,109.31,115.35,24539024,SYK
45,2016-11,115.99,121.84,106.48,113.66,42153257,SYK
46,2016-12,113.36,121.5,110.91,119.81,24399486,SYK
47,2017-01,119.81,127.23,116.5,123.53,34081916,SYK
48,2017-02,123.43,129.66,121.86,128.56,21082283,SYK
49,2017-03,129.35,133.59,128.78,131.65,26546060,SYK
50,2017-04,131.65,136.6,129.82,136.37,20254436,SYK
51,2017-05,136.43,143.2,132.44,142.96,23170021,SYK
52,2017-06,142.8,145.62,137.77,138.78,25102553,SYK
53,2017-07,139.23,148.15,138.0,147.1,22025404,SYK
54,2017-08,147.09,148.04,137.7,141.37,26825160,SYK
55,2017-09,141.54,145.04,138.9429,142.02,21556805,SYK
56,2017-10,142.42,160.62,141.68,154.87,28169758,SYK
57,2017-11,155.08,157.575,152.25,156.0,23202753,SYK
58,2017-12,156.05,156.53,150.24,154.84,20526556,SYK
59,2018-01,156.65,170.0,155.65,164.38,28783000,SYK
60,2018-02,163.85,165.27,150.33,153.67,9674983,SYK
