,date,open,high,low,close,volume,Name
0,2013-02,22.25,23.75,22.18,23.44,127034536,SYMC
1,2013-03,23.4,24.91,23.21,24.68,151959027,SYMC
2,2013-04,24.78,24.79,21.9301,24.3,140236652,SYMC
3,2013-05,24.24,25.26,22.3,22.39,226858199,SYMC
4,2013-06,22.41,22.99,21.41,22.48,198605476,SYMC
5,2013-07,22.54,26.89,22.215,26.68,135196394,SYMC
6,2013-08,26.68,27.1,25.28,25.61,103244329,SYMC
7,2013-09,25.93,26.34,24.36,24.75,112922977,SYMC
8,2013-10,24.2701,25.6,20.89,22.755,206450022,SYMC
9,2013-11,22.89,23.96,22.24,22.49,158721131,SYMC
10,2013-12,22.47,23.6392,22.015,23.58,133384543,SYMC
11,2014-01,23.44,24.27,21.41,21.41,177421023,SYMC
12,2014-02,21.33,21.84,20.31,21.48,143888298,SYMC
13,2014-03,21.28,21.61,17.95,19.97,263223536,SYMC
14,2014-04,19.91,20.9,19.8,20.28,181053094,SYMC
15,2014-05,20.32,22.86,20.0,21.99,145357223,SYMC
16,2014-06,22.1,22.94,21.065,22.9,140315250,SYMC
17,2014-07,22.59,24.08,22.38,23.66,101912215,SYMC
18,2014-08,23.64,25.35,23.01,24.28,107538598,SYMC
19,2014-09,24.32,24.86,23.2935,23.51,98143224,SYMC
20,2014-10,23.51,25.15,21.66,24.82,130378602,SYMC
21,2014-11,24.85,26.2,24.69,26.09,83418339,SYMC
22,2014-12,26.04,26.69,24.68,25.655,75892908,SYMC
23,2015-01,25.79,27.32,24.74,24.77,77828899,SYMC
24,2015-02,24.93,26.36,24.36,25.16,68227305,SYMC
25,2015-03,25.2,25.34,23.02,23.365,99477462,SYMC
26,2015-04,22.94,26.15,22.94,24.925,104874091,SYMC
27,2015-05,24.99,26.16,24.211,24.625,72028317,SYMC
28,2015-06,24.74,25.03,23.09,23.25,99067459,SYMC
29,2015-07,23.43,24.21,22.26,22.74,68589416,SYMC
30,2015-08,22.79,23.245,19.35,20.49,122459788,SYMC
31,2015-09,19.99,20.46,19.24,19.47,111399594,SYMC
32,2015-10,19.54,21.33,19.07,20.6,109503290,SYMC
33,2015-11,20.65,21.36,19.39,19.58,110554426,SYMC
34,2015-12,19.56,21.48,19.41,21.0,151568157,SYMC
35,2016-01,20.55,21.04,18.31,19.84,152473296,SYMC
36,2016-02,19.68,21.07,18.48,19.31,158824510,SYMC
37,2016-03,19.47,20.59,16.14,18.38,225482072,SYMC
38,2016-04,18.22,18.64,16.56,16.645,167155375,SYMC
39,2016-05,17.1,17.44,16.25,17.36,180561098,SYMC
40,2016-06,17.32,21.28,16.98,20.54,310089180,SYMC
41,2016-07,20.45,21.3,20.04,20.43,149783038,SYMC
42,2016-08,20.49,24.22,20.38,24.13,238247328,SYMC
43,2016-09,24.14,25.365,23.89,25.1,180924096,SYMC
44,2016-10,25.08,25.72,24.01,25.03,147291930,SYMC
45,2016-11,25.13,25.55,22.76,24.39,239899861,SYMC
46,2016-12,24.36,25.1101,23.34,23.89,133594414,SYMC
47,2017-01,23.94,27.63,23.77,27.55,135103378,SYMC
48,2017-02,27.65,29.35,26.4366,28.57,133047796,SYMC
49,2017-03,28.75,31.1,28.22,30.68,143821431,SYMC
50,2017-04,30.69,31.67,29.9,31.63,88157323,SYMC
51,2017-05,31.66,33.22,28.89,30.31,208150764,SYMC
52,2017-06,30.36,30.485,27.71,28.25,174807649,SYMC
53,2017-07,28.45,31.63,27.31,30.99,124714149,SYMC
54,2017-08,31.16,31.62,27.665,29.98,177385584,SYMC
55,2017-09,30.14,34.2,29.45,32.81,130583499,SYMC
56,2017-10,33.0,33.92,31.21,32.5,91335442,SYMC
57,2017-11,32.2,32.72,27.47,28.97,147815876,SYMC
58,2017-12,28.97,29.34,27.18,28.06,107083035,SYMC
59,2018-01,28.26,29.73,25.65,27.23,152323955,SYMC
60,2018-02,26.35,28.09,25.85,26.58,50711126,SYMC
