,date,open,high,low,close,volume,Name
0,2013-02,31.52,32.86,31.37,32.16,49199678,SYY
1,2013-03,32.15,35.62,31.95,35.17,82113512,SYY
2,2013-04,34.95,35.4,33.55,34.86,72708151,SYY
3,2013-05,34.89,35.38,33.76,33.8,72618210,SYY
4,2013-06,33.79,34.84,33.07,34.16,63932348,SYY
5,2013-07,34.23,36.05,33.59,34.51,58045333,SYY
6,2013-08,34.7,35.5,31.37,32.02,85293217,SYY
7,2013-09,32.26,33.44,31.77,31.83,94325569,SYY
8,2013-10,31.78,33.53,31.13,32.34,80099397,SYY
9,2013-11,32.34,34.74,32.11,33.63,62356713,SYY
10,2013-12,33.57,43.4,33.2974,36.1,167128424,SYY
11,2014-01,36.9,37.08,34.75,35.08,87195637,SYY
12,2014-02,35.0,36.365,34.07,36.02,72609772,SYY
13,2014-03,35.85,36.56,35.36,36.13,58053874,SYY
14,2014-04,36.07,36.75,35.31,36.43,60811612,SYY
15,2014-05,36.47,37.6,35.62,37.53,48542320,SYY
16,2014-06,37.5,37.99,36.56,37.45,60776464,SYY
17,2014-07,36.97,37.41,35.69,35.69,47040413,SYY
18,2014-08,35.8,37.99,35.5,37.83,53989173,SYY
19,2014-09,37.81,38.85,36.74,37.95,74250779,SYY
20,2014-10,37.3,39.13,35.821,38.54,76236912,SYY
21,2014-11,38.23,40.6,37.21,40.26,49969322,SYY
22,2014-12,40.0,41.16,39.16,39.69,67717701,SYY
23,2015-01,39.87,41.45,39.07,39.17,84050088,SYY
24,2015-02,39.34,40.48,38.02,38.99,109708118,SYY
25,2015-03,38.99,39.28,37.705,37.73,78664906,SYY
26,2015-04,37.51,38.31,36.845,37.03,61846061,SYY
27,2015-05,37.12,38.48,35.84,37.16,72223166,SYY
28,2015-06,37.21,38.995,35.965,36.1,128920038,SYY
29,2015-07,35.9,36.5,35.45,36.31,89815970,SYY
30,2015-08,36.02,41.87,35.73,39.87,201761704,SYY
31,2015-09,39.39,40.31,38.71,38.97,132447951,SYY
32,2015-10,38.72,42.03,38.34,41.25,93184880,SYY
33,2015-11,40.98,42.0,39.69,41.1,81326026,SYY
34,2015-12,41.34,41.82,40.385,41.0,86156634,SYY
35,2016-01,40.53,40.87,38.835,39.81,97107166,SYY
36,2016-02,41.75,45.11,41.4,44.13,143975250,SYY
37,2016-03,44.59,46.9,44.26,46.73,84301538,SYY
38,2016-04,46.57,47.24,45.19,46.07,64431389,SYY
39,2016-05,46.86,50.68,46.79,48.11,84086702,SYY
40,2016-06,48.19,50.75,48.12,50.74,90587062,SYY
41,2016-07,50.84,52.31,50.64,51.79,63872010,SYY
42,2016-08,51.9,53.97,51.14,51.86,72231887,SYY
43,2016-09,51.99,53.535,48.7,49.01,83787266,SYY
44,2016-10,49.0,49.27,47.145,48.12,68746197,SYY
45,2016-11,48.1,54.66,47.59,53.25,97365307,SYY
46,2016-12,53.02,57.07,52.71,55.37,63365350,SYY
47,2017-01,55.32,55.95,52.41,52.46,70342976,SYY
48,2017-02,52.18,53.39,49.895,52.72,76836192,SYY
49,2017-03,53.11,53.305,51.42,51.92,70280356,SYY
50,2017-04,52.06,53.71,51.4,52.87,42180585,SYY
51,2017-05,52.93,56.1,52.5,54.56,64900966,SYY
52,2017-06,54.73,55.84,49.22,50.33,79385240,SYY
53,2017-07,50.49,52.71,48.85,52.62,51077015,SYY
54,2017-08,52.0,53.0266,50.05,52.67,67547679,SYY
55,2017-09,52.95,54.47,52.18,53.95,50559728,SYY
56,2017-10,53.96,55.75,53.56,55.62,39645417,SYY
57,2017-11,55.52,58.67,52.3,57.73,52974986,SYY
58,2017-12,57.64,62.79,57.02,60.73,51555475,SYY
59,2018-01,60.69,64.27,59.93,62.87,48979237,SYY
60,2018-02,62.57,62.62,56.01,58.43,20435900,SYY
