,date,open,high,low,close,volume,Name
0,2013-02,44.29,47.09,43.38,44.21,24609856,TAP
1,2013-03,44.09,49.29,44.09,48.93,23558475,TAP
2,2013-04,49.85,53.1,49.6,51.6,31876136,TAP
3,2013-05,51.57,53.35,48.8501,49.41,29136614,TAP
4,2013-06,49.68,51.19,46.94,47.86,27574776,TAP
5,2013-07,48.18,51.94,47.16,50.06,33424224,TAP
6,2013-08,50.57,53.75,48.1801,48.79,35806688,TAP
7,2013-09,49.5,52.15,48.25,50.13,18370139,TAP
8,2013-10,50.15,55.535,49.43,54.0,21198556,TAP
9,2013-11,54.09,56.26,52.52,52.67,16319818,TAP
10,2013-12,52.72,56.49,52.11,56.15,17402308,TAP
11,2014-01,55.95,57.18,52.55,52.64,23565083,TAP
12,2014-02,52.6,57.54,50.9,56.83,20147785,TAP
13,2014-03,56.5,59.15,56.06,58.86,16766251,TAP
14,2014-04,58.93,60.9,56.6,59.97,22802753,TAP
15,2014-05,60.06,65.8,59.61,65.73,30362175,TAP
16,2014-06,65.6,75.55,65.35,74.16,42375307,TAP
17,2014-07,74.17,74.69,67.47,67.53,26063784,TAP
18,2014-08,67.6,75.61,66.95,73.95,25329615,TAP
19,2014-09,74.17,77.78,70.03,74.44,41072146,TAP
20,2014-10,74.0,76.27,66.17,74.38,40252880,TAP
21,2014-11,74.47,77.93,73.895,77.35,24103500,TAP
22,2014-12,76.9,77.49,70.81,74.52,29528994,TAP
23,2015-01,74.64,78.92,72.4,75.93,24655092,TAP
24,2015-02,76.39,78.61,71.85,75.89,33410399,TAP
25,2015-03,75.8,76.2,71.49,74.45,31964955,TAP
26,2015-04,74.02,79.18,73.33,73.51,33727333,TAP
27,2015-05,73.59,76.3,71.5,73.38,33674422,TAP
28,2015-06,73.32,75.12,69.69,69.81,36279422,TAP
29,2015-07,70.36,72.38,68.5,71.14,28453283,TAP
30,2015-08,71.11,74.33,63.91,68.09,41161562,TAP
31,2015-09,66.83,85.79,65.77,83.02,81425263,TAP
32,2015-10,83.02,89.0,78.17,88.1,68640540,TAP
33,2015-11,88.07,95.74,86.0,92.03,55607562,TAP
34,2015-12,92.34,95.51,90.93,93.92,30804277,TAP
35,2016-01,92.97,93.1,83.83,90.48,65049276,TAP
36,2016-02,90.5,92.405,80.78,85.27,48989061,TAP
37,2016-03,86.09,97.0,85.43,96.18,31621427,TAP
38,2016-04,95.46,98.27,91.17,95.63,28315963,TAP
39,2016-05,95.56,100.62,95.35,99.18,24599895,TAP
40,2016-06,99.22,104.15,95.574,101.13,36920941,TAP
41,2016-07,101.73,103.84,89.4,102.16,69206041,TAP
42,2016-08,102.16,103.41,98.24,102.32,33249565,TAP
43,2016-09,102.09,111.24,101.05,109.8,44009578,TAP
44,2016-10,109.24,112.19,103.32,103.81,34223772,TAP
45,2016-11,102.7,109.37,96.09,98.03,43152026,TAP
46,2016-12,97.73,100.43,94.1,97.31,29982117,TAP
47,2017-01,97.89,100.2799,94.42,96.52,29805710,TAP
48,2017-02,96.35,102.14,94.12,100.39,37606179,TAP
49,2017-03,100.47,100.89,95.2,95.71,28884901,TAP
50,2017-04,95.98,97.0,94.47,95.89,22761433,TAP
51,2017-05,95.94,96.45,89.27,94.79,44409036,TAP
52,2017-06,95.01,97.5,85.46,86.34,56991076,TAP
53,2017-07,86.68,90.5,85.34,88.98,25664337,TAP
54,2017-08,90.98,94.02,88.27,89.75,33640025,TAP
55,2017-09,89.99,90.62,80.92,81.64,29493709,TAP
56,2017-10,81.77,84.91,78.1,80.87,32272194,TAP
57,2017-11,81.59,83.32,76.25,78.1,27640798,TAP
58,2017-12,78.22,82.55,78.08,82.07,22883556,TAP
59,2018-01,82.24,85.86,81.25,84.02,25416714,TAP
60,2018-02,83.85,83.91,75.79,76.16,8499555,TAP
