,date,open,high,low,close,volume,Name
0,2013-02,45.5,45.82,43.43,44.97,67136183,TJX
1,2013-03,44.89,47.37,44.5,46.75,99308223,TJX
2,2013-04,46.85,48.965,46.6,48.77,84497276,TJX
3,2013-05,48.79,51.84,48.11,50.61,74321165,TJX
4,2013-06,50.55,51.25,48.71,50.06,74027420,TJX
5,2013-07,50.4,52.96,49.71,52.04,58319616,TJX
6,2013-08,52.35,54.66,50.31,52.72,71876940,TJX
7,2013-09,53.19,57.16,52.99,56.39,61263081,TJX
8,2013-10,56.46,61.01,54.63,60.79,63135394,TJX
9,2013-11,60.96,64.09,60.35,62.88,61838656,TJX
10,2013-12,62.98,63.81,61.08,63.73,64392296,TJX
11,2014-01,63.36,64.38,56.47,57.36,82143764,TJX
12,2014-02,57.35,62.22,55.82,61.46,86255133,TJX
13,2014-03,60.83,62.37,59.29,60.65,69233803,TJX
14,2014-04,60.84,62.36,57.61,58.18,63763197,TJX
15,2014-05,58.14,59.95,53.87,54.45,102512457,TJX
16,2014-06,54.64,56.885,51.965,53.15,98719938,TJX
17,2014-07,53.07,54.73,51.91,53.29,86225199,TJX
18,2014-08,53.89,60.04,52.76,59.61,95108393,TJX
19,2014-09,59.88,61.245,58.58,59.17,70179570,TJX
20,2014-10,59.27,64.2,58.96,63.32,97609713,TJX
21,2014-11,64.1,66.47,59.69,66.16,97912296,TJX
22,2014-12,65.6,69.84,64.25,68.58,70225437,TJX
23,2015-01,68.65,69.36,65.1,65.94,64072443,TJX
24,2015-02,65.91,69.87,64.29,68.64,67255283,TJX
25,2015-03,68.76,71.03,66.72,70.05,72927080,TJX
26,2015-04,70.09,70.11,63.66,64.54,65443123,TJX
27,2015-05,64.85,70.52,64.38,64.38,68090010,TJX
28,2015-06,64.38,68.24,64.3,66.17,54096206,TJX
29,2015-07,66.5,69.98,66.02,69.82,51745515,TJX
30,2015-08,70.0,76.93,67.25,70.32,80031339,TJX
31,2015-09,69.05,73.49,68.53,71.42,61546056,TJX
32,2015-10,71.42,74.61,69.29,73.19,59307750,TJX
33,2015-11,73.32,74.65,63.53,70.6,94540298,TJX
34,2015-12,71.11,72.74,69.1,70.91,64062170,TJX
35,2016-01,69.89,71.98,65.64,71.24,67384136,TJX
36,2016-02,70.94,75.83,66.8184,74.1,82747390,TJX
37,2016-03,74.36,79.2,74.0,78.35,61707692,TJX
38,2016-04,78.22,79.2,75.0,75.82,53393095,TJX
39,2016-05,76.19,78.38,72.58,76.12,89246211,TJX
40,2016-06,75.87,77.96,72.43,77.23,67658257,TJX
41,2016-07,77.25,81.875,76.22,81.72,54967561,TJX
42,2016-08,81.68,83.64,76.98,77.44,90201773,TJX
43,2016-09,77.64,77.84,73.84,74.78,72325532,TJX
44,2016-10,74.43,75.545,72.51,73.75,52383149,TJX
45,2016-11,73.68,79.79,71.5,78.34,84514400,TJX
46,2016-12,78.08,78.59,74.96,75.13,62883814,TJX
47,2017-01,75.56,77.21,73.25,74.92,69596149,TJX
48,2017-02,75.07,78.88,74.3,78.45,95065067,TJX
49,2017-03,78.98,79.97,77.06,79.08,75937635,TJX
50,2017-04,79.29,79.48,75.8,78.64,60128664,TJX
51,2017-05,78.89,80.92,73.03,75.21,111549322,TJX
52,2017-06,75.76,76.055,68.22,72.17,99204975,TJX
53,2017-07,72.65,73.21,66.655,70.31,90283405,TJX
54,2017-08,70.4,73.21,68.89,72.3,109645585,TJX
55,2017-09,72.44,74.3801,71.72,73.73,65312111,TJX
56,2017-10,73.69,73.97,68.9,69.8,67647726,TJX
57,2017-11,70.28,76.22,66.44,75.55,123752674,TJX
58,2017-12,75.3,77.94,72.92,76.46,85283115,TJX
59,2018-01,76.86,81.46,74.27,80.32,81043910,TJX
60,2018-02,80.06,80.73,73.37,76.2,26139554,TJX
