,date,open,high,low,close,volume,Name
0,2013-02,73.92,75.35,71.6,73.8,27265981,TMO
1,2013-03,73.28,78.04,72.87,76.49,39377163,TMO
2,2013-04,76.3,84.55,75.27,80.68,80859069,TMO
3,2013-05,80.44,89.5,80.27,88.3,44488038,TMO
4,2013-06,88.82,89.0,81.04,84.63,64134845,TMO
5,2013-07,85.03,92.29,84.41,91.11,37869622,TMO
6,2013-08,92.32,92.72,88.13,88.83,26749350,TMO
7,2013-09,89.97,94.74,89.405,92.15,30972522,TMO
8,2013-10,92.21,98.5182,89.71,97.78,36905717,TMO
9,2013-11,98.18,103.12,95.52,100.85,26722757,TMO
10,2013-12,101.09,111.435,99.1225,111.35,31736997,TMO
11,2014-01,110.69,120.88,109.08,115.14,48948298,TMO
12,2014-02,115.17,125.82,111.21,124.54,64494962,TMO
13,2014-03,123.07,127.63,116.62,120.24,44746191,TMO
14,2014-04,120.54,123.37,112.02,114.0,50823223,TMO
15,2014-05,113.72,119.365,112.75,116.91,37254524,TMO
16,2014-06,116.99,120.46,115.85,118.0,36861905,TMO
17,2014-07,118.45,127.21,116.36,121.5,46375827,TMO
18,2014-08,121.42,124.37,118.71,120.21,25707406,TMO
19,2014-09,120.89,125.25,120.245,121.7,30146797,TMO
20,2014-10,122.3,122.31,107.33,117.57,56094787,TMO
21,2014-11,116.82,129.77,115.61,129.29,35628310,TMO
22,2014-12,129.34,129.48,121.15,125.29,29171283,TMO
23,2015-01,126.3,131.12,121.54,125.21,48384246,TMO
24,2015-02,125.49,132.0,122.93,130.0,28634950,TMO
25,2015-03,129.94,139.03,126.18,134.34,37934194,TMO
26,2015-04,134.67,135.175,125.25,125.68,33209753,TMO
27,2015-05,126.495,133.48,126.15,129.63,31940367,TMO
28,2015-06,129.84,134.12,127.4,129.76,33163777,TMO
29,2015-07,130.67,141.25,127.77,139.53,35402271,TMO
30,2015-08,139.5,139.78,117.98,125.37,35714438,TMO
31,2015-09,123.0,130.76,117.1,122.28,46102371,TMO
32,2015-10,122.7,132.41,119.92,130.78,44493851,TMO
33,2015-11,131.28,140.66,131.01,138.4,32260082,TMO
34,2015-12,138.86,143.65,131.78,141.85,33907154,TMO
35,2016-01,139.45,140.94,127.18,132.06,51812161,TMO
36,2016-02,131.26,132.1,119.75,129.19,37713828,TMO
37,2016-03,129.84,142.21,129.7,141.59,41394536,TMO
38,2016-04,140.21,147.94,140.19,144.25,28793914,TMO
39,2016-05,145.01,152.17,142.98,151.77,28547672,TMO
40,2016-06,151.29,154.81,140.21,147.76,33289664,TMO
41,2016-07,147.94,159.99,145.75,158.84,26095489,TMO
42,2016-08,158.75,160.675,150.75,152.19,25323886,TMO
43,2016-09,152.65,159.53,143.01,159.06,36518115,TMO
44,2016-10,157.95,160.095,146.145,147.03,37504423,TMO
45,2016-11,148.0,157.02,139.53,140.11,45450545,TMO
46,2016-12,140.47,146.48,139.07,141.1,38199042,TMO
47,2017-01,142.39,152.5,140.0,152.39,44929198,TMO
48,2017-02,152.27,159.41,150.23,157.68,29058356,TMO
49,2017-03,159.47,161.6599,152.61,153.6,34754399,TMO
50,2017-04,153.6,168.76,151.74,165.33,33132477,TMO
51,2017-05,166.37,174.375,165.75,172.79,32409409,TMO
52,2017-06,172.79,176.92,172.04,174.47,27586807,TMO
53,2017-07,175.33,182.87,170.18,175.53,28788083,TMO
54,2017-08,175.93,187.54,170.07,187.14,34620216,TMO
55,2017-09,188.22,194.3,184.88099999999997,189.2,29074882,TMO
56,2017-10,189.81,201.2,186.64,193.83,32331304,TMO
57,2017-11,195.14,197.18,184.5,192.76,29537458,TMO
58,2017-12,192.78,195.35,181.51,189.88,33225718,TMO
59,2018-01,190.8,226.0,190.38,224.11,33442160,TMO
60,2018-02,224.16,226.44,201.62,207.55,10361170,TMO
