,date,open,high,low,close,volume,Name
0,2013-02,46.82,47.78,42.04,45.536,29891799,TRIP
1,2013-03,45.42,53.73,44.59,52.52,36696943,TRIP
2,2013-04,52.53,54.8,48.18,52.58,37641833,TRIP
3,2013-05,52.53,65.41,51.72,64.49,53907820,TRIP
4,2013-06,63.15,65.2,58.74,60.87,36716850,TRIP
5,2013-07,61.45,76.2,59.54,75.02,39945505,TRIP
6,2013-08,75.78,82.195,68.84,73.97,36917723,TRIP
7,2013-09,74.9,79.08,72.1101,75.84,28454390,TRIP
8,2013-10,75.74,84.64,68.115,82.715,70781750,TRIP
9,2013-11,83.08,90.43,80.6939,88.32,36534187,TRIP
10,2013-12,88.25,89.57,78.67,82.83,37691510,TRIP
11,2014-01,82.48,86.83,75.56,77.19,35496168,TRIP
12,2014-02,76.94,102.85,72.57,100.24,52989296,TRIP
13,2014-03,98.81,109.79,88.82,90.59,40742544,TRIP
14,2014-04,91.23,96.33,75.13,80.74,57369591,TRIP
15,2014-05,81.51,98.62,80.16,97.17,58372743,TRIP
16,2014-06,99.97,111.24,95.82,108.66,36545754,TRIP
17,2014-07,109.13,110.22,94.17,94.84,45694448,TRIP
18,2014-08,94.49,105.2243,91.78,99.09,26961371,TRIP
19,2014-09,99.59,100.23,89.1,91.42,36010737,TRIP
20,2014-10,91.01,91.08,75.34,88.66,50425960,TRIP
21,2014-11,89.33,89.35,67.14,73.65,60888675,TRIP
22,2014-12,73.5,77.94,70.59,74.66,46098059,TRIP
23,2015-01,75.57,76.12,66.04,67.01,37040746,TRIP
24,2015-02,67.27,90.4,66.18,89.25,65147495,TRIP
25,2015-03,89.29,91.47,82.0001,83.17,39202765,TRIP
26,2015-04,83.38,84.62,79.83,80.49,28184730,TRIP
27,2015-05,81.89,83.0,75.62,76.26,41274574,TRIP
28,2015-06,76.24,92.0,74.1425,87.14,52323897,TRIP
29,2015-07,88.0,94.0,77.32,79.38,41595589,TRIP
30,2015-08,79.39,80.24,62.5,69.9,39319013,TRIP
31,2015-09,68.16,71.16,62.24,63.02,34707386,TRIP
32,2015-10,63.24,85.16,63.0,83.78,56296734,TRIP
33,2015-11,83.67,86.195,73.57,82.37,47050499,TRIP
34,2015-12,82.85,87.5,81.89,85.25,26186530,TRIP
35,2016-01,83.64,83.97,65.0,66.76,40023415,TRIP
36,2016-02,66.52,67.64,53.48,62.6,61943955,TRIP
37,2016-03,63.21,68.28,59.33,66.5,50358145,TRIP
38,2016-04,66.05,67.5,60.2,64.59,35487039,TRIP
39,2016-05,64.42,68.53,59.64,67.74,55487884,TRIP
40,2016-06,67.41,71.61,58.955,64.3,42801126,TRIP
41,2016-07,64.3,71.69,63.75,69.97,28537957,TRIP
42,2016-08,70.09,70.7,60.68,61.0,52963769,TRIP
43,2016-09,60.91,65.03,59.72,63.18,35327061,TRIP
44,2016-10,62.9,66.13,60.69,64.48,32605433,TRIP
45,2016-11,64.41,65.562,48.25,48.28,71338426,TRIP
46,2016-12,48.34,49.75,45.63,46.37,48583697,TRIP
47,2017-01,46.75,53.58,46.21,52.9,36579263,TRIP
48,2017-02,52.99,53.47,41.147,41.47,71922279,TRIP
49,2017-03,41.79,44.6,40.45,43.16,65100311,TRIP
50,2017-04,43.26,45.31,40.89,45.01,57760752,TRIP
51,2017-05,45.03,50.95,38.23,38.51,77667515,TRIP
52,2017-06,38.65,40.14,35.34,38.2,54648148,TRIP
53,2017-07,38.48,39.84,35.99,39.02,41401566,TRIP
54,2017-08,39.24,43.86,35.55,42.73,89839989,TRIP
55,2017-09,42.91,45.97,39.91,40.53,54121550,TRIP
56,2017-10,41.11,44.01,35.88,37.5,58665255,TRIP
57,2017-11,37.76,39.75,29.5,34.62,128069146,TRIP
58,2017-12,34.63,35.995,34.0,34.46,49839486,TRIP
59,2018-01,34.61,38.17,34.09,34.67,56619899,TRIP
60,2018-02,34.28,41.34,34.0791,41.05,23624834,TRIP
