,date,open,high,low,close,volume,Name
0,2013-02,79.12,81.25,78.43,80.42,27884190,TRV
1,2013-03,80.16,84.37,79.35,84.19,37755645,TRV
2,2013-04,84.37,89.0,83.34,85.41,41622358,TRV
3,2013-05,85.46,87.91,82.59,83.72,42726194,TRV
4,2013-06,83.78,84.3199,77.38,79.92,47104377,TRV
5,2013-07,80.44,85.53,79.35,83.55,46156877,TRV
6,2013-08,84.25,84.77,79.13,79.9,37293239,TRV
7,2013-09,80.74,87.53,79.12,84.77,41594408,TRV
8,2013-10,84.93,88.05,82.24,86.3,42549956,TRV
9,2013-11,86.58,91.68,86.02,90.74,34878833,TRV
10,2013-12,90.26,90.74,86.26,90.54,41991284,TRV
11,2014-01,90.51,90.655,80.88,81.28,59138291,TRV
12,2014-02,81.2,85.18,79.89,83.84,50630618,TRV
13,2014-03,83.45,85.13,82.32,85.1,52307027,TRV
14,2014-04,85.17,90.94,84.16,90.58,51255066,TRV
15,2014-05,90.64,94.31,89.81,93.45,40840728,TRV
16,2014-06,93.7,96.18,92.87,94.07,43305400,TRV
17,2014-07,94.88,96.03,89.55,89.56,43589022,TRV
18,2014-08,89.47,94.77,88.8101,94.71,30561774,TRV
19,2014-09,94.92,95.38,92.3228,93.94,37423665,TRV
20,2014-10,94.12,103.15,90.83,100.8,63006377,TRV
21,2014-11,100.81,105.07,99.82,104.45,34200630,TRV
22,2014-12,104.38,107.94,102.141,105.85,41433974,TRV
23,2015-01,106.29,108.24,102.28,102.82,42078425,TRV
24,2015-02,102.94,108.53,101.94,107.44,42295923,TRV
25,2015-03,107.44,110.49,104.72,108.13,39026071,TRV
26,2015-04,108.0,109.01,100.76,101.11,47576817,TRV
27,2015-05,101.85,104.12,100.96,101.12,36367522,TRV
28,2015-06,101.59,101.87,95.86,96.66,39564402,TRV
29,2015-07,99.65,107.09,98.24,106.12,44440016,TRV
30,2015-08,106.39,108.05,95.21,99.55,44057761,TRV
31,2015-09,97.71,103.13,97.21,99.53,45548457,TRV
32,2015-10,99.85,114.77,97.18,112.89,43455114,TRV
33,2015-11,113.57,116.48,111.62,114.57,31880144,TRV
34,2015-12,115.27,116.36,109.34,112.86,41321998,TRV
35,2016-01,110.71,110.96,101.23,107.04,43393270,TRV
36,2016-02,106.79,109.7978,103.0701,107.52,40686957,TRV
37,2016-03,108.13,117.7,108.04,116.71,36069900,TRV
38,2016-04,116.42,118.28,108.25,109.9,36397216,TRV
39,2016-05,110.01,115.0,108.68,114.14,28980704,TRV
40,2016-06,113.75,119.05,109.19,119.04,33629328,TRV
41,2016-07,118.96,119.3,115.0,116.22,28648784,TRV
42,2016-08,116.26,119.1,115.97,118.71,27565125,TRV
43,2016-09,118.9,119.32,113.47,114.55,31831868,TRV
44,2016-10,114.27,116.91,106.86,108.18,41447598,TRV
45,2016-11,108.6,114.24,103.45,113.35,40819059,TRV
46,2016-12,114.22,123.09,113.85,122.42,36003124,TRV
47,2017-01,123.07,123.07,115.88,117.78,32386817,TRV
48,2017-02,117.69,123.08,116.25,122.24,24511180,TRV
49,2017-03,123.81,125.49,120.0101,120.54,34132921,TRV
50,2017-04,120.57,122.99,117.3401,121.66,28062876,TRV
51,2017-05,121.79,124.96,119.066,124.85,29788777,TRV
52,2017-06,124.97,129.6,123.19,126.53,30825007,TRV
53,2017-07,126.98,128.27,122.89,128.09,25666984,TRV
54,2017-08,128.5,130.37,120.16,121.18,33111370,TRV
55,2017-09,121.74,126.68,113.76,122.52,39612348,TRV
56,2017-10,122.87,134.47,121.715,132.45,32281780,TRV
57,2017-11,133.98,136.48,128.79,135.57,34220813,TRV
58,2017-12,136.26,137.95,131.44,135.64,26674384,TRV
59,2018-01,136.3,150.42,131.1,149.92,41905101,TRV
60,2018-02,149.68,150.55,136.33,142.14,14616968,TRV
