,date,open,high,low,close,volume,Name
0,2013-02,51.5,52.685,50.3,51.995,15322920,TSCO
1,2013-03,51.92,52.645,49.82,52.065,28442776,TSCO
2,2013-04,52.0,56.61,50.17,53.585,33428392,TSCO
3,2013-05,53.31,57.98,52.57,55.99,18561500,TSCO
4,2013-06,55.83,59.115,53.315,58.773999999999994,20736252,TSCO
5,2013-07,59.375,62.225,57.0,60.575,20396620,TSCO
6,2013-08,61.165,62.315,58.145,61.185,15375576,TSCO
7,2013-09,62.08,67.29,60.25,67.17,16784471,TSCO
8,2013-10,68.04,74.91,64.17,71.35,22949083,TSCO
9,2013-11,70.9,74.5965,69.92,73.21,14258212,TSCO
10,2013-12,73.25,78.17,70.88,77.58,25650107,TSCO
11,2014-01,77.6,77.71600000000001,64.63,66.51,61438946,TSCO
12,2014-02,66.26,71.28,62.06,70.56,25990527,TSCO
13,2014-03,69.93,74.89,69.0,70.63,20768059,TSCO
14,2014-04,70.78,72.99,64.76,67.24,22567523,TSCO
15,2014-05,67.34,67.9,62.553999999999995,65.02,19257716,TSCO
16,2014-06,65.0,66.67,59.75,60.4,24884695,TSCO
17,2014-07,60.55,65.8,57.2,62.17,43183384,TSCO
18,2014-08,62.08,67.55,60.65,66.95,21127274,TSCO
19,2014-09,67.11,67.84,59.27,61.51,29672772,TSCO
20,2014-10,61.4,74.1,55.95,73.22,35793735,TSCO
21,2014-11,73.22,77.66,72.2,76.93,13767113,TSCO
22,2014-12,76.69,79.69,75.4,78.82,21617444,TSCO
23,2015-01,78.8,85.67,74.52,81.17,22887784,TSCO
24,2015-02,81.12,90.49,78.95,88.12,17471881,TSCO
25,2015-03,88.42,89.57,84.0403,85.06,15943947,TSCO
26,2015-04,84.88,91.9,83.7,86.06,16920239,TSCO
27,2015-05,86.25,90.86,84.08,87.14,13383102,TSCO
28,2015-06,87.54,93.99,86.58,89.94,14767586,TSCO
29,2015-07,91.24,96.28,87.48,92.52,21393858,TSCO
30,2015-08,92.75,94.74,75.0,85.31,20579976,TSCO
31,2015-09,83.27,88.34,80.06,84.32,29740042,TSCO
32,2015-10,84.4,93.01,83.37,92.39,27875537,TSCO
33,2015-11,92.4,94.0,84.84,89.35,16203375,TSCO
34,2015-12,89.8,91.38,83.97,85.5,19541642,TSCO
35,2016-01,83.5,88.56,78.41,88.31,33371306,TSCO
36,2016-02,87.45,88.04,78.05,84.57,22473500,TSCO
37,2016-03,85.3,91.49,84.69,90.46,18399341,TSCO
38,2016-04,90.38,97.25,86.44,94.66,26212915,TSCO
39,2016-05,95.14,97.0,90.78,96.1,15714713,TSCO
40,2016-06,96.07,96.87,89.82,91.18,24360337,TSCO
41,2016-07,91.33,94.62,88.54,91.65,23137485,TSCO
42,2016-08,91.29,92.11,83.6,83.95,26618901,TSCO
43,2016-09,84.47,85.09,66.77,67.35,57674918,TSCO
44,2016-10,67.02,68.92,61.5,62.63,41373640,TSCO
45,2016-11,62.75,76.14,62.65,75.07,41432853,TSCO
46,2016-12,75.24,78.17,75.06,75.81,25887583,TSCO
47,2017-01,76.9,78.25,72.71,73.67,24553862,TSCO
48,2017-02,73.27,76.0,70.12,70.91,47376924,TSCO
49,2017-03,71.67,73.13,67.7,68.97,40179704,TSCO
50,2017-04,68.93,71.5299,61.12,61.91,55376164,TSCO
51,2017-05,62.14,63.14,52.85,55.15,48243671,TSCO
52,2017-06,55.37,59.29,52.09,54.21,53249992,TSCO
53,2017-07,54.68,58.345,49.87,56.12,58708003,TSCO
54,2017-08,56.4,60.15,51.85,59.51,51514970,TSCO
55,2017-09,59.75,63.4,58.9973,63.29,37562766,TSCO
56,2017-10,61.99,63.48,54.76,60.26,53115132,TSCO
57,2017-11,60.4,70.61,57.9,68.24,39386394,TSCO
58,2017-12,68.53,75.64,66.17,74.75,41721746,TSCO
59,2018-01,75.35,82.68,75.01,76.25,36529965,TSCO
60,2018-02,72.0,72.3,63.65,67.37,21967780,TSCO
