,date,open,high,low,close,volume,Name
0,2013-02,23.73,24.31,21.79,22.67,84059735,TSN
1,2013-03,22.65,24.85,22.6039,24.82,72285870,TSN
2,2013-04,24.76,25.1,22.47,24.63,82503644,TSN
3,2013-05,24.52,25.86,23.39,25.0,110521162,TSN
4,2013-06,24.95,26.0,24.48,25.68,67110515,TSN
5,2013-07,25.79,27.66,25.69,27.62,59707989,TSN
6,2013-08,27.88,32.4,27.86,28.95,120459372,TSN
7,2013-09,29.18,30.558000000000003,28.18,28.28,98153448,TSN
8,2013-10,28.21,29.885,27.39,27.67,95364347,TSN
9,2013-11,27.69,31.98,27.33,31.69,83249007,TSN
10,2013-12,31.59,34.38,31.45,33.46,71679527,TSN
11,2014-01,33.52,38.25,33.03,37.4,82139377,TSN
12,2014-02,37.35,39.55,35.21,39.45,72750870,TSN
13,2014-03,39.05,44.22,38.3,44.01,66626546,TSN
14,2014-04,44.13,44.24,40.79,41.97,76117473,TSN
15,2014-05,42.24,44.0,38.0,42.46,85585376,TSN
16,2014-06,42.56,43.63,34.9,37.54,122528072,TSN
17,2014-07,37.5,41.88,37.095,37.21,113637256,TSN
18,2014-08,37.1,38.2,36.12,38.06,87979044,TSN
19,2014-09,38.14,39.87,37.14,39.37,74845681,TSN
20,2014-10,39.82,42.1,37.02,40.35,98683647,TSN
21,2014-11,40.35,43.37,39.615,42.34,84547831,TSN
22,2014-12,42.14,42.5299,38.25,40.09,113215579,TSN
23,2015-01,40.11,42.0,38.39,39.04,96644203,TSN
24,2015-02,39.04,41.82,38.51,41.31,66040580,TSN
25,2015-03,41.28,42.41,37.1,38.3,111810582,TSN
26,2015-04,38.15,40.0,37.235,39.5,71010644,TSN
27,2015-05,39.56,43.795,39.34,42.45,82900052,TSN
28,2015-06,42.53,45.1,40.71,42.63,75765083,TSN
29,2015-07,42.81,44.78,42.0,44.35,75254837,TSN
30,2015-08,40.01,43.86,39.05,42.28,130068572,TSN
31,2015-09,41.37,44.14,41.15,43.1,75556487,TSN
32,2015-10,43.27,47.71,42.78,44.36,97404419,TSN
33,2015-11,44.46,50.76,42.89,50.0,101259129,TSN
34,2015-12,50.22,54.42,50.045,53.33,110522299,TSN
35,2016-01,52.44,53.95,48.52,53.36,90590019,TSN
36,2016-02,53.45,66.67,51.73,64.75,121146901,TSN
37,2016-03,65.1,68.14,64.38,66.66,66705669,TSN
38,2016-04,66.6,68.84,62.3,65.82,61937351,TSN
39,2016-05,65.99,70.44,63.61,63.78,73516072,TSN
40,2016-06,63.97,66.81,59.45,66.79,92208363,TSN
41,2016-07,66.62,73.985,65.825,73.6,52713720,TSN
42,2016-08,73.71,76.23,72.6008,75.57,52620942,TSN
43,2016-09,75.58,77.05,72.26,74.67,56009606,TSN
44,2016-10,74.58,75.33,65.85,70.85,73772608,TSN
45,2016-11,70.53,71.62,55.72,56.81,119990016,TSN
46,2016-12,56.81,63.79,55.94,61.68,70329081,TSN
47,2017-01,62.48,64.0,61.0,62.79,47217576,TSN
48,2017-02,62.56,67.14,62.02,62.56,69588144,TSN
49,2017-03,62.63,64.36,61.01,61.71,59556617,TSN
50,2017-04,61.96,66.87,61.5,64.26,48389736,TSN
51,2017-05,64.51,64.53,57.26,57.34,67197663,TSN
52,2017-06,57.52,63.79,57.2,62.63,63596743,TSN
53,2017-07,62.75,63.8,58.36,63.36,45367730,TSN
54,2017-08,63.53,67.73,61.97,63.3,66477137,TSN
55,2017-09,63.53,70.8,63.3,70.45,49577160,TSN
56,2017-10,70.9,73.16,69.795,72.91,40902131,TSN
57,2017-11,73.16,82.84,71.55,82.25,53198684,TSN
58,2017-12,82.29,84.65,80.055,81.07,44594219,TSN
59,2018-01,81.12,82.51,74.87,76.11,43497013,TSN
60,2018-02,75.75,76.69,72.5,73.38,12838698,TSN
