,date,open,high,low,close,volume,Name
0,2013-02,23.16,23.87,21.53,23.76,31183813,TSS
1,2013-03,23.65,24.83,23.5,24.78,27971967,TSS
2,2013-04,24.75,25.05,22.66,23.62,32248103,TSS
3,2013-05,23.5,24.36,23.29,23.51,25271543,TSS
4,2013-06,23.51,24.59,22.58,24.48,35086981,TSS
5,2013-07,24.52,27.7,24.5,27.41,31945430,TSS
6,2013-08,27.51,28.62,27.37,27.67,24839200,TSS
7,2013-09,27.94,30.0,27.5202,29.42,21935974,TSS
8,2013-10,29.41,30.79,28.3,29.83,29111165,TSS
9,2013-11,29.83,31.52,29.4401,31.05,18250820,TSS
10,2013-12,31.09,33.44,30.17,33.28,30984255,TSS
11,2014-01,33.23,33.23,27.0,29.88,30040921,TSS
12,2014-02,29.81,30.73,28.27,30.46,28197225,TSS
13,2014-03,30.1,31.12,29.33,30.41,26540037,TSS
14,2014-04,30.46,31.83,28.17,31.77,38580929,TSS
15,2014-05,31.79,32.96,30.25,30.26,42212823,TSS
16,2014-06,30.31,31.55,29.82,31.41,23385868,TSS
17,2014-07,31.48,32.68,30.91,32.0,21302995,TSS
18,2014-08,31.99,32.14,30.89,31.46,17805095,TSS
19,2014-09,31.45,31.95,30.36,30.96,17282196,TSS
20,2014-10,30.96,33.87,28.54,33.79,22741641,TSS
21,2014-11,33.86,34.07,32.06,32.99,17080063,TSS
22,2014-12,32.96,34.55,32.06,33.96,16651999,TSS
23,2015-01,34.24,36.995,33.06,35.37,17796697,TSS
24,2015-02,35.54,38.61,34.93,38.2,13303573,TSS
25,2015-03,38.18,39.25,37.14,38.15,16794282,TSS
26,2015-04,38.06,40.77,37.6,39.56,22176012,TSS
27,2015-05,39.72,42.16,39.52,41.2,16241573,TSS
28,2015-06,41.32,43.0,40.7,41.77,18208862,TSS
29,2015-07,42.08,47.77,41.415,46.22,25913945,TSS
30,2015-08,46.29,48.67,42.54,45.83,24459648,TSS
31,2015-09,44.7,48.08,44.07,45.43,28764152,TSS
32,2015-10,45.59,55.0,43.91,52.45,35665323,TSS
33,2015-11,52.65,56.38,51.81,55.96,30110091,TSS
34,2015-12,56.33,56.69,49.53,49.8,39600779,TSS
35,2016-01,48.96,49.16,37.57,40.16,50276001,TSS
36,2016-02,39.84,44.96,37.47,43.58,40711038,TSS
37,2016-03,44.01,47.72,43.6,47.58,25094518,TSS
38,2016-04,47.2,55.56,47.07,51.14,31384655,TSS
39,2016-05,51.37,54.95,50.6,53.7,26784525,TSS
40,2016-06,53.42,54.0,49.04,53.11,28441532,TSS
41,2016-07,53.16,56.54,50.73,50.92,22894281,TSS
42,2016-08,50.85,50.89,47.28,49.25,31786561,TSS
43,2016-09,49.32,51.1,46.37,47.15,28776347,TSS
44,2016-10,46.93,51.87,46.22,49.88,33255244,TSS
45,2016-11,50.05,51.93,48.29,49.22,25396483,TSS
46,2016-12,49.22,50.87,47.01,49.03,21812974,TSS
47,2017-01,49.75,54.36,49.69,50.68,33060482,TSS
48,2017-02,51.11,55.45,49.98,54.48,23584031,TSS
49,2017-03,54.82,55.48,50.96,53.46,27603443,TSS
50,2017-04,53.48,58.84,51.88,57.31,28705926,TSS
51,2017-05,57.45,60.2092,56.305,59.55,25246319,TSS
52,2017-06,59.65,60.64,57.54,58.25,23507076,TSS
53,2017-07,58.61,64.94,57.53,63.46,21684443,TSS
54,2017-08,63.78,69.25,62.805,69.12,21901804,TSS
55,2017-09,69.42,70.62,64.56,65.5,35034435,TSS
56,2017-10,65.71,72.29,65.44,72.05,25798204,TSS
57,2017-11,72.46,74.72,70.93,74.36,24992231,TSS
58,2017-12,74.13,80.51,72.55,79.09,24491995,TSS
59,2018-01,79.26,89.92,78.06,88.86,29408611,TSS
60,2018-02,88.28,89.05,82.15,85.37,9137132,TSS
