,date,open,high,low,close,volume,Name
0,2013-02,33.61,34.66,32.19,34.428000000000004,137992385,TXN
1,2013-03,34.13,35.73,33.83,35.48,187460369,TXN
2,2013-04,35.26,36.26,33.56,36.21,223449706,TXN
3,2013-05,36.25,37.355,35.525,35.91,194754559,TXN
4,2013-06,35.94,36.995,34.095,34.85,159065118,TXN
5,2013-07,34.95,39.74,34.81,39.18,169556992,TXN
6,2013-08,39.36,39.99,38.0,38.2,133496166,TXN
7,2013-09,38.62,40.94,38.48,40.29,103320174,TXN
8,2013-10,40.34,42.34,38.925,42.085,174335009,TXN
9,2013-11,42.36,43.08,41.5,43.0,97775493,TXN
10,2013-12,42.95,44.0899,41.91,43.91,95476492,TXN
11,2014-01,43.44,44.82,41.26,42.4,145907614,TXN
12,2014-02,42.42,45.19,40.33,44.96,117552930,TXN
13,2014-03,44.68,47.65,44.15,47.16,140823002,TXN
14,2014-04,47.32,49.77,44.54,45.45,155037586,TXN
15,2014-05,45.91,47.15,44.68,46.98,113022569,TXN
16,2014-06,47.0,48.45,45.65,47.79,85859825,TXN
17,2014-07,48.03,49.53,46.02,46.25,135415104,TXN
18,2014-08,46.27,48.5,45.6,48.18,98599107,TXN
19,2014-09,48.43,49.37,47.1,47.69,98923769,TXN
20,2014-10,47.51,50.21,41.47,49.66,242767083,TXN
21,2014-11,49.65,54.74,49.55,54.42,94714377,TXN
22,2014-12,54.27,55.995,51.96,53.465,120993334,TXN
23,2015-01,53.56,55.46,51.72,53.45,117799843,TXN
24,2015-02,53.5,59.49,52.4099,58.8,103760566,TXN
25,2015-03,59.07,59.99,54.62,57.185,112836493,TXN
26,2015-04,57.05,58.87,53.92,54.21,121217763,TXN
27,2015-05,54.71,56.4,53.34,55.92,105223823,TXN
28,2015-06,55.7,56.34,51.3,51.51,117314075,TXN
29,2015-07,52.15,52.31,48.0,49.98,196215440,TXN
30,2015-08,50.08,52.45,43.49,47.84,186918870,TXN
31,2015-09,46.4,49.63,45.33,49.52,163097844,TXN
32,2015-10,49.84,59.67,47.12,56.72,188647010,TXN
33,2015-11,56.9,58.51,56.0,58.12,95579949,TXN
34,2015-12,57.47,58.96,54.8,54.81,116930277,TXN
35,2016-01,53.55,54.47,46.73,52.93,172550561,TXN
36,2016-02,52.3,53.825,49.1,53.02,140030249,TXN
37,2016-03,53.47,58.78,53.0,57.42,90747383,TXN
38,2016-04,57.49,60.6,56.83,57.04,106352981,TXN
39,2016-05,57.3,61.21,56.19,60.6,103150305,TXN
40,2016-06,60.51,63.31,58.61,62.65,117406292,TXN
41,2016-07,62.33,72.5801,60.46,69.75,137988130,TXN
42,2016-08,69.83,70.85,68.44,69.54,98359656,TXN
43,2016-09,68.78,70.58,66.3,70.18,95365831,TXN
44,2016-10,70.08,72.18,67.06,70.85,104802740,TXN
45,2016-11,71.13,75.25,66.7968,73.93,116936844,TXN
46,2016-12,73.88,75.15,69.92,72.97,103725391,TXN
47,2017-01,73.53,79.47,72.47,75.54,122403171,TXN
48,2017-02,76.06,77.38,74.52,76.62,94498199,TXN
49,2017-03,77.13,82.44,76.68,80.56,112899167,TXN
50,2017-04,80.87,82.92,77.83,79.18,96717778,TXN
51,2017-05,79.25,83.24,78.4,82.49,94250453,TXN
52,2017-06,82.61,84.65,75.9199,76.93,101740363,TXN
53,2017-07,77.45,84.24,76.19,81.38,91177673,TXN
54,2017-08,81.6,83.69,79.6,82.82,86116842,TXN
55,2017-09,82.74,89.89,81.25,89.64,88151353,TXN
56,2017-10,89.88,97.56,89.31,96.69,90727132,TXN
57,2017-11,96.97,99.79,95.6,97.29,76061284,TXN
58,2017-12,96.54,105.33,94.72,104.44,95800409,TXN
59,2018-01,105.11,120.75,104.5,109.67,147032712,TXN
60,2018-02,108.75,110.75,101.91,101.98,41038984,TXN
