,date,open,high,low,close,volume,Name
0,2013-02,12.555,12.66,11.5775,12.32,74324584,UAA
1,2013-03,12.275,12.9375,11.9025,12.8,112877508,UAA
2,2013-04,12.775,14.63,12.5725,14.27,148687932,UAA
3,2013-05,14.215,16.3875,14.045,15.5,111128020,UAA
4,2013-06,15.4625,15.7475,13.9075,14.9275,109257400,UAA
5,2013-07,14.95,17.3875,14.8625,16.7825,107373044,UAA
6,2013-08,16.985,18.645,16.91,18.16,101276500,UAA
7,2013-09,18.385,20.4097,18.335,19.8625,117048396,UAA
8,2013-10,20.0975,21.505,18.8588,20.2875,134211472,UAA
9,2013-11,20.3775,20.955,19.0075,20.175,74257888,UAA
10,2013-12,20.2825,21.98,19.88,21.825,71967996,UAA
11,2014-01,21.825,27.18,20.4875,27.0275,127980684,UAA
12,2014-02,26.6425,29.9925,25.75,28.2875,130336272,UAA
13,2014-03,27.8375,31.1975,27.5025,28.66,107792044,UAA
14,2014-04,28.75,29.945,22.725,24.445,264547502,UAA
15,2014-05,24.47,25.485,22.525,25.395,118683508,UAA
16,2014-06,25.5,30.085,25.33,29.745,115360138,UAA
17,2014-07,29.86,35.47,28.3935,33.375,125945322,UAA
18,2014-08,33.46,35.895,33.225,34.18,75150574,UAA
19,2014-09,34.28,36.71,32.57,34.55,110070546,UAA
20,2014-10,34.45,34.505,30.0,32.79,145157402,UAA
21,2014-11,32.855,36.49,31.825,36.245,79284284,UAA
22,2014-12,36.275,36.375,33.185,33.95,78893810,UAA
23,2015-01,34.21,36.8349,31.885,36.04,95449488,UAA
24,2015-02,36.1,38.64,35.505,38.505,99315778,UAA
25,2015-03,38.495,41.3349,37.2,40.375,78067026,UAA
26,2015-04,40.315,44.0745,38.53,38.775,137078576,UAA
27,2015-05,38.905,39.8475,38.075,39.205,70147958,UAA
28,2015-06,39.29,43.15,38.775,41.72,72429776,UAA
29,2015-07,42.13,50.01,41.655,49.665,117774714,UAA
30,2015-08,49.83,50.91,40.0605,47.765,124208862,UAA
31,2015-09,46.68,52.945,46.26,48.39,124842370,UAA
32,2015-10,48.53,52.37,44.005,47.54,150171012,UAA
33,2015-11,47.62,48.77,42.095,43.11,136941402,UAA
34,2015-12,43.395,44.28,38.89,40.305,124261816,UAA
35,2016-01,39.835,43.145,31.615,42.715,227761540,UAA
36,2016-02,42.4,42.975,35.165,41.845,161190868,UAA
37,2016-03,42.07,43.415,39.45,42.415,105838928,UAA
38,2016-04,42.025,47.945,40.01,43.94,143157886,UAA
39,2016-05,43.89,44.1,36.2,37.73,136912753,UAA
40,2016-06,36.14,40.28,35.35,40.13,161182978,UAA
41,2016-07,40.12,44.68,38.85,39.46,101347359,UAA
42,2016-08,39.55,43.85,37.23,39.63,82418218,UAA
43,2016-09,39.87,40.149,37.7193,38.68,84328091,UAA
44,2016-10,38.81,39.2,30.5733,31.1,170873923,UAA
45,2016-11,31.26,32.61,30.06,30.8,117984346,UAA
46,2016-12,30.8,33.45,29.0,29.05,86930638,UAA
47,2017-01,29.34,31.06,20.8,21.49,120132526,UAA
48,2017-02,21.65,22.34,20.44,20.62,124388634,UAA
49,2017-03,20.73,21.045,18.4,19.78,113889785,UAA
50,2017-04,19.97,22.12,18.81,21.49,121808131,UAA
51,2017-05,21.52,21.61,18.345,19.16,98954209,UAA
52,2017-06,19.24,23.46,19.05,21.76,113351533,UAA
53,2017-07,21.94,22.37,19.125,20.02,87108005,UAA
54,2017-08,19.1,19.45,16.12,16.15,111188812,UAA
55,2017-09,16.21,18.19,15.92,16.48,81819348,UAA
56,2017-10,16.46,17.61,12.48,12.52,152505233,UAA
57,2017-11,12.47,13.88,11.4,13.29,160281261,UAA
58,2017-12,13.3,16.19,12.7301,14.43,109712121,UAA
59,2018-01,14.59,16.85,13.481,13.86,136542228,UAA
60,2018-02,13.78,14.1,12.5,13.26,31969825,UAA
