,date,open,high,low,close,volume,Name
0,2013-02,25.9,27.22,25.26,26.71,62679873,UAL
1,2013-03,26.58,32.95,26.58,32.01,97424621,UAL
2,2013-04,31.27,32.69,27.9,32.3,111578053,UAL
3,2013-05,32.36,35.27,31.58,32.46,76946629,UAL
4,2013-06,32.61,33.59,29.0,31.29,74823175,UAL
5,2013-07,31.3,36.74,30.05,34.85,77510129,UAL
6,2013-08,35.06,35.94,27.32,28.46,125819069,UAL
7,2013-09,29.48,34.45,28.39,30.71,97904510,UAL
8,2013-10,30.83,34.34,29.11,33.95,109136540,UAL
9,2013-11,33.95,40.19,33.61,39.25,122279607,UAL
10,2013-12,39.31,39.62,36.39,37.83,81528342,UAL
11,2014-01,37.7,49.2,37.5,45.84,161076496,UAL
12,2014-02,45.91,48.45,42.96,44.96,92339379,UAL
13,2014-03,44.26,49.18,42.85,44.63,85215458,UAL
14,2014-04,45.97,48.2,38.0633,40.87,136192053,UAL
15,2014-05,40.77,45.42,38.93,44.37,93924516,UAL
16,2014-06,44.49,48.13,40.74,41.07,147188499,UAL
17,2014-07,41.74,49.28,36.65,46.39,174229503,UAL
18,2014-08,46.5,49.52,41.93,47.61,98862289,UAL
19,2014-09,48.0,52.45,45.72,46.79,104893787,UAL
20,2014-10,45.62,53.65,39.46,52.81,207273442,UAL
21,2014-11,52.95,61.93,52.81,61.23,98678297,UAL
22,2014-12,61.0,67.77,57.89,66.89,127652858,UAL
23,2015-01,67.74,74.52,62.37,69.37,124175158,UAL
24,2015-02,69.08,72.23,63.76,65.18,109876271,UAL
25,2015-03,66.14,70.31,63.09,67.25,108342402,UAL
26,2015-04,65.06,65.85,57.95,59.74,129584383,UAL
27,2015-05,60.34,63.9,51.68,54.59,126182294,UAL
28,2015-06,54.76,56.89,49.85,53.01,123310725,UAL
29,2015-07,54.05,60.0,50.1,56.39,131458120,UAL
30,2015-08,56.86,60.12,49.2,56.97,115327424,UAL
31,2015-09,56.01,62.21,52.11,53.05,207263018,UAL
32,2015-10,52.95,61.87,49.76,60.31,155702620,UAL
33,2015-11,60.61,61.75,55.58,55.73,83820360,UAL
34,2015-12,55.68,61.49,55.3342,57.3,93185501,UAL
35,2016-01,55.79,56.34,42.17,48.28,152401838,UAL
36,2016-02,47.71,57.795,44.0,57.26,120503756,UAL
37,2016-03,57.63,61.41,55.29,59.86,103497889,UAL
38,2016-04,57.43,58.9,45.58,45.81,128926816,UAL
39,2016-05,46.61,47.54,43.33,45.09,115010315,UAL
40,2016-06,45.25,46.91,37.41,41.04,143706318,UAL
41,2016-07,41.02,49.87,37.64,46.89,105960989,UAL
42,2016-08,46.77,51.525,44.15,50.41,93179825,UAL
43,2016-09,50.54,54.53,49.28,52.47,103379710,UAL
44,2016-10,52.24,56.81,51.34,56.23,114928088,UAL
45,2016-11,56.25,70.18,55.53,68.95,104900795,UAL
46,2016-12,68.67,76.8,68.0,72.88,63609167,UAL
47,2017-01,74.02,76.75,69.34,70.47,73206869,UAL
48,2017-02,70.95,76.46,70.55,74.09,57821872,UAL
49,2017-03,74.64,76.65,64.16,70.64,110703708,UAL
50,2017-04,70.69,72.1,67.55,70.21,97787148,UAL
51,2017-05,70.56,81.96,70.24,79.67,72089056,UAL
52,2017-06,79.99,83.04,74.97,75.25,74223421,UAL
53,2017-07,75.85,81.39,66.45,67.68,98618646,UAL
54,2017-08,68.01,69.31,61.31,61.96,84501384,UAL
55,2017-09,62.54,63.08,57.34,60.88,109888301,UAL
56,2017-10,60.9,69.62,58.04,58.48,153101145,UAL
57,2017-11,58.2,63.84,56.51,63.32,79726726,UAL
58,2017-12,63.2,67.99,61.78,67.4,76524339,UAL
59,2018-01,67.9,79.0,65.44,67.82,135147766,UAL
60,2018-02,67.22,67.95,61.96,65.36,25592584,UAL
