,date,open,high,low,close,volume,Name
0,2016-04,,46.53,40.23,40.8,41708902,UA
1,2016-05,40.57,40.82,33.7,34.97,36574680,UA
2,2016-06,33.39,36.55,31.31,36.4,30194617,UA
3,2016-07,36.265,39.42,35.12,35.7,19557728,UA
4,2016-08,35.66,42.9435,33.66,35.65,16610844,UA
5,2016-09,35.54,35.81,33.16,33.86,15334638,UA
6,2016-10,33.63,34.29,25.53,25.86,31620942,UA
7,2016-11,26.01,26.94,23.51,25.78,35274970,UA
8,2016-12,25.98,29.53,24.58,25.17,61630378,UA
9,2017-01,25.49,27.6352,18.52,19.22,105022407,UA
10,2017-02,19.5,20.23,17.77,18.56,119120145,UA
11,2017-03,18.75,19.05,17.05,18.3,79733952,UA
12,2017-04,18.61,20.0,17.46,19.41,81640736,UA
13,2017-05,19.39,19.96,17.2127,17.83,72718066,UA
14,2017-06,17.9,21.805,17.79,20.16,77030797,UA
15,2017-07,20.24,20.6,17.17,18.11,70252614,UA
16,2017-08,16.46,17.42,15.05,15.1,85014378,UA
17,2017-09,15.23,16.89,14.8,15.02,66462654,UA
18,2017-10,15.07,16.02,11.4,11.53,118709281,UA
19,2017-11,11.46,12.42,10.36,11.93,153416322,UA
20,2017-12,11.9,14.561,11.368,13.32,104593891,UA
21,2018-01,13.45,15.69,12.16,12.85,119696039,UA
22,2018-02,12.67,12.91,11.41,12.15,18480326,UA
