,date,open,high,low,close,volume,Name
0,2013-02,23.47,25.18,23.37,23.86,33776795,UDR
1,2013-03,23.83,24.75,23.61,24.19,36688814,UDR
2,2013-04,24.15,25.04,23.97,24.58,29409519,UDR
3,2013-05,24.55,27.04,24.27,24.37,48048259,UDR
4,2013-06,24.49,25.745,23.02,25.49,45152362,UDR
5,2013-07,25.57,26.35,24.83,25.04,36038388,UDR
6,2013-08,25.18,25.33,22.22,22.59,35947148,UDR
7,2013-09,22.78,25.08,21.96,23.7,32514442,UDR
8,2013-10,23.7,25.42,23.25,24.81,34933373,UDR
9,2013-11,24.88,25.11,23.13,23.27,22396612,UDR
10,2013-12,23.21,24.98,22.85,23.35,35811450,UDR
11,2014-01,23.31,24.65,23.1,24.34,34098133,UDR
12,2014-02,24.27,26.52,23.75,25.81,41390628,UDR
13,2014-03,25.65,26.765,25.04,25.83,31241409,UDR
14,2014-04,25.83,26.05,25.18,25.86,29229892,UDR
15,2014-05,25.97,27.88,25.51,27.52,35190485,UDR
16,2014-06,27.55,28.75,27.07,28.63,26341985,UDR
17,2014-07,28.7,29.38,28.12,29.08,24493877,UDR
18,2014-08,28.91,30.25,28.71,29.92,21946646,UDR
19,2014-09,29.95,30.38,26.97,27.25,29098639,UDR
20,2014-10,27.26,30.45,27.15,30.23,38456050,UDR
21,2014-11,30.31,31.19,29.47,30.78,24394690,UDR
22,2014-12,30.78,31.93,29.96,30.82,30161905,UDR
23,2015-01,31.0,34.88,30.82,33.26,40876573,UDR
24,2015-02,33.25,33.48,31.41,31.94,33202655,UDR
25,2015-03,31.92,35.495,31.4,34.03,46239976,UDR
26,2015-04,34.03,34.36,32.18,32.77,30932575,UDR
27,2015-05,32.82,33.96,32.12,32.56,29630199,UDR
28,2015-06,32.63,33.74,31.05,32.03,42229628,UDR
29,2015-07,32.13,34.06,31.98,33.81,35935842,UDR
30,2015-08,33.89,35.68,30.03,32.3,42985134,UDR
31,2015-09,31.63,34.64,30.92,34.48,33101787,UDR
32,2015-10,34.6,37.2,34.23,34.46,37140458,UDR
33,2015-11,34.7,37.96,33.18,36.91,33846787,UDR
34,2015-12,37.07,38.07,35.16,37.57,33342253,UDR
35,2016-01,37.52,37.63,34.19,35.59,34982762,UDR
36,2016-02,35.34,37.186,32.9,34.33,37706519,UDR
37,2016-03,34.48,38.605,34.3301,38.53,95802985,UDR
38,2016-04,38.44,38.61,34.23,34.92,38002401,UDR
39,2016-05,34.95,37.66,34.793,36.03,30558537,UDR
40,2016-06,35.74,36.93,32.97,36.92,51579270,UDR
41,2016-07,36.92,37.65,35.43,37.23,31741844,UDR
42,2016-08,37.38,37.81,35.48,36.18,33064648,UDR
43,2016-09,36.21,37.065,34.11,35.99,36632017,UDR
44,2016-10,35.84,35.84,32.79,34.97,34107184,UDR
45,2016-11,34.89,35.24,32.8475,34.04,40438539,UDR
46,2016-12,33.93,36.51,33.32,36.48,32823570,UDR
47,2017-01,36.67,36.785,34.58,34.95,32664122,UDR
48,2017-02,34.83,36.585,34.41,36.5,27855559,UDR
49,2017-03,36.21,36.715,34.73,36.26,31111096,UDR
50,2017-04,36.26,37.54,35.43,37.34,24348963,UDR
51,2017-05,37.32,38.67,36.86,38.61,29590887,UDR
52,2017-06,38.57,40.71,38.2911,38.97,29694396,UDR
53,2017-07,39.11,39.705,37.37,39.09,23486586,UDR
54,2017-08,39.18,39.56,38.4,38.82,28216288,UDR
55,2017-09,38.88,39.87,37.65,38.03,26037982,UDR
56,2017-10,38.07,39.17,37.55,38.79,26751642,UDR
57,2017-11,38.86,40.329,37.85,39.33,35954696,UDR
58,2017-12,39.46,39.765,37.68,38.52,28123052,UDR
59,2018-01,38.57,38.64,35.525,36.53,31305638,UDR
60,2018-02,36.5,36.67,33.31,33.8,10556535,UDR
