,date,open,high,low,close,volume,Name
0,2013-02,57.21,58.57,55.3,57.89,10929519,UHS
1,2013-03,57.4,65.0,56.07,63.87,15452366,UHS
2,2013-04,63.88,68.75,59.08,66.59,23717821,UHS
3,2013-05,66.51,70.44,65.2,69.14,16093987,UHS
4,2013-06,69.33,71.54,64.85,66.96,11486556,UHS
5,2013-07,67.0,70.93,63.51,69.95,17350017,UHS
6,2013-08,70.41,72.74,67.5,67.75,11361709,UHS
7,2013-09,68.59,75.35,66.92,74.99,10425996,UHS
8,2013-10,75.45,81.69,74.975,80.56,15549826,UHS
9,2013-11,80.63,82.98,77.24,82.43,17809200,UHS
10,2013-12,82.76,83.83,78.11,81.26,13677053,UHS
11,2014-01,80.84,86.08,78.98,82.02,13257700,UHS
12,2014-02,81.68,83.57,77.12,80.28,13392876,UHS
13,2014-03,79.68,82.135,74.19,82.07,18654194,UHS
14,2014-04,82.16,86.0,73.06,81.79,17951762,UHS
15,2014-05,82.17,90.655,81.37,89.57,15269596,UHS
16,2014-06,89.5,98.89,88.66,95.76,15614998,UHS
17,2014-07,95.87,110.43,91.26,106.6,21352369,UHS
18,2014-08,105.8,115.44,105.01,114.44,11453323,UHS
19,2014-09,114.78,115.64,104.42,104.5,37935811,UHS
20,2014-10,104.62,110.4499,97.15,103.71,23650473,UHS
21,2014-11,103.64,107.79,95.63,104.62,22146089,UHS
22,2014-12,104.9,112.75,103.23,111.26,15634293,UHS
23,2015-01,112.05,113.615,102.35,102.53,17971679,UHS
24,2015-02,102.86,114.88,101.2,113.35,12194469,UHS
25,2015-03,113.35,121.95,111.73,117.71,14730852,UHS
26,2015-04,115.9,123.41,109.83,116.95,16007306,UHS
27,2015-05,117.72,132.03,114.755,129.58,15658397,UHS
28,2015-06,130.02,144.0,126.13,142.1,17885553,UHS
29,2015-07,143.46,148.28,138.2701,145.23,13272705,UHS
30,2015-08,145.95,148.57,131.98,137.14,14475423,UHS
31,2015-09,134.73,141.19,119.81,124.81,18781743,UHS
32,2015-10,125.96,131.71,107.26,122.09,24053396,UHS
33,2015-11,122.27,126.2,115.9,121.52,13546931,UHS
34,2015-12,122.69,125.8811,113.83,119.49,13139511,UHS
35,2016-01,117.46,120.25,103.57,112.64,16146588,UHS
36,2016-02,112.28,117.5,100.82,110.37,17308623,UHS
37,2016-03,110.83,126.67,109.28,124.72,16296774,UHS
38,2016-04,123.42,139.77,121.37,133.68,16512133,UHS
39,2016-05,133.71,137.0,131.52,134.86,15171091,UHS
40,2016-06,134.62,139.46,128.54,134.1,14074180,UHS
41,2016-07,133.96,138.77,125.935,129.53,15805817,UHS
42,2016-08,128.81,130.02,118.885,120.53,16601355,UHS
43,2016-09,120.68,125.16,118.04,123.22,17145828,UHS
44,2016-10,122.83,126.29,117.42,120.71,19071883,UHS
45,2016-11,121.21,129.21,105.35,123.02,18667772,UHS
46,2016-12,123.28,128.08,99.72,106.38,40065326,UHS
47,2017-01,106.81,114.98,105.22,112.63,14525241,UHS
48,2017-02,113.13,126.98,111.96,125.6,13835435,UHS
49,2017-03,128.81,129.74,117.51,124.45,19658431,UHS
50,2017-04,124.66,126.49,116.29,120.76,12824679,UHS
51,2017-05,120.72,125.5,113.12,113.66,14652838,UHS
52,2017-06,113.85,122.6,110.5,122.08,16527398,UHS
53,2017-07,122.34,126.1,109.26,110.83,17112040,UHS
54,2017-08,110.87,111.05,104.93,108.13,16608000,UHS
55,2017-09,108.22,112.77,106.52,110.94,12272921,UHS
56,2017-10,111.07,113.99,101.26,102.7,22467548,UHS
57,2017-11,102.45,110.96,95.26,108.35,20626594,UHS
58,2017-12,108.47,116.21,104.04,113.35,18635290,UHS
59,2018-01,114.16,125.81,108.62,121.5,19340296,UHS
60,2018-02,120.99,122.57,111.505,117.12,3811001,UHS
