,date,open,high,low,close,volume,Name
0,2013-02,57.16,58.255,52.51,53.45,89375568,UNH
1,2013-03,53.34,57.31,52.88,57.21,109762287,UNH
2,2013-04,57.16,63.95,57.0101,59.93,157314589,UNH
3,2013-05,59.96,64.9,58.87,62.63,119801428,UNH
4,2013-06,62.89,66.19,60.95,65.48,103913918,UNH
5,2013-07,65.89,73.66,64.65,72.85,116553914,UNH
6,2013-08,73.23,73.67,71.0,71.74,70389200,UNH
7,2013-09,71.81,75.88,70.4,71.61,88932549,UNH
8,2013-10,71.74,75.49,66.72,68.26,154286636,UNH
9,2013-11,68.27,74.99,67.95,74.48,77425163,UNH
10,2013-12,73.64,75.54,70.2,75.3,87845699,UNH
11,2014-01,74.91,77.3299,70.84,72.28,111586531,UNH
12,2014-02,72.14,77.71,69.57,77.27,100727254,UNH
13,2014-03,76.7,83.32,75.65,81.99,104479363,UNH
14,2014-04,82.35,83.05,73.61,75.04,112725630,UNH
15,2014-05,75.05,79.74,74.26,79.63,73562245,UNH
16,2014-06,79.77,82.54,77.53,81.75,75627541,UNH
17,2014-07,81.74,87.24,80.545,81.05,87695167,UNH
18,2014-08,81.59,87.23,78.74,86.68,67666667,UNH
19,2014-09,87.12,88.85,85.58,86.25,67061284,UNH
20,2014-10,86.0,96.01,80.72,95.01,107478981,UNH
21,2014-11,95.45,99.42,93.01,98.63,68335217,UNH
22,2014-12,98.75,104.0,95.75,101.09,82478648,UNH
23,2015-01,101.5,114.32,98.46,106.25,100756452,UNH
24,2015-02,106.73,116.58,105.07,113.63,76171933,UNH
25,2015-03,113.77,123.76,111.65,118.29,83244882,UNH
26,2015-04,119.52,122.32,111.12,111.4,86883463,UNH
27,2015-05,112.29,121.85,111.74,120.21,72260527,UNH
28,2015-06,120.54,124.11,115.36,122.0,106449142,UNH
29,2015-07,122.95,126.05,116.66,121.4,95035792,UNH
30,2015-08,121.61,126.21,95.0,115.7,84277506,UNH
31,2015-09,113.36,125.12,111.005,116.01,94373617,UNH
32,2015-10,115.94,125.99,110.0718,117.78,105959181,UNH
33,2015-11,118.64,119.95,109.61,112.71,82098452,UNH
34,2015-12,113.53,121.09,113.05,117.64,76147627,UNH
35,2016-01,116.91,117.89,107.51,115.16,88345524,UNH
36,2016-02,114.83,122.26,108.8301,119.1,72338488,UNH
37,2016-03,119.49,131.105,119.37,128.9,70858508,UNH
38,2016-04,128.69,135.11,125.26,131.68,71253362,UNH
39,2016-05,132.61,134.75,128.53,133.67,55542259,UNH
40,2016-06,133.58,141.31,133.02,141.2,76463789,UNH
41,2016-07,141.16,144.48,139.32,143.2,71190957,UNH
42,2016-08,143.42,144.16,135.55,136.05,50524018,UNH
43,2016-09,136.82,141.78,132.39,140.0,67532396,UNH
44,2016-10,139.35,146.36,133.03,141.33,82024454,UNH
45,2016-11,141.51,159.76,136.22,158.32,96191781,UNH
46,2016-12,159.12,164.0,156.23,160.04,76785504,UNH
47,2017-01,161.13,163.8,156.09,162.1,72830129,UNH
48,2017-02,162.75,166.76,156.49,165.38,72702257,UNH
49,2017-03,166.72,172.14,162.74,164.01,84729071,UNH
50,2017-04,164.62,176.07,164.25,174.88,61872219,UNH
51,2017-05,175.0,178.89,166.65,175.18,63432971,UNH
52,2017-06,175.78,188.66,175.19,185.42,65420252,UNH
53,2017-07,186.29,193.0,183.86,191.81,55913201,UNH
54,2017-08,193.4,199.49,190.63,198.9,50905693,UNH
55,2017-09,199.79,200.76,188.25,195.85,57670176,UNH
56,2017-10,196.59,212.77,186.0,210.22,80498148,UNH
57,2017-11,211.62,228.75,208.92,228.17,51055930,UNH
58,2017-12,228.89,231.77,218.19,220.46,55744241,UNH
59,2018-01,221.02,250.79,220.0,236.78,82310532,UNH
60,2018-02,235.26,237.82,208.48,225.82,27172172,UNH
