,date,open,high,low,close,volume,Name
0,2013-02,23.73,24.86,23.58,24.47,32540277,UNM
1,2013-03,24.32,28.34,24.0,28.25,61173069,UNM
2,2013-04,28.26,28.35,25.55,27.89,47547681,UNM
3,2013-05,27.63,29.22,26.71,28.48,48691280,UNM
4,2013-06,28.49,29.92,27.31,29.37,46962684,UNM
5,2013-07,29.61,32.01,29.52,31.64,30008368,UNM
6,2013-08,32.04,32.94,29.135,29.53,42485808,UNM
7,2013-09,29.97,31.74,29.5,30.44,29989755,UNM
8,2013-10,30.41,32.43,29.445,31.74,30870450,UNM
9,2013-11,31.79,34.04,31.43,33.57,29252457,UNM
10,2013-12,33.56,35.4,33.14,35.08,34114120,UNM
11,2014-01,34.93,35.12,31.73,32.2,25920492,UNM
12,2014-02,32.08,34.93,30.66,34.78,32541085,UNM
13,2014-03,34.25,36.3,34.18,35.31,33428570,UNM
14,2014-04,35.61,35.67,32.065,33.22,32158009,UNM
15,2014-05,33.2,34.29,32.28,33.91,30216254,UNM
16,2014-06,34.05,35.78,33.8,34.76,27199712,UNM
17,2014-07,34.83,35.66,34.18,34.33,24899065,UNM
18,2014-08,34.08,36.39,33.87,36.27,28773605,UNM
19,2014-09,36.38,37.15,34.28,34.38,30534499,UNM
20,2014-10,34.29,34.74,31.25,33.46,37566470,UNM
21,2014-11,33.46,34.99,32.64,33.22,34110910,UNM
22,2014-12,33.02,35.77,31.57,34.88,52493551,UNM
23,2015-01,35.13,35.21,30.72,31.06,33913026,UNM
24,2015-02,31.13,34.89,31.02,33.56,34437417,UNM
25,2015-03,33.61,34.66,32.71,33.73,35321988,UNM
26,2015-04,33.68,34.9,33.05,34.16,26534509,UNM
27,2015-05,34.41,36.0,34.23,34.96,30212247,UNM
28,2015-06,35.07,37.17,34.83,35.75,32388167,UNM
29,2015-07,36.34,38.15,34.8232,35.84,31601113,UNM
30,2015-08,35.85,36.55,29.81,33.54,40441907,UNM
31,2015-09,32.31,33.73,30.91,32.08,30413649,UNM
32,2015-10,32.07,35.16,31.22,34.65,27301448,UNM
33,2015-11,34.7,37.26,34.34,36.68,28130766,UNM
34,2015-12,36.9,37.26,31.91,33.29,31507084,UNM
35,2016-01,32.36,32.83,26.42,28.64,40232621,UNM
36,2016-02,28.4,29.28,23.99,28.53,52670647,UNM
37,2016-03,28.77,32.66,28.72,30.92,44278338,UNM
38,2016-04,30.78,35.1,29.86,34.21,33871793,UNM
39,2016-05,34.33,37.18,32.94,36.92,36148205,UNM
40,2016-06,36.47,36.87,29.92,31.79,47299207,UNM
41,2016-07,31.57,33.75,29.79,33.41,38538874,UNM
42,2016-08,33.51,35.86,32.52,35.61,32736430,UNM
43,2016-09,35.7,35.935,33.98,35.31,31113853,UNM
44,2016-10,35.06,36.985,34.825,35.4,34515346,UNM
45,2016-11,35.66,43.47,34.91,42.27,48336179,UNM
46,2016-12,42.6,45.01,42.47,43.93,33927927,UNM
47,2017-01,44.71,46.275,43.58,45.43,23763903,UNM
48,2017-02,45.92,49.36,44.821000000000005,48.83,26734291,UNM
49,2017-03,49.91,50.27,44.5075,46.89,30016248,UNM
50,2017-04,47.04,47.555,44.61,46.33,22634837,UNM
51,2017-05,46.57,47.26,44.42,44.98,26515583,UNM
52,2017-06,45.27,47.96,43.55,46.63,28571075,UNM
53,2017-07,47.05,50.67,46.79,50.13,18404327,UNM
54,2017-08,50.42,51.43,47.19,48.18,26210008,UNM
55,2017-09,48.34,51.5,46.08,51.13,19752306,UNM
56,2017-10,51.27,53.15,50.94,52.04,19670294,UNM
57,2017-11,52.29,57.37,51.79,56.62,29668040,UNM
58,2017-12,56.72,57.55,53.84,54.89,28403228,UNM
59,2018-01,55.44,58.73,53.035,53.19,35067029,UNM
60,2018-02,52.39,54.73,48.49,50.58,14284706,UNM
