,date,open,high,low,close,volume,Name
0,2013-02,66.19,69.255,66.1,68.555,60157702,UNP
1,2013-03,68.205,71.5,67.7505,71.205,70371194,UNP
2,2013-04,71.205,74.635,67.875,73.98,88475178,UNP
3,2013-05,73.835,80.5,72.695,77.31,70396116,UNP
4,2013-06,77.6,79.605,74.2225,77.14,72678976,UNP
5,2013-07,77.825,82.59,76.83,79.295,66760712,UNP
6,2013-08,79.97,82.275,76.02,76.77,61041104,UNP
7,2013-09,77.45,80.955,76.31,77.67,66008932,UNP
8,2013-10,77.73,79.035,74.615,75.7,128056200,UNP
9,2013-11,76.055,81.61,75.715,81.02,79886590,UNP
10,2013-12,81.06,84.12,80.01,84.0,69018444,UNP
11,2014-01,84.2,88.5,82.485,87.12,98045386,UNP
12,2014-02,87.3,90.64,85.56,90.19,79512652,UNP
13,2014-03,89.585,95.24,89.145,93.83,83148656,UNP
14,2014-04,94.19,97.0775,90.36,95.215,86860362,UNP
15,2014-05,95.15,99.73,93.405,99.635,73082496,UNP
16,2014-06,99.68,102.96,98.455,99.75,65333090,UNP
17,2014-07,99.96,103.25,97.96,98.31,64166097,UNP
18,2014-08,98.22,106.34,96.76,105.27,58336190,UNP
19,2014-09,105.7,110.26,105.49,108.42,59095227,UNP
20,2014-10,107.48,117.1,96.17,116.45,116486618,UNP
21,2014-11,116.57,123.61,114.8,116.77,66524187,UNP
22,2014-12,116.44,121.4,111.28,119.13,91513074,UNP
23,2015-01,119.93,122.19,109.54,117.21,96712144,UNP
24,2015-02,118.13,124.52,116.7,120.26,62236788,UNP
25,2015-03,120.26,120.9999,106.75,108.31,101274575,UNP
26,2015-04,107.76,112.44,104.16,106.23,124734590,UNP
27,2015-05,106.66,109.42,99.87,100.91,115083387,UNP
28,2015-06,101.16,102.85,94.91,95.37,121086333,UNP
29,2015-07,96.34,99.71,91.23,97.59,119290211,UNP
30,2015-08,97.56,97.69,79.31,85.74,124037439,UNP
31,2015-09,83.63,91.16,83.0,88.41,113546677,UNP
32,2015-10,89.24,98.28,88.56,89.35,112716489,UNP
33,2015-11,89.36,89.755,83.1,83.95,104372382,UNP
34,2015-12,83.95,85.0,74.78,78.2,146606518,UNP
35,2016-01,76.87,79.3406,67.06,72.0,162771094,UNP
36,2016-02,70.9,82.26,70.35,78.86,121250614,UNP
37,2016-03,79.7,85.3,77.8,79.55,111387350,UNP
38,2016-04,78.82,89.91,77.29,87.23,106206847,UNP
39,2016-05,87.99,88.5,80.68,84.19,86846897,UNP
40,2016-06,83.63,90.14,81.962,87.25,105489548,UNP
41,2016-07,87.25,96.0,86.01,93.05,84122215,UNP
42,2016-08,92.92,96.28,90.68,95.53,67291586,UNP
43,2016-09,95.64,98.0,91.32,97.53,66407627,UNP
44,2016-10,97.18,98.835,87.79,88.18,97745040,UNP
45,2016-11,88.65,102.73,87.0601,101.33,96750642,UNP
46,2016-12,101.84,106.62,101.61,103.68,72357671,UNP
47,2017-01,104.48,111.38,101.2,106.58,87049366,UNP
48,2017-02,107.04,110.82,105.171,107.94,69356561,UNP
49,2017-03,109.04,110.65,102.41,105.92,86211514,UNP
50,2017-04,106.16,115.15,104.12,111.96,64837873,UNP
51,2017-05,112.43,112.6801,105.5,110.3,74148877,UNP
52,2017-06,110.58,112.26,106.59,108.91,80305467,UNP
53,2017-07,109.02,110.375,101.06,102.96,71862701,UNP
54,2017-08,102.69,106.45,101.72,105.3,73161526,UNP
55,2017-09,105.64,116.93,103.85,115.97,66740381,UNP
56,2017-10,115.38,119.71,108.7138,115.79,77059505,UNP
57,2017-11,116.59,127.86,115.16,126.5,65463048,UNP
58,2017-12,126.39,136.32,123.81,134.1,99106265,UNP
59,2018-01,134.71,143.05,131.82,133.5,115284356,UNP
60,2018-02,132.51,133.74,121.5,128.96,41310508,UNP
